location,label
Robin_public_Carolina,4
Robin_lodging_Dorthy,5
Robin_education_Zenia,4
Robin_office_Dina,6
Robin_education_Derick,3
Robin_education_Della,2
Robin_education_Leslie,4
Robin_office_Sammie,4
Robin_education_Mercedes,6
Robin_education_Julius,3
Robin_education_Lashandra,4
Robin_education_Lizbeth,0
Robin_office_Gayle,4
Robin_office_Shirlene,6
Robin_education_Madeline,6
Robin_lodging_Phillip,5
Robin_education_Jasper,3
Robin_office_Wai,3
Robin_education_Terrance,3
Robin_lodging_Elmer,5
Robin_office_Addie,3
Robin_education_Cecilia,6
Robin_education_Kiera,4
Robin_lodging_Pricilla,5
Robin_education_So,6
Robin_office_Maryann,3
Robin_office_Serena,3
Robin_education_Derrick,6
Robin_education_Megan,4
Robin_office_Adolph,6
Robin_office_Lindsay,4
Robin_education_Takako,3
Robin_lodging_Oliva,5
Robin_office_Victor,4
Robin_education_Margarito,6
Robin_public_Cami,1
Robin_education_Kristopher,3
Robin_education_Billi,3
Robin_lodging_Celia,5
Robin_office_Donald,4
Robin_assembly_Colleen,6
Robin_office_Soledad,0
Robin_education_Audrea,1
Robin_office_Saul,1
Robin_lodging_Donna,5
Robin_office_Antonina,3
Robin_office_Erma,4
Robin_office_Zelma,6
Robin_lodging_Renea,5
Robin_lodging_Armand,5
Robin_education_Karyl,4
Robin_lodging_Janie,5
Shrew_office_Sherill,3
Shrew_office_Rose,4
Shrew_office_Nora,3
Shrew_office_Katherine,3
Shrew_office_Ila,3
Shrew_office_Doug,3
Shrew_office_Doris,3
Shrew_office_Lin,3
Shrew_office_Kenneth,3
Mouse_health_Buddy,2
Mouse_health_Modesto,4
Mouse_lodging_Vicente,6
Mouse_health_Justin,4
Mouse_health_Ileana,4
Mouse_health_Estela,4
Mouse_science_Micheal,2
