Robin_public_Carolina,Robin_lodging_Dorthy,Robin_education_Zenia,Robin_office_Dina,Robin_education_Derick,Robin_education_Della,Robin_education_Leslie,Robin_office_Sammie,Robin_education_Mercedes,Robin_education_Julius,Robin_education_Lashandra,Robin_education_Lizbeth,Robin_office_Gayle,Robin_office_Shirlene,Robin_education_Madeline,Robin_lodging_Phillip,Robin_education_Jasper,Robin_office_Wai,Robin_education_Terrance,Robin_lodging_Elmer,Robin_office_Addie,Robin_education_Cecilia,Robin_education_Kiera,Robin_lodging_Pricilla,Robin_education_So,Robin_office_Maryann,Robin_office_Serena,Robin_education_Derrick,Robin_education_Megan,Robin_office_Adolph,Robin_office_Lindsay,Robin_education_Takako,Robin_lodging_Oliva,Robin_office_Victor,Robin_education_Margarito,Robin_public_Cami,Robin_education_Kristopher,Robin_education_Billi,Robin_lodging_Celia,Robin_office_Donald,Robin_assembly_Colleen,Robin_office_Soledad,Robin_education_Audrea,Robin_office_Saul,Robin_lodging_Donna,Robin_office_Antonina,Robin_office_Erma,Robin_office_Zelma,Robin_lodging_Renea,Robin_lodging_Armand,Robin_education_Karyl,Robin_lodging_Janie,Shrew_office_Sherill,Shrew_office_Rose,Shrew_office_Nora,Shrew_office_Katherine,Shrew_office_Ila,Shrew_office_Doug,Shrew_office_Doris,Shrew_office_Lin,Shrew_office_Kenneth,Mouse_health_Buddy,Mouse_health_Modesto,Mouse_lodging_Vicente,Mouse_health_Justin,Mouse_health_Ileana,Mouse_health_Estela,Mouse_science_Micheal
36.438,14.3,52.25,13.3776,229.0,0.3746,324.75,57.75,80.93,117.2,175.1837,46.8,20.648000000000003,8.0204,159.6429,26.9,69.3,47.2,134.3,33.1,7.1,16.3061,23.3036,27.2,201.5434,109.8,18.8,167.3922,91.2653,9.435,28.0638,74.9,17.7,15.5,219.2041,12.6071,46.4,9.3,17.6,72.0612,14.25,4.593999999999999,86.2283,6.2,8.6786,161.7,5.8,53.102,31.2,16.4553,10.2748,82.5987,107.0,3.6,48.6,24.0,58.5,33.2,72.5,142.4,10.4,8.8224,370.087,10.0,282.9965,26.0,135.0,168.2243
70.75,27.3,106.25,26.7551,449.5,0.7492,624.75,72.0,166.359,234.4,350.3673,90.4,41.2959,16.0408,319.2857,53.3,137.3,94.3,267.1,68.5,13.8,32.6122,45.6071,57.2,403.0867,219.4,37.7,334.7844,182.5306,18.8699,56.1276,151.1,37.1,30.0,438.4082,25.2143,93.0,17.9,38.2,144.1224,27.5,9.219,172.4567,13.0,17.3571,319.9,11.6,106.2041,64.0,32.9107,20.5496,184.2974,214.5,7.8,102.7,49.6,117.2,65.9,145.4,291.3,18.6,17.6449,737.826,30.0,574.9265,51.0,265.0,336.4486
74.312,25.7,104.25,26.7551,451.5,0.7492,626.5,66.25,164.868,234.8,350.3673,92.0,41.2959,16.0408,319.2857,52.5,137.5,94.6,268.7,69.2,13.7,32.6122,45.6071,54.2,403.0867,221.6,37.5,334.7844,182.5306,18.8699,56.1276,150.2,37.8,30.0,438.4082,25.2143,93.8,18.3,39.4,144.1224,26.75,8.375,172.4567,13.0,17.3571,317.6,11.5,106.2041,61.4,32.9107,20.5496,179.6974,212.0,7.7,100.2,48.4,116.5,65.5,146.4,297.1,20.0,17.6449,729.9255,30.0,570.278,50.0,272.0,336.4486
73.438,22.4,107.75,26.7551,445.0,0.7492,630.25,70.0,160.86700000000005,236.4,350.3673,91.0,41.2959,16.0408,319.2857,53.2,137.7,95.1,267.7,65.5,13.6,32.6122,45.1071,58.5,403.0867,221.8,37.5,334.7844,182.5306,18.8699,56.1276,148.2,35.1,29.5,438.4082,25.2143,92.9,18.3,38.7,144.1224,25.25,6.7810000000000015,172.4567,13.0,17.3571,312.9,11.6,106.2041,61.6,32.9107,20.5496,167.6974,212.0,6.9,101.6,49.2,114.2,65.7,144.2,301.5,18.8,17.6449,722.262,20.0,561.1469999999998,52.0,276.0,336.4486
70.313,20.1,104.5,26.7551,464.0,0.7492,635.0,68.75,158.851,239.8,350.3673,91.8,41.2959,16.0408,319.2857,50.9,137.4,93.5,267.8,67.7,13.9,32.6122,45.6071,52.0,403.0867,229.4,37.2,334.7844,182.5306,18.8699,56.1276,149.6,27.5,30.0,438.4082,25.2143,93.8,16.6,39.7,144.1224,25.0,6.625,172.4567,13.0,17.3571,313.1,11.4,106.2041,57.6,32.9107,20.5496,155.2974,220.5,6.8,125.0,48.6,114.1,65.1,146.2,299.8,19.4,17.6449,719.1665,30.0,564.3695,50.0,280.0,336.4486
70.25,18.6,103.75,26.7551,464.5,0.7492,626.5,65.75,162.86,237.6,350.3673,91.0,41.2959,16.0408,319.2857,47.9,138.9,93.0,267.3,63.5,13.6,32.6122,45.1071,50.6,403.0867,239.4,37.0,334.7844,182.5306,18.8699,56.1276,149.8,25.2,29.5,438.4082,25.2143,93.7,15.4,37.6,144.1224,25.25,7.375,172.4567,12.8,17.3571,315.7,11.5,106.2041,56.4,32.9107,20.5496,171.1974,228.0,7.8,129.1,49.7,114.3,64.8,144.4,296.7,20.6,17.6449,770.966,30.0,561.3225,52.0,284.0,336.4486
71.875,17.4,111.75,26.7551,485.0,0.7492,631.5,82.0,155.851,247.2,350.3673,89.0,41.2959,16.0408,319.2857,48.0,139.7,91.2,262.9,61.3,13.6,32.6122,45.1071,64.5,403.0867,234.5,38.0,334.7844,182.5306,18.8699,56.1276,152.7,24.3,29.5,438.4082,25.2143,94.7,17.0,37.4,144.1224,25.25,6.937,172.4567,13.0,17.3571,323.7,11.4,106.2041,65.5,32.9107,20.5496,164.9974,224.0,9.1,153.2,49.7,114.9,67.0,156.4,309.6,21.7,17.6449,759.1425,20.0,556.044,52.0,282.0,336.4486
68.25,19.5,120.75,26.7551,492.5,0.7492,685.25,87.5,163.852,281.0,350.3673,74.0,41.2959,16.0408,319.2857,47.8,139.3,133.8,269.4,58.8,13.2,32.6122,43.6071,60.3,403.0867,230.2,45.5,334.7844,182.5306,18.8699,56.1276,156.2,25.7,28.0,438.4082,25.2143,94.1,16.1,37.2,144.1224,27.0,8.344,172.4567,13.7,17.3571,347.8,11.4,106.2041,63.4,32.9107,20.5496,142.2974,229.5,11.0,172.4,50.2,118.0,67.7,160.7,331.7,21.8,17.6449,786.618,40.0,596.2065,54.0,283.0,336.4486
83.499,22.1,132.5,26.7551,486.0,0.7492,726.75,74.0,164.351,300.4,350.3673,72.4,41.2959,16.0408,319.2857,48.4,138.9,167.3,271.9,59.5,13.5,32.6122,46.1071,58.3,403.0867,232.9,46.6,334.7844,182.5306,18.8699,56.1276,155.1,26.9,30.5,438.4082,25.2143,93.9,38.2,35.7,144.1224,27.75,20.875,172.4567,13.8,17.3571,350.8,11.5,106.2041,60.3,32.9107,20.5496,170.2974,246.0,12.4,196.8,49.7,118.8,68.3,161.2,335.2,20.8,17.6449,803.515,30.0,654.3635,61.0,291.0,336.4486
98.938,26.1,131.75,26.7551,494.0,0.7492,745.75,78.0,165.34400000000005,293.8,350.3673,73.4,41.2959,16.0408,319.2857,50.6,141.0,169.3,280.4,62.1,13.1,32.6122,47.6071,55.9,403.0867,233.3,46.8,334.7844,182.5306,18.8699,56.1276,158.4,28.3,32.0,438.4082,25.2143,93.5,41.8,37.2,144.1224,28.0,13.969,172.4567,13.6,17.3571,352.9,11.4,106.2041,62.6,32.9107,20.5496,158.3974,245.0,11.4,198.3,49.4,120.0,65.7,163.6,342.2,22.8,17.6449,814.747,40.0,670.8969999999998,64.0,315.0,336.4486
101.25,28.7,130.25,26.7551,473.5,0.7492,752.75,71.25,162.406,295.6,350.3673,73.8,41.2959,16.0408,319.2857,54.6,140.7,169.3,276.9,65.0,13.5,32.6122,47.6071,53.7,403.0867,250.4,49.3,334.7844,182.5306,18.8699,56.1276,157.0,34.4,32.0,438.4082,25.2143,93.6,41.8,38.3,144.1224,29.25,15.875,172.4567,13.5,17.3571,354.6,11.5,106.2041,62.6,32.9107,20.5496,171.0974,247.0,10.5,193.3,48.8,115.0,66.3,163.3,341.0,20.9,17.6449,820.4295,40.0,686.0335,62.0,306.0,336.4486
98.875,36.9,132.5,26.7551,492.5,0.7492,738.75,70.0,170.84400000000005,292.2,350.3673,74.6,41.2959,16.0408,319.2857,54.2,141.0,169.9,279.2,74.3,13.6,32.6122,48.1071,57.9,403.0867,247.3,48.9,334.7844,182.5306,18.8699,56.1276,157.3,36.6,32.5,438.4082,25.2143,93.6,43.7,41.9,144.1224,31.0,18.312,172.4567,13.6,17.3571,360.2,11.6,106.2041,66.2,32.9107,20.5496,177.4974,245.0,12.5,199.2,49.3,114.5,66.3,162.2,350.7,21.3,17.6449,821.758,30.0,701.5365,62.0,309.0,336.4486
101.938,41.5,136.5,26.7551,484.0,0.7492,745.0,74.75,169.91400000000004,293.6,350.3673,75.8,41.2959,16.0408,319.2857,52.6,139.7,166.7,270.8,79.4,13.5,32.6122,48.6071,57.5,403.0867,234.7,49.4,334.7844,182.5306,18.8699,56.1276,158.2,38.8,33.0,438.4082,25.2143,91.5,43.7,47.0,144.1224,30.0,15.0,172.4567,13.1,17.3571,363.2,11.7,106.2041,68.1,32.9107,20.5496,174.9974,243.5,11.3,196.1,50.8,117.1,66.6,160.6,346.5,21.3,17.6449,824.0980000000003,40.0,696.8865,60.0,309.0,336.4486
102.875,48.0,138.25,26.7551,491.0,0.7492,755.75,74.5,171.899,289.4,350.3673,75.8,41.2959,16.0408,319.2857,50.4,138.0,170.3,274.2,78.3,13.5,32.6122,48.1071,56.5,403.0867,234.3,48.5,334.7844,182.5306,18.8699,56.1276,158.7,38.5,32.5,438.4082,25.2143,91.9,44.1,47.4,144.1224,30.75,17.657,172.4567,13.2,17.3571,359.7,11.7,106.2041,65.5,32.9107,20.5496,180.3974,244.5,11.3,194.0,50.7,118.0,66.7,166.3,339.6,20.6,17.6449,824.6675,40.0,695.811,60.0,316.0,336.4486
102.812,40.8,140.5,26.7551,492.5,0.7492,745.75,80.0,168.36700000000005,287.0,350.3673,75.2,41.2959,16.0408,319.2857,52.4,139.8,168.5,270.2,86.5,13.3,32.6122,48.6071,57.4,403.0867,226.9,48.7,334.7844,182.5306,18.8699,56.1276,158.8,37.5,33.0,438.4082,25.2143,94.6,44.8,44.5,144.1224,30.5,15.375,172.4567,13.0,17.3571,356.8,11.6,106.2041,67.9,32.9107,20.5496,181.3974,242.5,11.1,196.8,49.5,117.9,67.7,162.4,342.1,20.1,17.6449,817.6505,30.0,697.373,60.0,315.0,336.4486
108.875,38.0,137.75,26.7551,466.5,0.7492,749.25,74.25,166.398,295.0,350.3673,75.8,41.2959,16.0408,319.2857,52.5,137.4,164.5,269.4,78.3,13.8,32.6122,49.1071,62.1,403.0867,224.7,49.8,334.7844,182.5306,18.8699,56.1276,160.9,44.2,33.5,438.4082,25.2143,96.8,46.9,42.5,144.1224,30.75,14.593,172.4567,13.8,17.3571,358.8,11.7,106.2041,68.9,32.9107,20.5496,178.1974,239.0,12.3,195.7,49.2,118.8,68.6,161.1,340.1,20.4,17.6449,820.0665,40.0,702.2495,61.0,303.0,336.4486
106.937,38.7,135.75,26.7551,506.5,0.7492,738.5,76.5,166.86,293.8,350.3673,74.8,41.2959,16.0408,319.2857,52.3,140.7,164.9,267.2,87.0,13.6,32.6122,49.1071,64.7,403.0867,229.7,47.4,334.7844,182.5306,18.8699,56.1276,158.1,42.7,33.5,438.4082,25.2143,98.3,45.4,42.8,144.1224,30.75,17.157,172.4567,13.3,17.3571,356.2,11.6,106.2041,71.2,32.9107,20.5496,191.8974,249.0,12.7,196.4,50.0,119.9,68.3,166.6,334.2,21.3,17.6449,819.8725,40.0,689.7565,61.0,319.0,336.4486
