,label
Robin_public_Carolina,0
Robin_lodging_Dorthy,0
Robin_education_Zenia,9
Robin_office_Dina,0
Robin_education_Derick,12
Robin_education_Della,5
Robin_education_Leslie,7
Robin_office_Sammie,0
Robin_education_Mercedes,1
Robin_education_Julius,2
Robin_education_Lashandra,1
Robin_education_Lizbeth,0
Robin_office_Gayle,0
Robin_office_Shirlene,0
Robin_education_Madeline,9
Robin_lodging_Phillip,0
Robin_education_Jasper,9
Robin_office_Wai,2
Robin_education_Terrance,9
Robin_lodging_Elmer,0
Robin_office_Addie,0
Robin_education_Cecilia,0
Robin_education_Kiera,0
Robin_lodging_Pricilla,0
Robin_education_So,10
Robin_office_Maryann,9
Robin_office_Serena,0
Robin_education_Derrick,10
Robin_education_Megan,9
Robin_office_Adolph,0
Robin_office_Lindsay,5
Robin_education_Takako,9
Robin_lodging_Oliva,0
Robin_office_Victor,0
Robin_education_Margarito,10
Robin_public_Cami,0
Robin_education_Kristopher,0
Robin_education_Billi,0
Robin_lodging_Celia,0
Robin_office_Donald,0
Robin_assembly_Colleen,0
Robin_office_Soledad,0
Robin_education_Audrea,1
Robin_office_Saul,11
Robin_lodging_Donna,0
Robin_office_Antonina,10
Robin_office_Erma,0
Robin_office_Zelma,0
Robin_lodging_Renea,0
Robin_lodging_Armand,0
Robin_education_Karyl,5
Robin_lodging_Janie,0
Shrew_office_Sherill,2
Shrew_office_Rose,0
Shrew_office_Nora,9
Shrew_office_Katherine,11
Shrew_office_Ila,9
Shrew_office_Doug,0
Shrew_office_Doris,9
Shrew_office_Lin,2
Shrew_office_Kenneth,0
Mouse_health_Buddy,4
Mouse_health_Modesto,8
Mouse_lodging_Vicente,0
Mouse_health_Justin,6
Mouse_health_Ileana,0
Mouse_health_Estela,2
Mouse_science_Micheal,3
