,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9
Robin_public_Carolina,0.0,0.9999990645271813,0.0,0.0,0.0,0.0,0.0,0.0,9.354728184430654e-07,0.0
Robin_lodging_Dorthy,0.0,2.5867502940886107e-37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Zenia,0.0,0.9999999999975966,0.0,0.0,0.0,0.0,0.0,0.0,2.403586744705452e-12,0.0
Robin_office_Dina,0.0,1.0642441020457064e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999893575588,0.0
Robin_education_Derick,0.0,9.263505165328281e-100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Della,0.0,1.205379916092505e-303,0.0,0.0,0.0,0.0,1.0,0.0,1.3993493796333113e-192,0.0
Robin_education_Leslie,1.0,1.610471517401092e-191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0004058346027886951,0.0,0.0,0.0,0.0,0.0,0.0,0.9995941653972112,0.0
Robin_education_Mercedes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9071875542681797e-30,0.0
Robin_education_Julius,0.0,1.7205219974167181e-209,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,5.946002796317586e-181,0.0,0.0,0.0,0.0,1.0,0.0,9.600255684598286e-111,0.0
Robin_education_Lizbeth,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.569978515952502e-18,0.0
Robin_office_Gayle,0.0,5.363233979121185e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999463673,0.0
Robin_office_Shirlene,0.0,3.1430218526086893e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9999996856978147,0.0
Robin_education_Madeline,0.0,2.4682072096310567e-27,0.0,1.0,0.0,0.0,0.0,0.0,8.376020527899222e-133,0.0
Robin_lodging_Phillip,0.0,7.927215913030391e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999921,0.0
Robin_education_Jasper,0.0,0.9999999999989839,0.0,0.0,0.0,0.0,0.0,0.0,1.0165383230999414e-12,0.0
Robin_office_Wai,0.0,4.009997459823432e-70,0.0,0.0,1.0,0.0,0.0,0.0,4.677260065251239e-162,0.0
Robin_education_Terrance,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5956255800278554e-136,0.0
Robin_lodging_Elmer,0.0,4.385090742606271e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Addie,0.0,3.9176708174377686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999608232918258,0.0
Robin_education_Cecilia,0.0,7.35304681597449e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999264695321,0.0
Robin_education_Kiera,0.0,4.846126467879613e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9999951538735318,0.0
Robin_lodging_Pricilla,0.0,2.0704830170246835e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_So,0.0,2.0377879335353998e-32,0.0,1.0,0.0,0.0,0.0,0.0,4.163896646724104e-193,0.0
Robin_office_Maryann,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3677984757371104e-69,0.0
Robin_office_Serena,0.0,1.0926803324627408e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999998907318,0.0
Robin_education_Derrick,0.0,6.860095703296594e-32,0.0,1.0,0.0,0.0,0.0,0.0,1.445004527063329e-136,0.0
Robin_education_Megan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.938320525635255e-151,0.0
Robin_office_Adolph,0.0,7.754217755403309e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999224578224459,0.0
Robin_office_Lindsay,0.0,1.5326171844004045e-178,0.0,0.0,0.0,0.0,1.0,0.0,4.4028594167416843e-70,0.0
Robin_education_Takako,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.320102114503762e-43,0.0
Robin_lodging_Oliva,0.0,3.8920517727817274e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Victor,0.0,1.3322464268022145e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999986677537,0.0
Robin_education_Margarito,0.0,9.751794458425461e-42,0.0,1.0,0.0,0.0,0.0,0.0,2.759717698995e-311,0.0
Robin_public_Cami,0.0,8.022548003568514e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999197745201,0.0
Robin_education_Kristopher,0.0,0.9999298832334094,0.0,0.0,0.0,0.0,0.0,0.0,7.011676659047487e-05,0.0
Robin_education_Billi,0.0,6.163025861892608e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Celia,0.0,4.8216905944811737e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Donald,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85514885988988e-17,0.0
Robin_assembly_Colleen,0.0,1.741360806214788e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9999982586391938,0.0
Robin_office_Soledad,0.0,8.204307285951507e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.999999917956927,0.0
Robin_education_Audrea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4900134147395403e-67,0.0
Robin_office_Saul,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2414645685650267e-50,0.0
Robin_lodging_Donna,0.0,2.8783474678634176e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Antonina,0.0,7.500373346588236e-25,0.0,1.0,0.0,0.0,0.0,0.0,1.1483725624920558e-200,0.0
Robin_office_Erma,0.0,6.133303726147491e-50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Zelma,0.0,0.9997633373259626,0.0,0.0,0.0,0.0,0.0,0.0,0.00023666267403661448,0.0
Robin_lodging_Renea,0.0,1.4707919954052406e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Armand,0.0,1.2333493138397315e-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Karyl,0.0,4.8396003268168246e-269,0.0,0.0,0.0,0.0,1.0,0.0,2.6705954074248555e-108,0.0
Robin_lodging_Janie,0.0,5.181675009232658e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Sherill,0.0,1.3504646534456817e-120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,3.80100039847186e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999996199,0.0
Shrew_office_Nora,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.234007200508474e-38,0.0
Shrew_office_Katherine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.353449790098088e-20,0.0
Shrew_office_Ila,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.571071808767512e-21,0.0
Shrew_office_Doug,0.0,0.006070559687659406,0.0,0.0,0.0,0.0,0.0,0.0,0.9939294403123409,0.0
Shrew_office_Doris,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0788772543629232e-46,0.0
Shrew_office_Lin,0.0,1.256914607860995e-91,0.0,0.0,1.0,0.0,0.0,0.0,3.888140879685088e-232,0.0
Shrew_office_Kenneth,0.0,7.487945123834327e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mouse_lodging_Vicente,0.0,2.7476963666026047e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999972523037,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mouse_health_Ileana,0.0,3.140381011971704e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999689,0.0
Mouse_health_Estela,0.0,1.3027189509539851e-168,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
