,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10
Robin_public_Carolina,0.0,1.8054323450261963e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Dorthy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,7.320447165432875e-56,1.0487713860424431e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999989515,0.0
Robin_office_Dina,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.496893175247007e-200,0.0
Robin_education_Derick,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251679984018359e-144,0.0
Robin_education_Mercedes,1.0,1.345729031999537e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_education_Lashandra,0.0,1.2815749669619546e-205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Lizbeth,0.0,1.9611109748103488e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Gayle,0.0,0.9999999999999947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.686141252265763e-15,0.0
Robin_office_Shirlene,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4600242886670233e-62,0.0
Robin_education_Madeline,1.0,1.762661781616218e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,5.0097132646426754e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Wai,0.0,6.881271902173077e-264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_education_Terrance,1.0,3.071570322605195e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.388696800722393e-103,0.0
Robin_office_Addie,0.0,0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6040993126297e-16,0.0
Robin_education_Cecilia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.963637198683652e-22,0.0
Robin_education_Kiera,0.0,1.6089281425774618e-30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.162482514990907e-286,0.0
Robin_lodging_Pricilla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4225254442965743e-89,0.0
Robin_education_So,1.0,9.132120902502353e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.414423936764495e-261,0.0
Robin_office_Maryann,1.0,3.677036230310504e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.843751975178972e-166,0.0
Robin_office_Serena,0.0,6.1198730929858146e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.576946117851488e-208,0.0
Robin_education_Derrick,1.0,1.5994575698914757e-121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0864205e-315,0.0
Robin_education_Megan,1.0,6.578041115332234e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.9999999822380539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776194599699529e-08,0.0
Robin_office_Lindsay,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,5.937675915369294e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Oliva,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
