,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11
Robin_public_Carolina,1.0172656819617351e-137,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.9999996526192004,0.0,0.0,0.0,3.4738079955833184e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,2.4725426930526397e-173,0.0,0.0,0.0,2.714138457202837e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Dina,1.8416242880483987e-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,0.0,2.0647009933066023e-122,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,2.1084504212647297e-33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,1.719887e-318,0.0,0.0,0.0,4.8985429830849804e-37,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_education_Julius,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,0.0,0.0,0.0,8.804943175707777e-174,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_education_Lizbeth,1.6410912163627369e-112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.999813850344623,0.0,0.0,0.0,0.00018614965537715937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,2.1924472235319528e-54,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,5.9936664068875e-43,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.9999999945272537,0.0,0.0,0.0,5.4727464220915844e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,2.0336946434855965e-168,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Wai,4.890536743261548e-238,0.0,0.0,0.0,2.1318157772955834e-150,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,1.868613134949706e-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Elmer,0.9999999999999845,0.0,0.0,0.0,1.587388513430632e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,2.7427177020055572e-70,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
