,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12
Robin_public_Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.733740185561367e-21,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.268982635521055e-25,0.0,0.0,0.0,1.0
Robin_office_Dina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.344944212725039e-207,0.0,0.0,1.0,0.0
Robin_education_Della,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.442267567302851e-220,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.145320264099022e-35,0.0,0.0,0.0,1.0
Robin_education_Julius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.106612288320041e-293,0.0,1.0,0.0,0.0
Robin_education_Lashandra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3041203171615255e-108,0.0,0.0,0.0,1.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,1.9445311105060014e-130,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5398956656143446e-39,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7149658808855773e-117,0.0,1.0,0.0,0.0
Robin_education_Terrance,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5223007585291795e-34,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,0.0,0.9999999999999964,0.0,0.0,0.0,3.4433331951460013e-15,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,0.0,0.999999939721945,0.0,0.0,0.0,6.027805518638088e-08,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.183593824881795e-91,1.0,0.0,0.0,0.0
Robin_office_Maryann,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4634705079469198e-25,0.0,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,0.0,0.0,0.999999997341539,0.0,0.0,0.0,2.6584609661708034e-09,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72211651605168e-69,1.0,0.0,0.0,0.0
Robin_education_Megan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1898405808229312e-82,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4609139705499957e-132,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,0.0,0.9999988908590329,0.0,0.0,0.0,1.1091409671535217e-06,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.895194230222497e-106,1.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.973602242752824e-31,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,0.99999999999998,0.0,0.0,0.0,2.006954221097965e-14,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6756168547267065e-46,0.0,0.0,0.0,1.0
Robin_office_Saul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,0.9999429031549802,0.0,0.0,0.0,5.7096845019971284e-05,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4843591026945635e-65,1.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5894195770029379e-32,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,0.0,0.9999999999999982,0.0,0.0,0.0,2.0119210537221546e-15,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,0.0,1.58559907655547e-183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.098536990311983e-215,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.260933396214229e-245,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.0,0.9999910563687932,0.0,0.0,0.0,8.943631207009782e-06,0.0,0.0,0.0,0.0
Shrew_office_Nora,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1628171124997393e-58,0.0,0.0,0.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.122675894123044e-19,0.0,0.0,0.0,0.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1983874347117413e-25,0.0,0.0,0.0,0.0
Shrew_office_Lin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0687834236383805e-136,0.0,1.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,0.0,2.943518403790379e-32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.0,0.0,0.9999999998657412,0.0,0.0,0.0,1.3425893583558774e-10,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.712846375419956e-188,0.0,1.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
