,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15
Robin_public_Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0322539245720504e-45,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.427392880047679e-30,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6845139768969643e-15,0.0,0.9999999999999982,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.250951231596734e-56,0.0,0.0,0.0,0.0,0.0,1.0
Robin_education_Julius,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6113089101647367e-212,0.0,0.0,0.0,0.0,0.0,1.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.269260951383931e-32,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.903603321221936e-135,0.0,0.0,1.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.111194283795193e-27,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5092992979238427e-256,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3162802712679217e-153,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1255411440431638e-30,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5534940434698147e-188,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1384736455055835e-89,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Serena,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5511897714779021e-27,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.623145832167776e-136,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Megan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.316522815004869e-159,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8512213475472415e-55,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.011631299574245e-22,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0146937861002553e-291,0.0,0.0,1.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.031363492672428e-32,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8298150112982937e-59,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7096217424553543e-25,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94798977484466e-25,0.0,1.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.999999999999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0243490970538616e-13,0.0,0.0,0.0,0.0,0.0,0.0
