,Cluster_0,Cluster_1
Robin_public_Carolina,1.0,0.0
Robin_lodging_Dorthy,1.0,0.0
Robin_education_Zenia,1.0,0.0
Robin_office_Dina,1.0,0.0
Robin_education_Derick,1.0458453471029168e-39,1.0
Robin_education_Della,1.0,0.0
Robin_education_Leslie,1.9094821293792678e-71,1.0
Robin_office_Sammie,1.0,0.0
Robin_education_Mercedes,1.0,0.0
Robin_education_Julius,5.019768264973939e-50,1.0
Robin_education_Lashandra,1.0,0.0
Robin_education_Lizbeth,1.0,0.0
Robin_office_Gayle,1.0,0.0
Robin_office_Shirlene,1.0,0.0
Robin_education_Madeline,1.0,0.0
Robin_lodging_Phillip,1.0,0.0
Robin_education_Jasper,1.0,0.0
Robin_office_Wai,1.0,0.0
Robin_education_Terrance,1.0,0.0
Robin_lodging_Elmer,1.0,0.0
Robin_office_Addie,1.0,0.0
Robin_education_Cecilia,1.0,0.0
Robin_education_Kiera,1.0,0.0
Robin_lodging_Pricilla,1.0,0.0
Robin_education_So,1.0,0.0
Robin_office_Maryann,1.0,0.0
Robin_office_Serena,1.0,0.0
Robin_education_Derrick,1.0,0.0
Robin_education_Megan,1.0,0.0
Robin_office_Adolph,1.0,0.0
Robin_office_Lindsay,1.0,0.0
Robin_education_Takako,1.0,0.0
Robin_lodging_Oliva,1.0,0.0
Robin_office_Victor,1.0,0.0
Robin_education_Margarito,1.0,0.0
Robin_public_Cami,1.0,0.0
Robin_education_Kristopher,1.0,0.0
Robin_education_Billi,1.0,0.0
Robin_lodging_Celia,1.0,0.0
Robin_office_Donald,1.0,0.0
Robin_assembly_Colleen,1.0,0.0
Robin_office_Soledad,1.0,0.0
Robin_education_Audrea,1.0,0.0
Robin_office_Saul,1.0,0.0
Robin_lodging_Donna,1.0,0.0
Robin_office_Antonina,1.0,0.0
Robin_office_Erma,1.0,0.0
Robin_office_Zelma,1.0,0.0
Robin_lodging_Renea,1.0,0.0
Robin_lodging_Armand,1.0,0.0
Robin_education_Karyl,1.0,0.0
Robin_lodging_Janie,1.0,0.0
Shrew_office_Sherill,1.2538626163989688e-33,1.0
Shrew_office_Rose,1.0,0.0
Shrew_office_Nora,1.0,0.0
Shrew_office_Katherine,1.0,0.0
Shrew_office_Ila,1.0,0.0
Shrew_office_Doug,1.0,0.0
Shrew_office_Doris,1.0,0.0
Shrew_office_Lin,1.614314871032278e-28,1.0
Shrew_office_Kenneth,1.0,0.0
Mouse_health_Buddy,1.0,0.0
Mouse_health_Modesto,1.3473281264485065e-113,1.0
Mouse_lodging_Vicente,1.0,0.0
Mouse_health_Justin,1.1858260809654154e-198,1.0
Mouse_health_Ileana,1.0,0.0
Mouse_health_Estela,6.058837940870873e-40,1.0
Mouse_science_Micheal,1.0,0.0
