,Cluster_0,Cluster_1,Cluster_2
Robin_public_Carolina,0.14546194637172594,0.0,0.8545380536282741
Robin_lodging_Dorthy,7.698022318345491e-33,0.0,1.0
Robin_education_Zenia,0.999969103345899,0.0,3.089665410134525e-05
Robin_office_Dina,2.6215783020523495e-07,0.0,0.9999997378421692
Robin_education_Derick,3.59667071529421e-63,1.0,0.0
Robin_education_Della,0.0,0.0,1.0
Robin_education_Leslie,8.017852095520696e-79,1.0,0.0
Robin_office_Sammie,0.00027519156178459165,0.0,0.9997248084382153
Robin_education_Mercedes,1.0,0.0,9.931956217797992e-16
Robin_education_Julius,1.0,0.0,1.29448124427591e-253
Robin_education_Lashandra,1.053669765946658e-183,0.0,1.0
Robin_education_Lizbeth,4.823384174908456e-08,0.0,0.9999999517661575
Robin_office_Gayle,2.402934964620418e-06,0.0,0.9999975970650348
Robin_office_Shirlene,2.576841947075032e-06,0.0,0.9999974231580531
Robin_education_Madeline,1.0,0.0,8.232045300232704e-45
Robin_lodging_Phillip,2.8349868351483287e-10,0.0,0.9999999997165006
Robin_education_Jasper,0.006558697657381246,0.0,0.9934413023426192
Robin_office_Wai,1.0,0.0,5.734479397410633e-72
Robin_education_Terrance,1.0,0.0,1.6811891833631837e-58
Robin_lodging_Elmer,3.735449237560498e-18,0.0,1.0
Robin_office_Addie,1.613805950937071e-05,0.0,0.9999838619404904
Robin_education_Cecilia,4.539314398172518e-08,0.0,0.9999999546068558
Robin_education_Kiera,3.905335237610903e-07,0.0,0.9999996094664761
Robin_lodging_Pricilla,3.837749508883773e-15,0.0,0.9999999999999964
Robin_education_So,1.0,0.0,1.6350738993771548e-77
Robin_office_Maryann,1.0,0.0,4.925212993521126e-29
Robin_office_Serena,1.4004546179238328e-06,0.0,0.9999985995453821
Robin_education_Derrick,1.0,0.0,1.4382458363872118e-56
Robin_education_Megan,1.0,0.0,9.457435499755802e-75
Robin_office_Adolph,6.310559894863068e-10,0.0,0.9999999993689439
Robin_office_Lindsay,0.0,0.0,1.0
Robin_education_Takako,0.9999999999999911,0.0,9.737524507308044e-15
Robin_lodging_Oliva,1.8947134968756374e-14,0.0,0.9999999999999805
Robin_office_Victor,2.106718364963754e-10,0.0,0.9999999997893285
Robin_education_Margarito,1.0,0.0,4.8999218430769963e-126
Robin_public_Cami,0.09878986217551294,0.0,0.9012101378244878
Robin_education_Kristopher,0.004526697864998622,0.0,0.9954733021350016
Robin_education_Billi,5.234930122545861e-10,0.0,0.9999999994765076
Robin_lodging_Celia,1.2360957275482832e-23,0.0,1.0
Robin_office_Donald,5.435144605111704e-25,0.0,1.0
Robin_assembly_Colleen,5.55100601070031e-07,0.0,0.9999994448993985
Robin_office_Soledad,6.522764155974279e-08,0.0,0.9999999347723584
Robin_education_Audrea,1.0,0.0,8.656540673748857e-17
Robin_office_Saul,6.1417793389625616e-176,0.0,1.0
Robin_lodging_Donna,7.386890803726293e-22,0.0,1.0
Robin_office_Antonina,1.0,0.0,5.048620176807722e-81
Robin_office_Erma,2.7370378219756796e-103,0.0,1.0
Robin_office_Zelma,0.0531948102116822,0.0,0.9468051897883174
Robin_lodging_Renea,5.421721464409223e-15,0.0,0.9999999999999947
Robin_lodging_Armand,1.0989724587954322e-18,0.0,1.0
Robin_education_Karyl,0.0,0.0,1.0
Robin_lodging_Janie,2.7193590817028875e-20,0.0,1.0
Shrew_office_Sherill,1.0,0.0,2.566830258542086e-268
Shrew_office_Rose,4.4619565145994675e-06,0.0,0.9999955380434854
Shrew_office_Nora,1.0,0.0,3.888472682408417e-21
Shrew_office_Katherine,3.150048501964554e-43,0.0,1.0
Shrew_office_Ila,0.9999999994781543,0.0,5.21846007253104e-10
Shrew_office_Doug,0.2010183415931391,0.0,0.7989816584068616
Shrew_office_Doris,1.0,0.0,1.715866128904027e-19
Shrew_office_Lin,1.0,0.0,1.5043182020373962e-128
Shrew_office_Kenneth,2.914557219291151e-08,0.0,0.9999999708544274
Mouse_health_Buddy,0.0,0.0,1.0
Mouse_health_Modesto,3.0716904854412736e-125,1.0,0.0
Mouse_lodging_Vicente,1.867968657316833e-05,0.0,0.9999813203134265
Mouse_health_Justin,6.166344008175235e-102,1.0,0.0
Mouse_health_Ileana,0.00011167501813598119,0.0,0.999888324981864
Mouse_health_Estela,1.0,0.0,5.801681416872442e-186
Mouse_science_Micheal,0.0,1.0,0.0
