,Cluster_0,Cluster_1,Cluster_2,Cluster_3
Robin_public_Carolina,6.196108878809966e-07,0.0,0.0,0.9999993803891113
Robin_lodging_Dorthy,4.709327053399147e-30,0.0,0.0,1.0
Robin_education_Zenia,0.01917283168140394,0.0,0.0,0.9808271683185954
Robin_office_Dina,5.255450540359261e-15,0.0,0.0,0.9999999999999947
Robin_education_Derick,8.539777903602308e-50,1.0,0.0,6.242272497422301e-165
Robin_education_Della,0.0,0.0,1.0,2.018002890803043e-122
Robin_education_Leslie,1.8264833425823368e-52,1.0,0.0,3.146203168177382e-294
Robin_office_Sammie,5.743228339228141e-10,0.0,0.0,0.9999999994256772
Robin_education_Mercedes,0.9998486552796974,0.0,0.0,0.00015134472030335405
Robin_education_Julius,2.248401043069907e-21,1.0,0.0,2.2565328188761356e-158
Robin_education_Lashandra,1.0,0.0,0.0,6.427335752425338e-44
Robin_education_Lizbeth,2.6344176472610302e-11,0.0,0.0,0.9999999999736566
Robin_office_Gayle,2.7591912084848406e-12,0.0,0.0,0.9999999999972413
Robin_office_Shirlene,1.97628138592039e-11,0.0,0.0,0.9999999999802371
Robin_education_Madeline,1.0,0.0,0.0,3.6222363057100744e-21
Robin_lodging_Phillip,1.3401840992073005e-14,0.0,0.0,0.9999999999999867
Robin_education_Jasper,3.346812999203312e-09,0.0,0.0,0.9999999966531874
Robin_office_Wai,1.0,0.0,0.0,1.9408600347540354e-44
Robin_education_Terrance,1.0,0.0,0.0,5.49355794178115e-16
Robin_lodging_Elmer,5.1800747641772066e-21,0.0,0.0,1.0
Robin_office_Addie,4.4084876547204795e-10,0.0,0.0,0.9999999995591518
Robin_education_Cecilia,5.813494449511693e-11,0.0,0.0,0.9999999999418652
Robin_education_Kiera,7.294024654134454e-12,0.0,0.0,0.9999999999927063
Robin_lodging_Pricilla,3.2272513265559227e-24,0.0,0.0,1.0
Robin_education_So,1.0,0.0,0.0,8.90538974626016e-40
Robin_office_Maryann,0.9999998241484439,0.0,0.0,1.7585155566094302e-07
Robin_office_Serena,4.4555124011697354e-13,0.0,0.0,0.9999999999995541
Robin_education_Derrick,1.0,0.0,0.0,6.671369041207655e-31
Robin_education_Megan,1.0,0.0,0.0,5.122139700530525e-52
Robin_office_Adolph,1.0225879997677452e-15,0.0,0.0,0.9999999999999991
Robin_office_Lindsay,1.508485445228722e-109,0.0,1.0,2.007789860016062e-53
Robin_education_Takako,0.025577493175487104,0.0,0.0,0.9744225068245125
Robin_lodging_Oliva,2.740011365641018e-19,0.0,0.0,1.0
Robin_office_Victor,2.238289656507111e-15,0.0,0.0,0.9999999999999982
Robin_education_Margarito,1.0,0.0,0.0,3.786123936923092e-64
Robin_public_Cami,1.8436172762406455e-06,0.0,0.0,0.9999981563827228
Robin_education_Kristopher,0.00017004150807263825,0.0,0.0,0.9998299584919276
Robin_education_Billi,3.535905261337349e-12,0.0,0.0,0.999999999996465
Robin_lodging_Celia,2.1614639160277693e-23,0.0,0.0,1.0
Robin_office_Donald,5.72210026351685e-08,0.0,0.0,0.9999999427789968
Robin_assembly_Colleen,1.5179304287031778e-12,0.0,0.0,0.9999999999984821
Robin_office_Soledad,7.284218194455532e-16,0.0,0.0,0.9999999999999991
Robin_education_Audrea,1.0,0.0,0.0,2.5568285450112784e-16
Robin_office_Saul,5.556723009162547e-202,0.0,0.0,1.0
Robin_lodging_Donna,5.325908426052922e-20,0.0,0.0,1.0
Robin_office_Antonina,1.0,0.0,0.0,3.693754521280935e-27
Robin_office_Erma,2.386806247066832e-26,0.0,0.0,1.0
Robin_office_Zelma,1.0708318170458662e-08,0.0,0.0,0.9999999892916822
Robin_lodging_Renea,3.243124147376012e-17,0.0,0.0,1.0
Robin_lodging_Armand,6.132185740825371e-16,0.0,0.0,0.9999999999999991
Robin_education_Karyl,1.124035717370224e-138,0.0,1.0,5.553340589095103e-79
Robin_lodging_Janie,8.624023403567879e-26,0.0,0.0,1.0
Shrew_office_Sherill,3.1444992746330604e-30,1.0,0.0,1.754174472107697e-167
Shrew_office_Rose,2.0421761645128388e-10,0.0,0.0,0.9999999997957829
Shrew_office_Nora,0.9999999999999698,0.0,0.0,3.086684359059243e-14
Shrew_office_Katherine,1.7426271091279544e-57,0.0,0.0,1.0
Shrew_office_Ila,0.0023384564798267643,0.0,0.0,0.9976615435201726
Shrew_office_Doug,4.863189686187127e-06,0.0,0.0,0.9999951368103136
Shrew_office_Doris,0.9999999976715994,0.0,0.0,2.3283998878858906e-09
Shrew_office_Lin,1.0,0.0,0.0,1.3445319316471476e-57
Shrew_office_Kenneth,1.6047971199618598e-09,0.0,0.0,0.9999999983952028
Mouse_health_Buddy,0.0,0.0,1.0,0.0
Mouse_health_Modesto,1.4229642860817583e-162,1.0,0.0,0.0
Mouse_lodging_Vicente,1.993352613276732e-08,0.0,0.0,0.9999999800664734
Mouse_health_Justin,7.035926791838638e-102,1.0,0.0,0.0
Mouse_health_Ileana,7.965452766081179e-08,0.0,0.0,0.9999999203454731
Mouse_health_Estela,1.0,0.0,0.0,6.207139608787606e-92
Mouse_science_Micheal,1.0,0.0,0.0,0.0
