,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4
Robin_public_Carolina,0.9999393121036066,0.0,0.0,0.0,6.068789639382974e-05
Robin_lodging_Dorthy,1.0,0.0,0.0,0.0,4.188396891211173e-27
Robin_education_Zenia,0.001977385657988171,0.0,0.0,0.0,0.9980226143420118
Robin_office_Dina,0.9999999999888987,0.0,0.0,0.0,1.110176837894608e-11
Robin_education_Derick,1.2477899868619035e-207,0.0,1.0,0.0,1.4134469070714383e-77
Robin_education_Della,7.901441675700498e-126,0.0,0.0,1.0,0.0
Robin_education_Leslie,0.0,0.0,1.0,0.0,1.6969120601115986e-87
Robin_office_Sammie,0.9999978706756906,0.0,0.0,0.0,2.129324309265856e-06
Robin_education_Mercedes,7.479098629912024e-11,0.0,0.0,0.0,0.9999999999252083
Robin_education_Julius,9.032280619390316e-153,0.0,1.0,0.0,2.6325118113014515e-21
Robin_education_Lashandra,2.7548802829531938e-55,0.0,0.0,0.0,1.0
Robin_education_Lizbeth,0.9999999999998934,0.0,0.0,0.0,1.0672182186569418e-13
Robin_office_Gayle,0.9999999933500696,0.0,0.0,0.0,6.649930582179405e-09
Robin_office_Shirlene,0.9999999950694005,0.0,0.0,0.0,4.93059956075017e-09
Robin_education_Madeline,4.1017960221626612e-44,0.0,0.0,0.0,1.0
Robin_lodging_Phillip,0.9999999999925411,0.0,0.0,0.0,7.459344426434475e-12
Robin_education_Jasper,0.9999999997636815,0.0,0.0,0.0,2.3631831159010117e-10
Robin_office_Wai,9.200028482042985e-44,0.0,0.0,0.0,1.0
Robin_education_Terrance,1.0494287240448861e-37,0.0,0.0,0.0,1.0
Robin_lodging_Elmer,1.0,0.0,0.0,0.0,1.1393811357796326e-22
Robin_office_Addie,0.9999999999340314,0.0,0.0,0.0,6.596848362445887e-11
Robin_education_Cecilia,0.9999982895799863,0.0,0.0,0.0,1.7104200134395064e-06
Robin_education_Kiera,0.999999989569961,0.0,0.0,0.0,1.0430039058770012e-08
Robin_lodging_Pricilla,1.0,0.0,0.0,0.0,1.9419128921481546e-25
Robin_education_So,2.8620396030854666e-68,0.0,0.0,0.0,1.0
Robin_office_Maryann,1.4790965097533027e-20,0.0,0.0,0.0,1.0
Robin_office_Serena,0.9999999910176278,0.0,0.0,0.0,8.982371947248797e-09
Robin_education_Derrick,3.437704004007627e-48,0.0,0.0,0.0,1.0
Robin_education_Megan,8.976961903604278e-69,0.0,0.0,0.0,1.0
Robin_office_Adolph,0.9999999999999978,0.0,0.0,0.0,2.4592549941277417e-15
Robin_office_Lindsay,4.30324606095814e-56,0.0,0.0,1.0,3.4385748207671464e-100
Robin_education_Takako,1.330021882817053e-10,0.0,0.0,0.0,0.9999999998669971
Robin_lodging_Oliva,1.0,0.0,0.0,0.0,1.7570406604810147e-17
Robin_office_Victor,0.9999999999902718,0.0,0.0,0.0,9.728428752865907e-12
Robin_education_Margarito,3.442042502259955e-123,0.0,0.0,0.0,1.0
Robin_public_Cami,0.9992311319417753,0.0,0.0,0.0,0.000768868058225522
Robin_education_Kristopher,0.9970201056644677,0.0,0.0,0.0,0.0029798943355326905
Robin_education_Billi,0.9999999999994955,0.0,0.0,0.0,5.046013338226927e-13
Robin_lodging_Celia,1.0,0.0,0.0,0.0,2.7275386783486753e-21
Robin_office_Donald,0.999999998503343,0.0,0.0,0.0,1.496656665282956e-09
Robin_assembly_Colleen,0.9999999912794673,0.0,0.0,0.0,8.720532484893123e-09
Robin_office_Soledad,0.9999999998430829,0.0,0.0,0.0,1.5691715397436687e-10
Robin_education_Audrea,7.277313114060062e-20,0.0,0.0,0.0,1.0
Robin_office_Saul,1.0,0.0,0.0,0.0,1.5355041452520802e-285
Robin_lodging_Donna,0.9999999999999991,0.0,0.0,0.0,8.182281704724406e-16
Robin_office_Antonina,1.5845044344535604e-53,0.0,0.0,0.0,1.0
Robin_office_Erma,1.0,0.0,0.0,0.0,1.0734008054706055e-31
Robin_office_Zelma,0.999772394624232,0.0,0.0,0.0,0.00022760537576864398
Robin_lodging_Renea,1.0,0.0,0.0,0.0,2.1408240848763245e-17
Robin_lodging_Armand,0.9999999999946549,0.0,0.0,0.0,5.345074894339789e-12
Robin_education_Karyl,2.3870276917802835e-84,0.0,0.0,1.0,8.615116761707082e-130
Robin_lodging_Janie,1.0,0.0,0.0,0.0,8.309601453920214e-27
Shrew_office_Sherill,3.247606796298431e-174,0.0,1.0,0.0,1.517847912034824e-30
Shrew_office_Rose,0.9999998771175211,0.0,0.0,0.0,1.2288247886613284e-07
Shrew_office_Nora,3.3745337168576535e-17,0.0,0.0,0.0,1.0
Shrew_office_Katherine,1.0,0.0,0.0,0.0,4.8382914168269496e-89
Shrew_office_Ila,0.9735975299874136,0.0,0.0,0.0,0.026402470012586634
Shrew_office_Doug,0.9951325581267277,0.0,0.0,0.0,0.004867441873271955
Shrew_office_Doris,9.781347033823739e-14,0.0,0.0,0.0,0.9999999999999023
Shrew_office_Lin,2.5326522194919257e-58,0.0,0.0,0.0,1.0
Shrew_office_Kenneth,0.9999842168568535,0.0,0.0,0.0,1.5783143146360055e-05
Mouse_health_Buddy,0.0,0.0,0.0,1.0,0.0
Mouse_health_Modesto,0.0,0.0,1.0,0.0,3.366281737351959e-154
Mouse_lodging_Vicente,0.9999993859326646,0.0,0.0,0.0,6.14067336255752e-07
Mouse_health_Justin,0.0,0.0,1.0,0.0,7.477256114351679e-106
Mouse_health_Ileana,0.999985229883601,0.0,0.0,0.0,1.477011639926551e-05
Mouse_health_Estela,4.509226766717345e-93,0.0,0.0,0.0,1.0
Mouse_science_Micheal,0.0,1.0,0.0,0.0,0.0
