,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5
Robin_public_Carolina,6.068789639382952e-05,0.0,0.0,0.9999393121036066,0.0,0.0
Robin_lodging_Dorthy,4.188396891211173e-27,0.0,0.0,1.0,0.0,0.0
Robin_education_Zenia,0.9980226143420118,0.0,0.0,0.001977385657988171,0.0,0.0
Robin_office_Dina,1.1101768378946039e-11,0.0,0.0,0.9999999999888987,0.0,0.0
Robin_education_Derick,3.811081937620963e-81,0.0,0.0,3.364420592724167e-211,1.0,0.0
Robin_education_Della,0.0,1.0,0.0,7.901441675700498e-126,0.0,0.0
Robin_education_Leslie,4.575386330010747e-91,0.0,0.0,0.0,1.0,0.0
Robin_office_Sammie,2.1293243092658486e-06,0.0,0.0,0.9999978706756906,0.0,0.0
Robin_education_Mercedes,0.9999999999252083,0.0,0.0,7.479098629912024e-11,0.0,0.0
Robin_education_Julius,7.098053438779411e-25,0.0,0.0,2.4353778864448054e-156,1.0,0.0
Robin_education_Lashandra,1.0,0.0,0.0,2.7548802829531938e-55,0.0,0.0
Robin_education_Lizbeth,1.0672182186569418e-13,0.0,0.0,0.9999999999998934,0.0,0.0
Robin_office_Gayle,6.649930582179381e-09,0.0,0.0,0.9999999933500696,0.0,0.0
Robin_office_Shirlene,4.930599560750153e-09,0.0,0.0,0.9999999950694005,0.0,0.0
Robin_education_Madeline,1.0,0.0,0.0,4.1017960221626612e-44,0.0,0.0
Robin_lodging_Phillip,7.459344426434475e-12,0.0,0.0,0.9999999999925411,0.0,0.0
Robin_education_Jasper,2.3631831159010034e-10,0.0,0.0,0.9999999997636815,0.0,0.0
Robin_office_Wai,1.0,0.0,0.0,9.200028482042985e-44,0.0,0.0
Robin_education_Terrance,1.0,0.0,0.0,1.0494287240448861e-37,0.0,0.0
Robin_lodging_Elmer,1.1393811357796326e-22,0.0,0.0,1.0,0.0,0.0
Robin_office_Addie,6.596848362445887e-11,0.0,0.0,0.9999999999340314,0.0,0.0
Robin_education_Cecilia,1.7104200134395064e-06,0.0,0.0,0.9999982895799863,0.0,0.0
Robin_education_Kiera,1.0430039058770012e-08,0.0,0.0,0.999999989569961,0.0,0.0
Robin_lodging_Pricilla,1.9419128921481546e-25,0.0,0.0,1.0,0.0,0.0
Robin_education_So,1.0,0.0,0.0,2.8620396030854666e-68,0.0,0.0
Robin_office_Maryann,1.0,0.0,0.0,1.4790965097533027e-20,0.0,0.0
Robin_office_Serena,8.982371947248765e-09,0.0,0.0,0.9999999910176278,0.0,0.0
Robin_education_Derrick,1.0,0.0,0.0,3.437704004007627e-48,0.0,0.0
Robin_education_Megan,1.0,0.0,0.0,8.976961903604278e-69,0.0,0.0
Robin_office_Adolph,2.4592549941277417e-15,0.0,0.0,0.9999999999999978,0.0,0.0
Robin_office_Lindsay,3.4385748207671464e-100,1.0,0.0,4.30324606095814e-56,0.0,0.0
Robin_education_Takako,0.9999999998669971,0.0,0.0,1.330021882817053e-10,0.0,0.0
Robin_lodging_Oliva,1.7570406604810147e-17,0.0,0.0,1.0,0.0,0.0
Robin_office_Victor,9.728428752865873e-12,0.0,0.0,0.9999999999902718,0.0,0.0
Robin_education_Margarito,1.0,0.0,0.0,3.442042502259955e-123,0.0,0.0
Robin_public_Cami,0.000768868058225522,0.0,0.0,0.9992311319417753,0.0,0.0
Robin_education_Kristopher,0.0029798943355326905,0.0,0.0,0.9970201056644677,0.0,0.0
Robin_education_Billi,5.046013338226927e-13,0.0,0.0,0.9999999999994955,0.0,0.0
Robin_lodging_Celia,2.7275386783486753e-21,0.0,0.0,1.0,0.0,0.0
Robin_office_Donald,1.496656665282956e-09,0.0,0.0,0.999999998503343,0.0,0.0
Robin_assembly_Colleen,8.720532484893092e-09,0.0,0.0,0.9999999912794673,0.0,0.0
Robin_office_Soledad,1.5691715397436633e-10,0.0,0.0,0.9999999998430829,0.0,0.0
Robin_education_Audrea,1.0,0.0,0.0,7.277313114060062e-20,0.0,0.0
Robin_office_Saul,1.5355041452520802e-285,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Donna,8.182281704724406e-16,0.0,0.0,0.9999999999999991,0.0,0.0
Robin_office_Antonina,1.0,0.0,0.0,1.5845044344535604e-53,0.0,0.0
Robin_office_Erma,1.0734008054706055e-31,0.0,0.0,1.0,0.0,0.0
Robin_office_Zelma,0.00022760537576864398,0.0,0.0,0.999772394624232,0.0,0.0
Robin_lodging_Renea,2.1408240848763245e-17,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Armand,5.345074894339789e-12,0.0,0.0,0.9999999999946549,0.0,0.0
Robin_education_Karyl,8.615116761707082e-130,1.0,0.0,2.3870276917802835e-84,0.0,0.0
Robin_lodging_Janie,8.309601453920214e-27,0.0,0.0,1.0,0.0,0.0
Shrew_office_Sherill,4.09257950586861e-34,0.0,0.0,8.756535429055192e-178,1.0,0.0
Shrew_office_Rose,1.2288247886613242e-07,0.0,0.0,0.9999998771175211,0.0,0.0
Shrew_office_Nora,1.0,0.0,0.0,3.3745337168576535e-17,0.0,0.0
Shrew_office_Katherine,4.8382914168269496e-89,0.0,0.0,1.0,0.0,0.0
Shrew_office_Ila,0.02640247001258654,0.0,0.0,0.9735975299874136,0.0,0.0
Shrew_office_Doug,0.004867441873271955,0.0,0.0,0.9951325581267277,0.0,0.0
Shrew_office_Doris,0.9999999999999023,0.0,0.0,9.781347033823739e-14,0.0,0.0
Shrew_office_Lin,1.0,0.0,0.0,2.5326522194919257e-58,0.0,0.0
Shrew_office_Kenneth,1.5783143146359998e-05,0.0,0.0,0.9999842168568535,0.0,0.0
Mouse_health_Buddy,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,9.076513105160392e-158,0.0,0.0,0.0,1.0,0.0
Mouse_lodging_Vicente,6.140673362557498e-07,0.0,0.0,0.9999993859326646,0.0,0.0
Mouse_health_Justin,5.604141436136066e-123,0.0,1.0,0.0,0.0,0.0
Mouse_health_Ileana,1.4770116399265458e-05,0.0,0.0,0.999985229883601,0.0,0.0
Mouse_health_Estela,1.0,0.0,0.0,4.509226766717345e-93,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,0.0,0.0,1.0
