,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Robin_public_Carolina,5.508114894588941e-05,0.0,0.0,0.9999449188510542,0.0,0.0,0.0
Robin_lodging_Dorthy,9.040820445305061e-64,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Zenia,0.9999976942596572,0.0,0.0,2.3057403431079774e-06,0.0,0.0,0.0
Robin_office_Dina,1.5041744020176361e-18,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Derick,3.801955665524483e-168,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Della,0.0,0.0,1.0,1.2196486784222386e-121,0.0,0.0,0.0
Robin_education_Leslie,2.5714520100324134e-205,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Sammie,8.68718564061998e-08,0.0,0.0,0.9999999131281438,0.0,0.0,0.0
Robin_education_Mercedes,1.0,0.0,0.0,2.6065477238013846e-19,0.0,0.0,0.0
Robin_education_Julius,1.8491522582822446e-223,0.0,0.0,8.844109618225112e-279,0.0,1.0,0.0
Robin_education_Lashandra,1.0,0.0,0.0,3.4557555691535376e-62,0.0,0.0,0.0
Robin_education_Lizbeth,1.1306595837361218e-09,0.0,0.0,0.99999999886934,0.0,0.0,0.0
Robin_office_Gayle,2.6129759297849233e-22,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Shirlene,2.7708629915954483e-13,0.0,0.0,0.9999999999997229,0.0,0.0,0.0
Robin_education_Madeline,1.0,0.0,0.0,8.106913366763945e-74,0.0,0.0,0.0
Robin_lodging_Phillip,3.4226435407361294e-28,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Jasper,0.9953639525002022,0.0,0.0,0.004636047499798053,0.0,0.0,0.0
Robin_office_Wai,1.2016021683009588e-83,0.0,0.0,6.963469648535856e-81,0.0,1.0,0.0
Robin_education_Terrance,1.0,0.0,0.0,2.646960270853398e-88,0.0,0.0,0.0
Robin_lodging_Elmer,7.940637687110446e-54,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Addie,2.6070497814782594e-12,0.0,0.0,0.9999999999973932,0.0,0.0,0.0
Robin_education_Cecilia,2.0002747171527825e-10,0.0,0.0,0.9999999997999724,0.0,0.0,0.0
Robin_education_Kiera,4.263228100148181e-14,0.0,0.0,0.9999999999999574,0.0,0.0,0.0
Robin_lodging_Pricilla,2.9390858210584743e-55,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_So,1.2434240446346032e-34,0.0,0.0,6.70826062944368e-131,0.0,0.0,1.0
Robin_office_Maryann,1.0,0.0,0.0,4.689437005455608e-48,0.0,0.0,0.0
Robin_office_Serena,9.774752214635847e-11,0.0,0.0,0.9999999999022524,0.0,0.0,0.0
Robin_education_Derrick,5.335840463164305e-28,0.0,0.0,1.321584228730727e-99,0.0,0.0,1.0
Robin_education_Megan,1.0,0.0,0.0,2.7041431321674886e-100,0.0,0.0,0.0
Robin_office_Adolph,2.3405373272812533e-15,0.0,0.0,0.9999999999999978,0.0,0.0,0.0
Robin_office_Lindsay,1.102497741378988e-195,0.0,1.0,2.625666005513877e-54,0.0,0.0,0.0
Robin_education_Takako,1.0,0.0,0.0,9.508610664172406e-25,0.0,0.0,0.0
Robin_lodging_Oliva,1.9778567999349363e-45,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Victor,3.508399546087132e-19,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Margarito,2.45991591359308e-24,0.0,0.0,6.653076822835423e-215,0.0,0.0,1.0
Robin_public_Cami,1.6606263079117732e-09,0.0,0.0,0.9999999983393746,0.0,0.0,0.0
Robin_education_Kristopher,0.004024813784716732,0.0,0.0,0.9959751862152829,0.0,0.0,0.0
Robin_education_Billi,9.793416798053846e-25,0.0,0.0,1.0,0.0,0.0,0.0
Robin_lodging_Celia,5.342891579182364e-53,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Donald,1.4452166226065136e-30,0.0,0.0,1.0,0.0,0.0,0.0
Robin_assembly_Colleen,7.083176439240569e-15,0.0,0.0,0.9999999999999929,0.0,0.0,0.0
Robin_office_Soledad,2.3891651548219955e-22,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Audrea,1.0,0.0,0.0,8.851704400816626e-24,0.0,0.0,0.0
