,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Robin_public_Carolina,0.0,0.9999060653798696,0.0,0.0,0.0,9.393462013121755e-05,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,1.2169650948147452e-47,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.9999999999986011,0.0,0.0,0.0,1.3986820994553975e-12,0.0,0.0,0.0
Robin_office_Dina,0.0,8.323650036509739e-05,0.0,0.0,0.0,0.9999167634996349,0.0,0.0,0.0
Robin_education_Derick,1.0,8.208652589787523e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,1.0,0.0,1.5098791583936764e-155,0.0,0.0,0.0
Robin_education_Leslie,0.0,8.096369194322569e-252,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_office_Sammie,0.0,0.012666936196069936,0.0,0.0,0.0,0.9873330638039303,0.0,0.0,0.0
Robin_education_Mercedes,0.0,1.0,0.0,0.0,0.0,1.4115323734472842e-31,0.0,0.0,0.0
Robin_education_Julius,1.0,2.0742149708696107e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,1.0,0.0,0.0,0.0,1.8425187110482852e-67,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,5.126672232469116e-09,0.0,0.0,0.0,0.9999999948733276,0.0,0.0,0.0
Robin_office_Gayle,0.0,0.00338596329551662,0.0,0.0,0.0,0.9966140367044831,0.0,0.0,0.0
Robin_office_Shirlene,0.0,4.188327158759671e-09,0.0,0.0,0.0,0.9999999958116728,0.0,0.0,0.0
Robin_education_Madeline,0.0,1.0,0.0,0.0,0.0,1.3894799681423873e-140,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,2.2560080529421063e-20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.9999933893761856,0.0,0.0,0.0,6.610623814878987e-06,0.0,0.0,0.0
Robin_office_Wai,1.0,4.6404086688477664e-55,0.0,0.0,0.0,8.578425695019888e-122,0.0,0.0,0.0
Robin_education_Terrance,0.0,1.0,0.0,0.0,0.0,8.108700116682785e-152,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,3.360004445427154e-26,0.0,0.0,0.0,1.0,0.0,0.0,0.0
