,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9
Robin_public_Carolina,0.0,0.0,0.0,0.0,7.476579760169332e-277,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Dorthy,0.0,1.0,0.0,0.0,4.134666150364822e-95,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,0.0,9.48521573101252e-08,0.0,0.0,0.9999999051478429,0.0,0.0
Robin_office_Dina,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,0.0,2.655807238769534e-148,0.0,0.0,1.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,0.0,3.0067940121296153e-96,0.0,0.0,0.0,0.0,1.0
Robin_education_Julius,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,1.0,0.0,0.0,0.0,7.188281026487949e-261,0.0,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,1.1084281076265714e-91,0.0,0.0,1.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,5.503134900532233e-30,0.0,0.0,0.0,1.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,2.9575956993507514e-142,0.0,0.0,0.0,0.0,1.0
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,2.0324637750417628e-30,0.0,0.0,1.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,1.6489986380652188e-12,0.0,0.0,0.9999999999983511,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_lodging_Elmer,0.0,1.0,0.0,0.0,1.5127906837891038e-197,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,0.0,0.0,9.802402731774645e-22,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Pricilla,0.0,1.0,0.0,0.0,6.2251800695810656e-117,0.0,0.0,0.0,0.0,0.0
Robin_education_So,1.0,0.0,0.0,0.0,2.0236663601481266e-234,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,0.0,6.327181253660717e-100,0.0,0.0,0.0,0.0,1.0
Robin_office_Serena,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,1.0,0.0,0.0,0.0,9.500491175975498e-148,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,0.0,4.896348411234666e-80,0.0,0.0,7.073001315850518e-163,0.0,1.0
Robin_office_Adolph,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,0.0,3.26337457118825e-27,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Oliva,0.0,1.0,0.0,0.0,5.86742673921951e-143,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,1.0,0.0,0.0,0.0,3.0343376815839235e-267,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,3.3577864107589214e-112,0.0,0.0,0.0,1.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,0.0,2.969122291575832e-39,0.0,0.0,1.0,0.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,3.452128004818169e-24,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Celia,0.0,1.0,0.0,0.0,3.973881038390152e-163,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,0.0,0.0,0.0,2.3522090387898207e-40,0.0,0.0,0.0,0.0,1.0
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,1.7325324647840044e-138,0.0,0.0,5.196439781761419e-262,1.0,0.0
Robin_office_Soledad,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,0.0,7.199463163417307e-165,0.0,0.0,1.0,0.0,0.0
Robin_office_Saul,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,1.0,0.0,0.0,2.4797328952699188e-80,0.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,0.0,0.0,0.0,1.5537044576656282e-48,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Renea,0.0,1.0,0.0,0.0,6.546512682462402e-236,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,1.0,0.0,0.0,1.6365588868207317e-46,0.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,0.0,0.0,0.0,1.0004929511395705e-199,0.0,0.0,0.0,0.0,1.0
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Shrew_office_Katherine,0.0,0.0,0.0,0.0,3.1800483336399456e-34,0.0,0.0,1.0,0.0,0.0
Shrew_office_Ila,0.0,0.0,0.0,0.0,6.723395848376131e-104,0.0,0.0,0.0,0.0,1.0
Shrew_office_Doug,0.0,0.0,0.0,0.0,3.237435661455185e-05,0.0,0.0,0.9999676256433854,0.0,0.0
Shrew_office_Doris,0.0,0.0,0.0,0.0,2.618029320749455e-234,0.0,0.0,0.0,0.0,1.0
Shrew_office_Lin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_lodging_Vicente,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
