,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10
Robin_public_Carolina,1.0,0.0,0.0,0.0,0.0,0.0,6.216245052515166e-130,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,0.0,0.0,0.0,2.583691638200401e-15,0.0,0.0,0.0,0.9999999999999973
Robin_education_Zenia,0.0,0.0,0.0,0.0,0.0,0.9999999999999991,8.401645908382827e-16,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_office_Sammie,1.0,0.0,0.0,0.0,0.0,0.0,2.1728874703763373e-148,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,0.0,0.0,0.0,1.4855083743675493e-224,0.0,0.0,1.0,0.0
Robin_education_Julius,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,0.0,0.0,0.0,1.0,0.0,1.9893230632207924e-146,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,0.0,1.0,7.029922296427192e-54,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,0.0,0.0,7.195202646049386e-36,0.0,0.0,0.0,1.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,0.0,0.9999999997905746,2.094257088936343e-10,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,0.0,0.0,0.0,8.665600141664783e-41,0.0,0.0,0.0,1.0
Robin_office_Addie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,0.0,0.0,0.0,0.0,1.7062794744608414e-07,0.0,0.0,0.0,0.9999998293720526
Robin_lodging_Pricilla,0.0,0.0,0.0,0.0,0.0,0.0,2.4951359822839794e-119,0.0,0.0,0.0,1.0
Robin_education_So,0.0,0.0,0.0,0.0,1.0,0.0,4.4459743729824747e-206,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,0.0,0.0,0.0,4.0567194073592253e-153,0.0,0.0,1.0,0.0
Robin_office_Serena,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,0.0,1.0,0.0,5.7919653319191415e-216,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,0.0,0.0,0.0,8.845266556669078e-107,0.0,0.0,1.0,0.0
