,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11
Robin_public_Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Dina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.163729010521414e-166,0.0,0.0
Robin_education_Derick,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Gayle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2296802522273477e-44,0.0,1.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.437421208402084e-111,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_office_Addie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.390577345e-315,0.0,0.0
Robin_education_Cecilia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_So,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.039472159370783e-73,0.0,0.0
Robin_office_Serena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5444221536126023e-73,0.0,1.0
Robin_education_Derrick,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7496045668313558e-139,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7753727291058023e-108,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7384537707099326e-280,0.0,1.0
Robin_education_Takako,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0263561920196406e-25,0.0,1.0
Robin_education_Margarito,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.031331969807725e-256,1.0,0.0
Robin_education_Billi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_office_Donald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.592281990499784e-43,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_office_Soledad,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.248974007841268e-171,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6563803033416108e-129,0.0,0.0
Robin_office_Saul,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.053017424922015e-154,1.0,0.0
Robin_office_Antonina,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Erma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_office_Zelma,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.205342449456605e-301,0.0,0.0
Robin_lodging_Renea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Armand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
