,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12
Robin_public_Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_lodging_Dorthy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.564573263239927e-64,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0830369212458341e-304,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9427915951669537e-300,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4358763135072043e-117,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2445781556879705e-49,0.0,1.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.421343364703567e-67,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.597611863478881e-122,0.0,0.0,0.0,1.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0371437641352e-81,0.0,1.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3418960531112107e-28,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99789960807754e-90,0.0,0.0,1.0,0.0
Robin_office_Addie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.694200805842544e-40,0.0,0.0,0.0,1.0
Robin_lodging_Pricilla,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.614454807370553e-180,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.762380680100557e-80,0.0,1.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.59800350627538e-66,0.0,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0658691351940723e-11,0.0,0.0,0.0,0.9999999999793414
Robin_education_Derrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5236239257672254e-117,0.0,1.0,0.0,0.0
Robin_education_Megan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5300543989497402e-60,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
