,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20
Robin_public_Carolina,0.0,0.0,5.022248745784165e-11,0.0,0.0,0.0,3.262575511453883e-05,0.9999673725438479,0.0,0.0,0.0,2.184693549915489e-131,0.0,0.0,2.128602665031677e-67,5.284916792799012e-15,1.6508092075800252e-09,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,2.250683422183317e-14,0.0,0.0,0.0,5.1164634813479365e-26,0.9993569087942955,0.0,0.0,0.0,6.173159545198543e-53,0.0,0.0,9.594821975512774e-87,6.7772964177892605e-15,0.0006430912056743852,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.9999106498417865,0.0,0.0,0.0,8.932266338905404e-05,2.9270443302502775e-16,0.0,0.0,0.0,6.350663028805654e-23,0.0,0.0,2.7345901159723596e-32,6.075391542939568e-10,2.6887284691202727e-08,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.000395336608010621,0.0,0.0,0.0,2.973914803143012e-17,8.055052471421807e-14,0.0,0.0,0.0,0.9992659464687357,0.0,0.0,1.1789175928458416e-55,9.855110869188766e-05,0.00024016581448094802,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,1.442683910989952e-110,0.0,0.0,0.0,2.6659748901653423e-58,1.736173671503399e-64,0.0,0.0,0.0,0.0,0.0,1.0,6.558500106212138e-40,1.1325230833838509e-113,9.450214408787149e-98,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,2.596766888633318e-175,1.0,0.0,0.0,7.180278894219436e-170,1.997508104163558e-182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,2.020548349122272e-195,1.2878553193465738e-144,0.0,1.0,0.0,0.0,0.0,0.0,5.848084102120782e-142,0.0,4.773638567710374e-265,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.9999997870483681,0.0,0.0,0.0,4.550794891577839e-08,2.287078985505008e-09,0.0,0.0,0.0,1.4101021891885983e-47,0.0,0.0,1.4375784159503245e-55,6.809152550255516e-15,1.65156595622405e-07,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,1.960956251633986e-11,0.0,0.0,0.0,0.9999999999792362,1.945333606268872e-15,0.0,0.0,0.0,1.4808281277295636e-64,0.0,0.0,1.489956579650683e-18,8.401821946971627e-19,1.1518992175932054e-12,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,3.0626852667383892e-93,0.0,0.0,1.0,2.09549266614188e-37,2.7124506268078384e-48,0.0,0.0,0.0,0.0,0.0,0.0,1.3344146458975504e-45,1.0032622803312167e-84,1.088438699167238e-68,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,0.9999999999999916,5.915529541677086e-38,0.0,0.0,0.0,4.8886476540157757e-23,4.956549405154525e-27,0.0,0.0,0.0,5.885000476701018e-200,0.0,0.0,8.389935426398292e-15,2.0331235779805992e-51,4.266581584951587e-41,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,8.073613892263851e-08,0.0,0.0,0.0,2.2928163312565293e-16,5.074134387459064e-16,0.0,0.0,0.0,4.1264565085234156e-10,0.0,0.0,7.149915001767484e-58,0.9999999133496138,5.501600896557407e-09,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,3.798676576969007e-05,0.0,0.0,0.0,3.039850619643248e-11,2.7043873834087177e-09,0.0,0.0,0.0,1.1471354718114891e-06,0.0,0.0,4.940656901867587e-56,3.8176948716229994e-05,0.9999226864152561,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,1.2625646433669463e-09,0.0,0.0,0.0,1.9490624535709646e-16,0.009647187466277254,0.0,0.0,0.0,1.4222367863089682e-21,0.0,0.0,7.913858596086095e-57,6.298502040877703e-05,0.990289826250749,0.0,0.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,1.4132589617837558e-18,0.0,0.0,0.0,0.9998546764010348,1.5074593583986348e-21,0.0,0.0,0.0,4.9946772334317076e-116,0.0,0.0,0.00014532359896515364,2.2884263834624417e-32,3.66149305739086e-26,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,1.2809761956603999e-06,0.0,0.0,0.0,6.426395463137671e-18,9.989321936095036e-12,0.0,0.0,0.0,3.027551788120506e-08,0.0,0.0,9.210274704770055e-58,0.9999815113672448,1.7177371052295394e-05,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.9999987575566918,0.0,0.0,0.0,6.496693198207922e-07,3.9648798169267374e-15,0.0,0.0,0.0,7.543315060123578e-23,0.0,0.0,2.845690889940334e-41,5.921252546603763e-07,6.487306418899929e-10,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,8.657909389041475e-66,0.0,0.0,1.0,1.2340018116180025e-25,1.5447631631246377e-46,0.0,0.0,0.0,8.979016672590152e-308,0.0,0.0,3.700551945354727e-59,3.8047933716107204e-76,9.925565765620197e-49,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,1.3594456261218138e-16,0.0,0.0,0.0,1.0,4.698590736841127e-28,0.0,0.0,0.0,8.671029703381683e-112,0.0,0.0,1.0853624465095581e-35,8.080077971664942e-36,4.3448570737523135e-26,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,1.4175840663945088e-07,0.0,0.0,0.0,1.3806757401758545e-12,0.9999864603199337,0.0,0.0,0.0,3.1445927334565283e-68,0.0,0.0,6.228070212750375e-51,9.628488660263553e-11,1.3397823995253053e-05,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,4.3146145764537415e-08,0.0,0.0,0.0,1.909332740363801e-21,1.1061888499939597e-17,0.0,0.0,0.0,0.9999838761699965,0.0,0.0,4.5965523344887166e-67,4.140387945907941e-06,1.1940295911629777e-05,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,6.472269036825368e-07,0.0,0.0,0.0,5.502300848854038e-17,1.2138675542730731e-18,0.0,0.0,0.0,0.9999519000036783,0.0,0.0,6.764654151386974e-66,2.448853507256421e-08,4.742828088284447e-05,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,4.912082694117281e-06,0.0,0.0,0.0,3.881730399822552e-08,0.0006137255642657912,0.0,0.0,0.0,5.438308957388143e-26,0.0,0.0,1.1021636133513494e-46,1.6707883637011512e-06,0.9993796527473728,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,6.728124662222341e-09,0.0,0.0,0.0,1.2201468780366667e-12,0.9921742792607084,0.0,0.0,0.0,7.240443336368793e-46,0.0,0.0,3.8874375594648228e-56,1.4079786244393866e-06,0.007824306031323256,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,1.4242515469418634e-61,0.0,0.0,0.0,6.25794652130031e-19,4.923841855009474e-33,0.0,0.0,0.0,3.0007742023676e-310,0.0,0.0,1.0,8.330288079568081e-78,1.0636918784492534e-58,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,2.4363139436964127e-13,0.0,0.0,0.0,0.9999999999997566,1.5167147809107185e-22,0.0,0.0,0.0,1.1645763585972988e-76,0.0,0.0,2.3568748445158873e-18,4.3438838291720634e-17,1.5426023879020404e-17,0.0,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,0.00011121550231646288,0.0,0.0,0.0,9.144693302813898e-14,3.512094644039633e-09,0.0,0.0,0.0,3.198486742008128e-09,0.0,0.0,6.38810847140912e-54,1.000805093633805e-06,0.9998877769819168,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,4.73590654578609e-47,0.0,0.0,0.0,1.545829952843652e-12,1.9306342404043724e-30,0.0,0.0,0.0,4.8246767533007834e-226,0.0,0.0,0.9999999999984546,4.683953657702574e-61,3.3605144955210566e-45,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,4.735941275202581e-09,0.0,0.0,0.0,0.9999999952639023,3.5188209020091284e-16,0.0,0.0,0.0,3.555922698422954e-75,0.0,0.0,2.1744141983045836e-30,4.450155656550979e-19,1.5620552203759215e-13,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.00020361186994820643,0.0,0.0,0.0,8.51352691114455e-18,6.7148970365435066e-15,0.0,0.0,0.0,0.9996151188600243,0.0,0.0,4.2950207521655824e-60,3.495919584356031e-05,0.00014631007417749648,0.0,0.0,0.0,0.0
