,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21
Robin_public_Carolina,3.878859736729954e-298,0.0,0.0,0.0,0.0,5.157392156314772e-65,4.725017685524637e-11,0.0,0.0,0.0,0.9999999996866826,2.7223486577771394e-219,0.0,0.0,0.0,0.0,0.0,1.1336080763900044e-10,0.0,0.0,0.0,1.5270619056628807e-10
Robin_lodging_Dorthy,7.360305936221604e-139,2.1585228026122275e-83,0.0,0.0,0.0,8.621343847566715e-68,1.1483209747909302e-36,0.0,0.0,0.0,0.999999195726126,4.769580011110903e-229,0.0,0.0,0.0,0.0,0.0,7.158511755706825e-10,0.0,0.0,0.0,8.035580220527118e-07
Robin_education_Zenia,1.376321438830808e-12,9.267244449039918e-174,0.0,0.0,0.0,3.0869489587078544e-22,2.2370215060825323e-09,0.0,0.0,0.0,4.244284433295417e-10,4.611127590399546e-50,0.0,0.0,0.0,0.0,0.0,0.9999995292932347,0.0,0.0,0.0,4.6804393897794495e-07
Robin_office_Dina,0.9999293513376103,3.471925725554462e-240,0.0,0.0,0.0,1.3833318870072149e-38,3.573065773081696e-21,0.0,0.0,0.0,6.662295646031721e-11,9.958505855004636e-52,0.0,0.0,0.0,0.0,0.0,6.887959163932808e-05,0.0,0.0,0.0,1.7690041275353887e-06
Robin_education_Derick,8.232496896473722e-282,6.362635460624524e-230,0.0,0.0,0.0,2.7581122501518647e-40,3.619669880995764e-81,0.0,2.489631785166807e-150,0.0,1.5169964400673187e-61,1.228119084e-315,0.0,0.0,0.0,0.0,0.0,1.7687578014355756e-70,0.0,1.0,0.0,3.248034208389839e-91
Robin_education_Della,0.0,0.0,0.0,1.0,0.0,0.0,1.2403542039050525e-239,0.0,0.0,0.0,8.272200525505141e-158,0.0,0.0,0.0,0.0,0.0,0.0,2.3693749211808587e-146,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,4.5572283651386876e-91,0.0,1.0,0.0,0.0,1.9863763482490687e-144,0.0,0.0,0.0,0.0,0.0,0.0,7.712794595746046e-183,0.0,0.0,0.0,4.3722408725528006e-231
Robin_office_Sammie,8.725355138138835e-87,1.7835753820045805e-52,0.0,0.0,0.0,7.053811967497547e-36,2.5286549285465114e-25,0.0,0.0,0.0,1.7277470622261175e-08,2.320830970504199e-105,0.0,0.0,0.0,0.0,0.0,0.9999904523393909,0.0,0.0,0.0,9.530383137828984e-06
Robin_education_Mercedes,2.7198101756976034e-45,9.007902951280997e-64,0.0,0.0,0.0,3.2657383782324297e-15,0.999999992860424,0.0,0.0,0.0,1.2100718381477197e-11,1.4867938045002773e-103,0.0,0.0,0.0,0.0,0.0,7.127259015948075e-09,0.0,0.0,0.0,2.1361592313976286e-13
Robin_education_Julius,0.0,0.0,0.0,0.0,0.0,3.4688019948397744e-44,4.1131313182651827e-42,0.0,1.0,0.0,7.123958620512266e-35,0.0,0.0,0.0,0.0,0.0,0.0,2.944193016923912e-56,0.0,0.0,0.0,9.53550191629305e-59
