,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22
Robin_public_Carolina,1.6607016396546676e-08,2.6228896256577024e-140,0.0,0.0,1.2261937268348693e-63,0.0,0.0,1.3109538731933039e-10,0.0,0.0,0.999999983261887,0.0,0.0,6.0887444329081165e-28,0.0,2.9250866000690467e-36,0.0,0.0,1.910461351641188e-255,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,1.5455408037964389e-12,1.2177214669866669e-89,0.0,0.0,3.157042276682171e-14,0.0,0.0,0.9999999999984226,0.0,0.0,2.350379271114642e-40,0.0,0.0,6.563015769328441e-17,0.0,2.6296137958859824e-19,0.0,0.0,6.9437917054377e-310,0.0,8.354736653609563e-84,0.0,0.0
Robin_education_Zenia,0.9999855591877376,3.6121560322762762e-31,0.0,0.0,8.032880933464e-43,0.0,0.0,4.281282676582643e-10,0.0,0.0,9.01058758443148e-11,0.0,0.0,1.1498725275528155e-13,0.0,1.4440293912518512e-05,0.0,0.0,1.1601679642042189e-57,0.0,2.9198127040524227e-174,0.0,0.0
Robin_office_Dina,1.0331213489345434e-05,3.601357837167136e-34,0.0,0.0,5.106331632278405e-18,0.0,0.0,4.838283028388259e-08,0.0,0.0,2.0339666514449113e-24,0.0,0.0,7.81114882403677e-07,0.0,0.999988839288798,0.0,0.0,3.7157711228285967e-124,0.0,3.626302226725169e-238,0.0,0.0
Robin_education_Derick,5.634722407707982e-90,6.1324256939447874e-61,0.0,0.0,6.138076239007001e-302,0.0,0.0,1.2295758513960888e-76,1.0,0.0,8.049589232416029e-100,0.0,0.0,8.639716145697259e-145,0.0,2.23782527392228e-121,0.0,0.0,0.0,0.0,6.362635198946192e-230,0.0,0.0
Robin_education_Della,4.155980701703829e-162,0.0,1.0,0.0,0.0,0.0,0.0,2.8648907458396724e-174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,2.5972121521551375e-259,3.5812137044691043e-159,0.0,0.0,0.0,0.0,1.0,1.0640226326337497e-198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.9999999999999822,6.034273565769225e-59,0.0,0.0,5.482808642362769e-28,0.0,0.0,4.4447374030878384e-15,0.0,0.0,1.507706631503919e-23,0.0,0.0,4.3667671369641e-30,0.0,1.5015867139327182e-14,0.0,0.0,2.5458261342058975e-108,0.0,5.775774299580545e-53,0.0,0.0
Robin_education_Mercedes,1.6641809998624372e-09,1.1197145790570208e-19,0.0,0.0,4.170096234504521e-58,0.0,0.0,3.778411556470783e-17,0.0,0.0,0.9999999983353511,0.0,0.0,6.162467150883947e-34,0.0,4.680469707197043e-13,0.0,0.0,2.9711668932314996e-99,0.0,1.080287685064225e-63,0.0,0.0
Robin_education_Julius,5.292478657116893e-99,1.5548047825583478e-80,0.0,0.0,0.0,1.0,0.0,1.8443910295562938e-79,0.0,0.0,9.952445637797383e-89,0.0,0.0,4.1791161785611904e-147,0.0,5.789112682476979e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,3.470606631761962e-22,1.0,0.0,0.0,2.374427537961694e-155,0.0,0.0,3.63829498529599e-30,0.0,0.0,1.4729035066427108e-34,0.0,0.0,4.455495243792788e-77,0.0,2.2791915301022144e-42,0.0,0.0,1.5282126460604734e-62,0.0,2.2685035620544877e-99,0.0,0.0
Robin_education_Lizbeth,1.1437324330544813e-06,5.2055157879599515e-50,0.0,0.0,5.6240257199727495e-40,0.0,0.0,3.2829918007552293e-09,0.0,0.0,6.528545682989514e-22,0.0,0.0,0.9999988327699372,0.0,2.021463761483674e-08,0.0,0.0,1.7849634591271974e-150,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.0001678717333433771,2.27714726019797e-44,0.0,0.0,4.66634044604264e-12,0.0,0.0,0.00010129448433200515,0.0,0.0,6.795828926224482e-19,0.0,0.0,1.8813738579669108e-12,0.0,0.9997308337757762,0.0,0.0,6.133428241931211e-159,0.0,1.1924848495789964e-59,0.0,0.0
Robin_office_Shirlene,3.965906101457946e-08,1.1869701750699387e-50,0.0,0.0,2.879374925167372e-12,0.0,0.0,0.9999989787370672,0.0,0.0,2.996792897591004e-21,0.0,0.0,7.74510637867431e-07,0.0,2.070903537487213e-07,0.0,0.0,2.3963693678076452e-191,0.0,0.0,0.0,0.0
Robin_education_Madeline,3.4705384216100407e-15,0.9999998175149345,0.0,0.0,5.131268394802742e-109,0.0,0.0,4.432034596413564e-24,0.0,0.0,1.8248506203415731e-07,0.0,0.0,4.440684016245495e-45,0.0,1.4804640207755895e-27,0.0,0.0,1.514748129797797e-81,0.0,1.1016708862775624e-254,0.0,0.0
Robin_lodging_Phillip,4.276502660679514e-07,3.40309344608013e-50,0.0,0.0,3.590776187433791e-22,0.0,0.0,1.003017200821038e-07,0.0,0.0,7.300374999251946e-26,0.0,0.0,0.9999991651591417,0.0,3.0688887197752827e-07,0.0,0.0,1.136061707564396e-164,0.0,1.4574170724983652e-107,0.0,0.0
Robin_education_Jasper,0.9999992087059142,7.35240992488306e-57,0.0,0.0,1.1113144262521976e-49,0.0,0.0,9.937626804618485e-10,0.0,0.0,6.086892050954008e-08,0.0,0.0,8.079026892635886e-08,0.0,6.486411331584366e-07,0.0,0.0,3.3360512918632345e-125,0.0,3.5860581356832844e-199,0.0,0.0
Robin_office_Wai,1.1952044550842695e-82,5.4917558172103516e-101,0.0,0.0,2.17162270664651e-204,0.0,0.0,8.657014572153315e-74,0.0,0.0,8.91758386842926e-79,0.0,0.0,6.540265567662063e-136,0.0,1.4298133235437012e-97,1.0,0.0,0.0,0.0,0.0,0.0,0.0
