,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23
Robin_public_Carolina,2.1718703218035917e-47,0.0,0.0,5.120446236217201e-46,0.0,0.0,0.0,0.0,1.3684387195105053e-289,1.0531616231963314e-45,0.0,4.53014569949875e-65,0.0,0.0,2.905034332459742e-56,0.0,0.0,0.0,1.8787579069272774e-174,0.0,0.0,1.0,0.0,0.0
Robin_lodging_Dorthy,6.992405162916473e-64,0.0,0.0,4.167414928604689e-14,0.0,0.0,0.0,0.0,5.8341412643075e-311,2.7640576207351672e-05,0.0,0.999972359401345,0.0,0.0,2.240629661593858e-11,0.0,0.0,0.0,1.0231180217204596e-90,0.0,7.0196105190209e-85,0.0,0.0,0.0
Robin_education_Zenia,4.2902560107988073e-13,0.0,0.0,0.99999997828615,0.0,0.0,0.0,0.0,4.400422674097808e-58,1.9269681270790303e-08,0.0,1.7781152086448796e-29,0.0,0.0,2.443740175977619e-09,0.0,0.0,0.0,1.3700641639463775e-31,0.0,1.1074613761842208e-174,0.0,0.0,0.0
Robin_office_Dina,1.0976737621780216e-38,0.0,0.0,0.0046822239468367515,0.0,0.0,0.0,0.0,2.405194394541355e-123,0.0002842072952894684,0.0,1.3542970462403228e-21,0.0,0.0,0.9950335687578735,0.0,0.0,0.0,2.3311379189658227e-33,0.0,2.3472821666807704e-237,0.0,0.0,0.0
Robin_education_Derick,4.936135823238693e-125,0.0,0.0,1.8754253740978312e-112,0.0,0.0,0.0,0.0,0.0,5.9872290040154745e-120,0.0,1.308328043209881e-85,0.0,0.0,5.742932639288239e-159,0.0,1.0,0.0,6.132443425027558e-61,0.0,6.362635461525816e-230,0.0,0.0,0.0
Robin_education_Della,0.0,1.0,0.0,1.8775753276158805e-173,0.0,0.0,0.0,0.0,0.0,6.0452085600852e-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.610580744886799e-204,0.0,0.0,0.0,0.0,0.0,0.0,3.5812350503002266e-159,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,3.0772167449089887e-29,0.0,0.0,0.9999999004753392,0.0,0.0,0.0,0.0,8.58659921221859e-108,9.951997892736676e-08,0.0,2.8556491739248364e-23,0.0,0.0,4.682503195099483e-12,0.0,0.0,0.0,2.0352525177521205e-58,0.0,1.9480615919530255e-52,0.0,0.0,0.0
Robin_education_Mercedes,0.9999999999992317,0.0,0.0,7.684382718454114e-13,0.0,0.0,0.0,0.0,1.1583012651250413e-99,1.7829146099093356e-16,0.0,7.892074005485697e-33,0.0,0.0,3.814331842760105e-22,0.0,0.0,0.0,4.3651847479283826e-20,0.0,4.211472277685824e-64,0.0,0.0,0.0
Robin_education_Julius,6.669883789708343e-124,0.0,0.0,4.7218252948218636e-123,0.0,0.0,0.0,0.0,0.0,2.4954960538668672e-118,0.0,5.5616481494359926e-98,0.0,0.0,1.1589382847831439e-160,0.0,0.0,0.0,1.5548032578027756e-80,0.0,0.0,0.0,1.0,0.0
Robin_education_Lashandra,4.779091963785122e-47,0.0,0.0,1.4005007007674833e-34,0.0,0.0,0.0,0.0,1.5282132092822041e-62,5.615184142763136e-47,0.0,6.5878878577370396e-46,0.0,0.0,7.115137392655143e-65,0.0,0.0,0.0,1.0,0.0,2.2685045430489034e-99,0.0,0.0,0.0
Robin_education_Lizbeth,1.2818029667141586e-31,0.0,0.0,8.190502366825832e-06,0.0,0.0,0.0,0.0,1.087113040875656e-149,6.1244671532418396e-12,0.0,2.1330581681467544e-20,0.0,0.0,0.9999918094915093,0.0,0.0,0.0,3.170365249897494e-49,0.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,1.3537233607324156e-29,0.0,0.0,0.0017745009099347812,0.0,0.0,0.0,0.0,6.647829270488142e-158,0.021612991605427487,0.0,2.2323133329283228e-10,0.0,0.0,0.9766125072614069,0.0,0.0,0.0,2.4681250681538936e-43,0.0,1.292496839221709e-58,0.0,0.0,0.0
Robin_office_Shirlene,3.2355410272482207e-40,0.0,0.0,1.5658654344593186e-08,0.0,0.0,0.0,0.0,6.090491228895781e-192,0.9748360123423095,0.0,3.6792277121514054e-13,0.0,0.0,0.025163971998669012,0.0,0.0,0.0,3.016747322004288e-51,0.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,2.489446531224537e-08,0.0,0.0,1.7817957002679813e-21,0.0,0.0,0.0,0.0,1.5147471993993274e-81,3.3737879691988372e-34,0.0,2.2966825684698737e-49,0.0,0.0,2.0015624459093222e-41,0.0,0.0,0.0,0.9999999751055352,0.0,1.1016703705100362e-254,0.0,0.0,0.0
Robin_lodging_Phillip,3.215222579605788e-38,0.0,0.0,0.00047716284582952973,0.0,0.0,0.0,0.0,7.174260483273606e-163,9.786369931554211e-06,0.0,3.2794636906283326e-13,0.0,0.0,0.9995130507839102,0.0,0.0,0.0,2.149061032794519e-48,0.0,9.203629342829169e-106,0.0,0.0,0.0
