,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24
Robin_public_Carolina,0.0,1.1062992928277404e-66,0.0,0.0,0.0,0.0,5.161172890847376e-13,0.0,1.1607783410421268e-68,0.0,0.0,1.7984165525404307e-55,5.974168721118215e-256,0.9999999999994849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.924633586891362e-18,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,7.875226802203568e-35,0.0,0.0,0.0,0.0,1.3943791374454728e-34,0.0,1.2358154640448706e-09,0.0,0.0,6.064714703768473e-40,6.075788503895481e-308,0.012927029347452454,0.0,0.0,0.0,0.0,0.0,7.310359307476825e-82,0.0,0.9870729694167314,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.9999997782232464,0.0,0.0,0.0,0.0,4.854420001031809e-10,0.0,1.393135151217835e-74,0.0,0.0,7.371781464020354e-22,8.278021515699202e-58,5.5460800201868326e-27,0.0,0.0,0.0,0.0,0.0,2.083342846702298e-174,0.0,2.2129131198589236e-07,0.0,0.0,0.0
Robin_office_Dina,0.0,0.982343924151437,0.0,0.0,0.0,0.0,3.3450630606221132e-18,0.0,2.674253124629341e-58,0.0,0.0,0.0006349558702004424,1.0547555126183162e-123,2.4420440298736836e-22,0.0,0.0,0.0,0.0,0.0,1.029359128237882e-237,0.0,0.01702111997836229,0.0,0.0,0.0
Robin_education_Derick,2.489631785166807e-150,3.3558696426985784e-81,0.0,0.0,0.0,0.0,3.647333828606216e-80,0.0,2.3307354625432523e-155,0.0,0.0,0.0,0.0,1.394266654368351e-75,0.0,0.0,0.0,0.0,0.0,6.362635461954761e-230,0.0,3.170227863808557e-108,1.0,0.0,0.0
Robin_education_Della,0.0,2.0227164151674035e-209,1.0,0.0,0.0,0.0,5.717926620780421e-229,0.0,0.0,0.0,0.0,0.0,0.0,1.4179224287102943e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.991930602770781e-285,0.0,0.0,0.0
Robin_education_Leslie,0.0,8.117711687131208e-191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9547833532091976e-166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6318764911654756e-307,0.0,0.0,0.0
Robin_office_Sammie,0.0,1.7924532723009613e-57,0.0,0.0,0.0,0.0,1.0312811705877924e-60,0.0,2.5054095537557366e-62,0.0,0.0,2.9515063977456588e-75,4.173426285236324e-143,1.4031714187687986e-48,0.0,0.0,0.0,0.0,0.0,9.468348588546477e-88,0.0,4.641273613944901e-45,0.0,0.0,1.0
Robin_education_Mercedes,0.0,3.395954998615001e-10,0.0,0.0,0.0,0.0,0.999999999660405,0.0,1.5865950021821552e-70,0.0,0.0,5.9985105517341635e-59,2.606181954239396e-99,7.020133963992909e-23,0.0,0.0,0.0,0.0,0.0,9.47582756020757e-64,0.0,8.930116298232146e-17,0.0,0.0,0.0
Robin_education_Julius,1.0,3.629297910072944e-56,0.0,0.0,0.0,0.0,8.963953370130396e-41,0.0,3.546280438570685e-253,0.0,0.0,9.03037e-318,0.0,4.952063860042653e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.508058794375644e-79,0.0,0.0,0.0
