,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25
Robin_public_Carolina,0.0,0.0,1.1822045622944902e-46,0.0,3.34916551245173e-52,0.0,6.714374940597992e-98,0.0,0.0,0.0,0.0,0.0,2.545877422943601e-65,3.1699386370938995e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.707423737637548e-102,0.0,1.2472492816352786e-79,0.0,1.0
Robin_lodging_Dorthy,0.0,0.0,1.1385887466588587e-36,0.0,0.9999989065733592,0.0,1.2066968045516104e-36,0.0,0.0,0.0,0.0,0.0,2.7439045943900998e-14,1.093426614120937e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.971337660041378e-84,2.7343722497057533e-87,0.0,5.2303107481773606e-39,0.0,0.0
Robin_education_Zenia,0.0,0.0,5.918238357120314e-10,0.0,1.4389600224738905e-21,0.0,0.9999999958186852,0.0,0.0,0.0,0.0,0.0,2.278788577765423e-09,1.3107027685760317e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.539896724079121e-174,8.403714445426246e-32,0.0,6.295639071254615e-34,0.0,0.0
Robin_office_Dina,0.0,0.0,4.226837775250694e-18,0.0,1.9103891109225535e-16,0.0,0.02611663727895446,0.0,0.0,0.0,0.0,0.0,0.9738716546527781,1.1708068267688254e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3009441319044737e-237,3.3171191095585485e-55,0.0,1.0673209942400517e-39,0.0,0.0
Robin_education_Derick,0.0,0.0,3.645400032525795e-80,0.0,2.4170038433127196e-128,0.0,5.3481663096104546e-111,0.0,0.0,0.0,0.0,0.0,2.042481645597515e-168,1.618486075776016e-151,0.0,0.0,0.0,1.0,0.0,0.0,6.362635461954761e-230,6.528637810281591e-40,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,5.684835056585488e-229,0.0,4.006492410156535e-198,0.0,1.5921977392671127e-183,0.0,0.0,0.0,0.0,1.0,0.0,2.3996901346005105e-296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.567700346128916e-274,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,2.34358923e-316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.973185350841117e-142,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,5.24906590226346e-29,0.0,3.144015792467275e-35,0.0,9.724708321779809e-25,0.0,0.0,0.0,0.0,0.0,1.629511438584805e-17,1.257039868862904e-14,0.0,0.0,0.0,0.0,0.0,0.0,4.8193925331281275e-56,2.381420871517775e-58,0.0,0.9999999999999876,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.999999999998094,0.0,2.9799055061059212e-36,0.0,1.9069492553488387e-12,0.0,0.0,0.0,0.0,0.0,2.1541883438070346e-22,2.4423603565984913e-19,0.0,0.0,0.0,0.0,0.0,0.0,9.475751092072395e-64,4.577550196015683e-19,0.0,3.8292401108078637e-87,0.0,0.0
Robin_education_Julius,0.0,0.0,7.513624576177498e-71,0.0,6.298810683925908e-127,0.0,5.268972512400241e-119,0.0,0.0,0.0,0.0,0.0,2.5204277281472062e-172,5.949986615659971e-149,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8267170406898953e-74,0.0,0.0,0.0,0.0
