,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26
Robin_public_Carolina,2.1735530669246735e-85,0.0,0.0,8.131619588494341e-176,0.0,0.0,0.0,2.749343044896446e-152,0.0,6.409050508795471e-46,7.05302828307783e-98,0.0,2.1718717157336826e-47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2215240832277297e-144,1.7625370869698866e-57,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,5.425646162335526e-29,0.0,0.0,2.9545647185741095e-233,0.0,0.0,0.0,5.333858527334153e-12,0.0,0.9999999999946656,3.844327054015381e-74,0.0,1.4968749308203868e-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.831983666077681e-66,1.7151801956801345e-22,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.00015129871410576038,0.0,0.0,5.035448831197584e-45,0.0,0.0,0.0,1.1730279298179668e-26,0.0,3.7135078886448563e-09,1.1598644982280552e-19,0.0,1.5765619351235883e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6796022305868293e-21,0.9998486975722289,0.0,0.0,0.0,0.0,0.0
Robin_office_Dina,0.9975565742737823,0.0,0.0,1.2653826688757118e-64,0.0,0.0,0.0,5.085325107476637e-12,0.0,0.0011328747761160816,3.7880241310744593e-31,0.0,4.333275857976691e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001310550664651613,2.803646344726779e-10,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,6.935402694282537e-89,0.0,0.0,1.4118951781009874e-77,0.0,0.0,0.0,7.271373933674034e-202,0.0,7.014783160756235e-104,1.0045433807017795e-48,0.0,4.93602111092346e-125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.012365774213805e-212,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9697483136808374e-173,0.0,1.437702907e-315,3.0559711525823684e-178,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.402290309467625e-137,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,1.6610601274294627e-244,0.0,0.0,2.1998646700338695e-184,0.0,1.0,0.0,0.0,0.0,4.354220092801299e-295,4.3433576447155785e-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,1.1183481188107244e-25,0.0,0.0,4.573683362869332e-130,0.0,0.0,0.0,3.220240238463316e-171,0.0,2.4193578354973896e-10,6.33202790280986e-47,0.0,1.3435257318424873e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.844756825587626e-54,0.9999999997580638,0.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,4.8934449886162457e-11,0.0,0.0,1.5820578387039966e-36,0.0,0.0,0.0,3.6123487992476845e-128,0.0,7.868401897377663e-15,4.566323909958716e-15,0.0,0.9999999999510534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.331397799715388e-58,1.4204227805627633e-17,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,5.109338876463932e-86,1.0,0.0,5.645476502541733e-110,0.0,0.0,0.0,2.782639841856964e-204,0.0,1.207583063276958e-104,4.8388784553021386e-85,0.0,6.6696986293463625e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.803613686815504e-255,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,1.7853135248332944e-54,0.0,0.0,1.6994478335946185e-67,0.0,0.0,0.0,2.2054630762084775e-232,0.0,2.550683270176139e-69,1.1661803958677786e-49,0.0,2.2803797257999016e-77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.123468297898993e-198,1.3687779043682233e-102,0.0,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.999996273142565,0.0,0.0,1.2883790190301513e-145,0.0,0.0,0.0,6.48033563486158e-34,0.0,3.72581652882034e-06,3.7525184814119687e-35,0.0,7.130995481670417e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0409062945244868e-09,2.1501290059996536e-16,0.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.00013934593854023875,0.0,0.0,1.4737944207142148e-94,0.0,0.0,0.0,1.5847476581971426e-14,0.0,0.9998597753211996,7.532560401920803e-30,0.0,9.962455109893518e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2814353382501124e-14,8.787402307733123e-07,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,6.961204898164287e-13,0.0,0.0,2.639846657557502e-85,0.0,0.0,0.0,0.9010337963440104,0.0,0.09896620365529439,1.7400475687316727e-28,0.0,7.11771305430305e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0213601447585245e-23,5.962531919195649e-23,0.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,1.7529092414046802e-16,0.0,0.0,0.9999999975942071,0.0,0.0,0.0,6.226023779127583e-103,0.0,2.7289697437853113e-30,1.8779026106980115e-09,0.0,5.278898738854468e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.229157262063368e-101,6.497386078009373e-44,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.9576370616178891,0.0,0.0,2.119492551463995e-117,0.0,0.0,0.0,1.1257497945027162e-09,0.0,0.042362937225106444,2.1970553553109677e-36,0.0,1.0178846515901966e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.124942695880275e-11,5.58032222765079e-15,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.9999809334464833,0.0,0.0,7.895782360819475e-71,0.0,0.0,0.0,2.517395110676225e-16,0.0,4.837012919513021e-10,1.9730409261794174e-27,0.0,5.701843940018084e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2410730577935665e-24,1.9066069245135457e-05,0.0,0.0,0.0,0.0,0.0
Robin_office_Wai,2.8383946681366257e-78,0.0,0.0,1.352766206271091e-177,0.0,0.0,0.0,6.437601507005609e-197,0.0,2.9372775420056884e-78,1.0044514818767921e-67,0.0,4.5629601334842596e-95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.42283582510285e-211,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,2.533899745074058e-62,0.0,0.0,4.997552226814801e-102,0.0,0.0,0.0,3.719086030226913e-274,0.0,1.5930411021488597e-60,2.5772349586573905e-80,0.0,1.4714630601762018e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0619196141758302e-138,6.563629353560458e-70,0.0,0.0,1.0,0.0,0.0
