,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27
Robin_public_Carolina,0.0,0.0,3.352608636930382e-95,0.0,0.0,4.1128287495904306e-57,2.06311295684508e-43,0.0,0.0,0.0,0.0,2.9629273774986474e-101,2.3990037549548813e-187,0.0,1.3684387195526658e-289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.399297159168176e-106,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,8.194872748739179e-23,0.0,0.0,2.5482132252757757e-08,2.270336308924272e-24,0.0,0.0,0.0,0.0,5.213086625746146e-38,2.5539001608606863e-16,0.0,2.868863576384655e-309,0.0,0.0,3.4518027658613106e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999745178684,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,1.9860476453563154e-22,0.0,0.0,2.132818122412591e-06,0.0031263209923293547,0.0,0.0,0.0,0.0,0.996871546189548,7.884650175135e-41,0.0,9.599760230544215e-58,0.0,0.0,2.415986904270512e-174,0.0,0.0,0.0,0.0,0.0,0.0,6.459989409052518e-52,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.9584545332250748,0.0,0.0,0.005690265637993543,8.344178626444532e-12,0.0,0.0,0.0,0.0,0.035855201126489676,3.0228772508265574e-19,0.0,2.3220441850362328e-123,0.0,0.0,2.2661340186599767e-237,0.0,0.0,0.0,0.0,0.0,0.0,2.098098474977893e-12,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,0.0,5.407832276724415e-89,9.660652591197427e-58,0.0,0.0,0.0,0.0,1.5509981292163644e-103,0.0,0.0,0.0,1.0,0.0,6.362635442448238e-230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,1.0,0.0,0.0,3.30331416640276e-247,0.0,0.0,0.0,0.0,3.8536558855088708e-180,1.6833977031550718e-291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6259330170351314e-180,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,1.0,2.0918842698413135e-219,3.572304311891143e-169,0.0,0.0,0.0,0.0,5.1950123145360146e-287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,3.217475605455533e-64,0.0,0.0,5.461269533691535e-45,2.1556025003459306e-44,0.0,0.0,0.0,0.0,3.02563390844057e-57,6.595447882491163e-203,0.0,4.173426273591563e-143,0.0,0.0,9.468348533438009e-88,0.0,1.0,0.0,0.0,0.0,0.0,7.067204597228854e-97,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,1.094120142228125e-62,0.0,0.0,2.3141576755183253e-14,0.999999999967681,0.0,0.0,0.0,0.0,3.229527382675211e-11,1.965885167307131e-180,0.0,9.862050572982439e-99,0.0,0.0,3.5857469539934324e-63,0.0,0.0,0.0,0.0,0.0,0.0,2.1155029200125846e-116,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,0.0,0.0,6.849506540380334e-90,1.0984170214651573e-56,0.0,0.0,0.0,0.0,5.955636317289576e-118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,1.0,7.888049768071365e-219,0.0,0.0,1.9903745863185122e-63,1.9724142211816272e-40,0.0,0.0,0.0,0.0,1.222165153573205e-61,0.0,0.0,7.291948409534061e-93,0.0,0.0,1.0824286767171863e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
