,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28
Robin_public_Carolina,1.1822180145662965e-46,2.2078960024046754e-54,0.0,0.0,0.0,0.0,0.0,0.0,9.403433943196342e-204,1.7074237182995677e-102,4.382656633575406e-89,0.0,2.301943400592554e-139,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.243903904476291e-68,0.0,0.0,5.388621332315402e-56,0.0,0.0,0.0
Robin_lodging_Dorthy,6.322151520434102e-36,2.073719340903722e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5181664011731416e-86,2.6858082288422177e-41,0.0,5.800139879546356e-55,3.315380512129213e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999997904,0.0,0.0,2.2295348744475773e-15,0.0,0.0,0.0
Robin_education_Zenia,9.928699326692166e-11,4.839788855063913e-11,0.0,0.0,0.0,0.0,0.0,0.0,6.996671397198241e-170,1.4098224794348943e-32,1.42740875153698e-22,0.0,0.9999999998076614,4.2609771871754595e-175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5485458911812538e-23,0.0,0.0,4.465349997280459e-11,0.0,0.0,0.0
Robin_office_Dina,3.3749119133511663e-19,4.732623770307696e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6483343360279543e-56,6.361752467686185e-05,0.0,0.9999052330434915,1.0386528202171579e-238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.440306877760349e-15,0.0,0.0,2.6416808054937303e-05,0.0,0.0,0.0
Robin_education_Derick,3.645808529974784e-80,1.4901089977268342e-110,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.528637801293212e-40,0.0,0.0,1.12596114782844e-90,6.362635461954761e-230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0342743147147828e-246,0.0,0.0,7.028262446712103e-128,0.0,0.0,0.0
Robin_education_Della,5.6850605464596605e-229,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.623639894084847e-218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3446563245950626e-248,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.973185107704911e-142,0.0,0.0,9.643123405638752e-188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7895e-320,0.0,0.0,0.0
Robin_office_Sammie,1.0312752119156882e-60,1.0628736019108014e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67862335844668e-90,2.62909917355377e-75,0.0,3.4059070963321067e-72,9.468348562092217e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.933704890459646e-67,0.0,1.0,2.401742594963744e-43,0.0,0.0,0.0
Robin_education_Mercedes,1.0,9.66703443303747e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.5976119937024996e-122,4.5775585867055e-19,5.233558244561796e-59,0.0,1.0324336920228805e-17,9.47576853352049e-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6307392727945073e-51,0.0,0.0,4.9726052708641536e-17,0.0,0.0,0.0
Robin_education_Julius,7.514605095801045e-71,1.4276283842875027e-111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.826717034314988e-74,0.0,0.0,6.46431261794505e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000267816628782e-273,0.0,0.0,2.28986437433181e-137,0.0,0.0,0.0
