,Cluster_0,Cluster_1,Cluster_2
Robin_public_Carolina,1.0,0.0,0.0
Robin_lodging_Dorthy,1.0,0.0,2.921077450340819e-184
Robin_education_Zenia,1.0,0.0,5.132966574200775e-73
Robin_office_Dina,1.0,0.0,5.613741947878477e-89
Robin_education_Derick,7.01899099318639e-11,0.0,0.9999999999298108
Robin_education_Della,0.0,1.0,0.0
Robin_education_Leslie,4.2939588013300323e-75,0.0,1.0
Robin_office_Sammie,1.0,0.0,3.1524372273637887e-80
Robin_education_Mercedes,1.0,0.0,1.5084178307664391e-89
Robin_education_Julius,1.0058950302184955e-30,0.0,1.0
Robin_education_Lashandra,2.1125220010148834e-07,0.0,0.9999997887477995
Robin_education_Lizbeth,1.0,0.0,0.0
Robin_office_Gayle,0.9998930248996541,0.0,0.00010697510034517298
Robin_office_Shirlene,1.0,0.0,0.0
Robin_education_Madeline,0.9999999999999147,0.0,8.461359812079649e-14
Robin_lodging_Phillip,1.0,0.0,1.847603169210478e-267
Robin_education_Jasper,1.0,0.0,2.9747289029916394e-60
Robin_office_Wai,6.16207687001346e-34,0.0,1.0
Robin_education_Terrance,1.0,0.0,2.621324371787727e-59
Robin_lodging_Elmer,1.0,0.0,4.8734383596113855e-264
Robin_office_Addie,1.0,0.0,5.423686622917331e-170
Robin_education_Cecilia,1.0,0.0,3.7489436742134046e-291
Robin_education_Kiera,1.0,0.0,2.427157158135638e-156
Robin_lodging_Pricilla,1.0,0.0,0.0
Robin_education_So,7.372208588195782e-08,0.0,0.9999999262779147
Robin_office_Maryann,0.9999999711971221,0.0,2.880287821595051e-08
Robin_office_Serena,1.0,0.0,2.4096988211415356e-76
Robin_education_Derrick,4.743299744910645e-06,0.0,0.9999952567002557
Robin_education_Megan,1.0,0.0,1.7179106898653073e-74
Robin_office_Adolph,1.0,0.0,1.5710748521235805e-131
Robin_office_Lindsay,1.0,0.0,1.0657420241239418e-175
Robin_education_Takako,1.0,0.0,2.0460165356562565e-123
Robin_lodging_Oliva,1.0,0.0,0.0
Robin_office_Victor,0.999999999999984,0.0,1.5796910082105694e-14
Robin_education_Margarito,4.787340931573726e-06,0.0,0.9999952126590693
Robin_public_Cami,1.0,0.0,0.0
Robin_education_Kristopher,1.0,0.0,3.5486306796880763e-54
Robin_education_Billi,1.0,0.0,1.254379040656341e-104
Robin_lodging_Celia,1.0,0.0,0.0
Robin_office_Donald,0.9999692569452606,0.0,3.074305473939222e-05
Robin_assembly_Colleen,1.0,0.0,0.0
Robin_office_Soledad,1.0,0.0,2.6713236747292422e-177
Robin_education_Audrea,1.0,0.0,5.8505355464259635e-170
Robin_office_Saul,1.0,0.0,3.814093935461047e-44
Robin_lodging_Donna,1.0,0.0,0.0
Robin_office_Antonina,5.85245171707613e-07,0.0,0.9999994147548276
Robin_office_Erma,1.0,0.0,4.2164262e-316
Robin_office_Zelma,1.0,0.0,1.6454331671254674e-15
Robin_lodging_Renea,1.0,0.0,4.799714360625405e-235
Robin_lodging_Armand,1.0,0.0,1.6421568374987587e-224
Robin_education_Karyl,1.0,0.0,7.2e-322
Robin_lodging_Janie,1.0,0.0,1.0995532850342578e-83
Shrew_office_Sherill,3.775090434901469e-60,0.0,1.0
Shrew_office_Rose,1.0,0.0,1.439830782272193e-29
Shrew_office_Nora,1.0,0.0,6.55871747167821e-47
Shrew_office_Katherine,1.0,0.0,0.0
Shrew_office_Ila,1.0,0.0,1.4473526772153245e-54
Shrew_office_Doug,1.0,0.0,2.870989701669857e-64
Shrew_office_Doris,0.999630884894661,0.0,0.0003691151053396969
Shrew_office_Lin,2.585575113582418e-12,0.0,0.9999999999974154
Shrew_office_Kenneth,1.0,0.0,1.36102121467371e-28
Mouse_health_Buddy,0.0,1.0,0.0
Mouse_health_Modesto,8.09551321678643e-87,0.0,1.0
Mouse_lodging_Vicente,0.9999999999965894,0.0,3.410164517375391e-12
Mouse_health_Justin,8.733370671505327e-71,0.0,1.0
Mouse_health_Ileana,1.0,0.0,1.9548149981912488e-65
Mouse_health_Estela,1.3147527957461069e-19,0.0,1.0
Mouse_science_Micheal,0.0,1.0,0.0
