,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29
Robin_public_Carolina,1.0,5.496220970969581e-50,0.0,0.0,0.0,1.5195481369885406e-49,0.0,0.0,0.0,0.0,0.0,0.0,1.3196706240300806e-187,0.0,1.3684387195282407e-289,0.0,9.062785813311703e-47,0.0,2.818588501302242e-172,1.0753964113686384e-78,0.0,0.0,0.0,0.0,9.304395437905072e-93,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,1.0532924069004762e-13,0.0,0.0,0.0,0.9999999999808313,0.0,0.0,0.0,0.0,0.0,0.0,2.6097883485592734e-113,0.0,3.1942992333642365e-308,0.0,5.517707284127784e-14,0.0,2.4531299003227192e-14,1.8984023245436622e-11,0.0,0.0,0.0,0.0,2.7732311593153385e-191,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,5.855857038608538e-10,0.0,0.0,0.0,5.833230741949497e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.7559152628376372e-124,0.0,2.989660168718033e-58,0.0,0.9999994160913398,0.0,7.920092372379548e-28,1.8388866025959597e-19,0.0,0.0,0.0,0.0,8.636320798677487e-19,0.0,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,0.003119010665794287,0.0,0.0,0.0,0.043793189362910316,0.0,0.0,0.0,0.0,0.0,0.0,2.56028775281242e-25,0.0,1.1971495583584374e-122,0.0,0.006125083643098119,0.0,1.165827800771132e-09,0.9469627151623701,0.0,0.0,0.0,0.0,4.735782658401295e-81,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,4.875679833846122e-114,0.0,0.0,0.0,4.352425401534975e-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935299320153157e-106,0.0,2.8463592311095776e-221,0.0,1.0,0.0,0.0,0.0,1.5139607446866927e-204,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,0.0,0.0,3.939357612782852e-236,0.0,0.0,0.0,0.0,1.0,0.0,5.714814401321573e-270,0.0,0.0,0.0,1.545851971362405e-176,0.0,1.232818234732644e-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,1.0,1.4700588924946277e-229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,2.393296002914388e-15,0.0,0.0,0.0,6.937919147878809e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.184740559819386e-109,0.0,0.999999999930619,0.0,1.9231674822943385e-185,9.460244945137332e-17,0.0,0.0,0.0,0.0,3.174775551977975e-81,0.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,3.781551476790338e-21,0.0,0.0,0.0,6.263008153220029e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999982498,0.0,3.7425570117738394e-101,0.0,3.984842990170233e-13,0.0,3.725440180099441e-141,2.446545755594112e-55,0.0,0.0,0.0,0.0,1.3518293536268624e-12,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,9.658884877400546e-114,0.0,0.0,0.0,5.485419577303992e-89,0.0,0.0,0.0,0.0,0.0,0.0,2.4208821633317394e-122,0.0,0.0,0.0,2.970030162787901e-124,0.0,5.909666239700359e-235,0.0,0.0,0.0,1.0,0.0,2.3029914918616962e-233,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,1.1182354906466e-77,0.0,0.0,0.0,1.495943430804606e-60,0.0,1.0,0.0,0.0,0.0,0.0,4.987102893940795e-81,0.0,7.291948409502767e-93,0.0,2.0361877709333434e-62,0.0,4.433353037197173e-266,2.2523073172412133e-195,0.0,0.0,0.0,0.0,5.207113060000509e-246,0.0,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.9999998079400718,0.0,0.0,0.0,7.700205356159354e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.2919314687563978e-54,0.0,2.8170371465658047e-150,0.0,1.8683236810013856e-07,0.0,8.642221293062881e-14,5.219772657336443e-09,0.0,0.0,0.0,0.0,3.0005328868277985e-94,0.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.0,1.4962170637821513e-05,0.0,0.0,0.0,0.9993409502616467,0.0,0.0,0.0,0.0,0.0,0.0,5.892983913740054e-23,0.0,2.301683724883639e-158,0.0,3.927957142325355e-06,0.0,1.1555505446638905e-09,0.0006401584550228677,0.0,0.0,0.0,0.0,2.0866420014856254e-77,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,6.329138972326614e-05,0.0,0.0,0.0,0.22240870683645456,0.0,0.0,0.0,0.0,0.0,0.0,5.741090363386987e-42,0.0,8.305919555460103e-192,0.0,7.139493302713717e-11,0.0,0.7775238637808307,4.137921597020523e-06,0.0,0.0,0.0,0.0,6.306440000553396e-76,0.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,0.0,4.980873297285871e-35,0.0,0.0,0.0,2.6565252074252932e-27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.169137453355506e-82,0.0,3.5523839781827603e-20,0.0,3.084170204617611e-108,8.832145884080419e-100,0.0,0.0,0.0,0.0,1.2439496073444054e-21,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.9999375018111513,0.0,0.0,0.0,6.080567233783082e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.828449551451736e-34,0.0,5.601933810263815e-164,0.0,1.1171417979996092e-06,0.0,5.992388571598005e-11,5.753147885602534e-07,0.0,0.0,0.0,0.0,5.653033929911032e-90,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,8.001678904837073e-07,0.0,0.0,0.0,1.6744175181328686e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.557775220350043e-19,0.0,2.3190486492615722e-125,0.0,0.9999990323903482,0.0,9.779882048293763e-15,5.5145366532049016e-21,0.0,0.0,0.0,0.0,3.9595866843553127e-41,0.0,0.0,0.0,0.0,0.0
