,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30
Robin_public_Carolina,0.0,0.0,3.4657413591062308e-74,0.0,0.0,0.0,0.0,0.0,9.633676032634626e-54,7.961882091023389e-147,0.0,4.6626504474059156e-89,0.0,0.0,2.675056972842101e-54,0.0,0.0,0.0,1.3684387195282407e-289,0.0,1.2472494794618127e-79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3810327651777174e-214,5.861949009222461e-84
Robin_lodging_Dorthy,0.0,0.0,5.9652287560291544e-27,0.0,0.0,0.0,0.0,0.0,3.2258690344681816e-61,3.46888503876673e-21,0.0,1.4809076723707827e-47,0.0,0.0,1.1425061252428424e-19,0.0,0.0,0.0,1.440756154e-315,0.0,1.5183866795301566e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_education_Zenia,0.0,0.0,0.9999999998546087,0.0,0.0,0.0,0.0,0.0,7.625776037077234e-21,3.1310340993796034e-18,0.0,3.978096566092648e-22,0.0,0.0,1.453922121097967e-10,0.0,0.0,0.0,4.626195389629498e-58,0.0,2.8859042186844735e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7947047313407736e-191
Robin_office_Dina,0.0,0.0,0.9998931829693436,0.0,0.0,0.0,0.0,0.0,6.6936649234655994e-21,1.6356761421516e-06,0.0,9.726949454500875e-05,0.0,0.0,7.911859969216502e-06,0.0,0.0,0.0,1.6323751369039568e-124,0.0,1.3069874751741829e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5976156586145538e-193
Robin_education_Derick,0.0,0.0,6.126630089065896e-73,0.0,0.0,0.0,0.0,0.0,5.188015726360151e-128,4.083689111539528e-169,0.0,0.0,0.0,0.0,1.4032620764411293e-110,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,5.11862621805335e-160,0.0,0.0,0.0,0.0,0.0,5.409711825773278e-308,9.878998441080795e-259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.567702165892191e-274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,1.1132497205682351e-161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,4.1378121097740124e-18,0.0,0.0,0.0,0.0,0.0,9.604702416907868e-61,6.933758073911197e-153,0.0,1.423768032631411e-43,0.0,0.0,6.131747556943726e-17,0.0,0.0,0.0,2.12427541637455e-111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1265931056943985e-272
Robin_education_Mercedes,0.0,0.0,2.2790646746067457e-11,0.0,0.0,0.0,0.0,0.0,0.9999999999772093,6.366026037341099e-110,0.0,5.439713428920391e-60,0.0,0.0,1.0667263185567868e-20,0.0,0.0,0.0,2.5755344580615975e-100,0.0,3.784240649976924e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,1.8520836794349158e-75,0.0,0.0,0.0,0.0,0.0,9.723008153014445e-76,6.505667160622902e-172,0.0,0.0,0.0,0.0,1.5312134145953372e-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5042271100894344e-235
Robin_education_Lashandra,0.0,1.0,1.5110351158404755e-48,0.0,0.0,0.0,0.0,0.0,1.0137725584710331e-67,2.0838537643364886e-219,0.0,4.553497823569877e-197,0.0,0.0,1.7269819294458204e-76,0.0,0.0,0.0,7.291948409502767e-93,0.0,2.748821329482503e-148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,9.11503289837678e-10,0.0,0.0,0.0,0.0,0.0,1.011856613393903e-29,5.321350767926997e-11,0.0,8.340323607401652e-10,0.0,0.0,0.9999999982012504,0.0,0.0,0.0,1.2132047225057096e-150,0.0,8.674551116495369e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0464057341479225e-254
Robin_office_Gayle,0.0,0.0,0.9914260848052479,0.0,0.0,0.0,0.0,0.0,1.385037370886383e-15,0.004053754596771063,0.0,1.3377768776115495e-12,0.0,0.0,0.004520160596641739,0.0,0.0,0.0,2.1970441119743656e-156,0.0,4.331520020230545e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,1.9975988434899296e-09,0.0,0.0,0.0,0.0,0.0,7.390078069331086e-21,0.999998691695733,0.0,1.5435565268203982e-09,0.0,0.0,1.3047631121876134e-06,0.0,0.0,0.0,7.62643562294029e-193,0.0,1.557041161062113e-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4091706442151216e-133,1.0603440370624754e-87
Robin_education_Madeline,0.0,0.0,1.2232922302695285e-11,0.0,0.0,0.0,0.0,0.0,0.999999999987768,1.2446462859387537e-82,0.0,5.271081873503162e-94,0.0,0.0,1.3964579937901783e-33,0.0,0.0,0.0,4.713375544081127e-80,0.0,7.034927411248565e-137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
