,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31
Robin_public_Carolina,5.58622674865815e-300,0.0,2.3810366831377195e-214,0.0,2.500218763178225e-139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2131513545059265e-54,0.0,0.0,6.639899024407752e-53,4.299991661048856e-89,1.3684387195282407e-289,2.6577729141734745e-102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0333253492084814e-76,0.0,0.0
Robin_lodging_Dorthy,7.51596547503945e-300,0.0,0.9999999999993185,0.0,3.2607557046979534e-61,0.0,0.0,0.0,0.0,0.0,1.540051565460718e-51,0.0,1.7335132596141098e-89,0.0,0.0,1.0812449437794092e-19,0.0,0.0,6.814510024245213e-13,1.392212500243449e-47,1.440758175e-315,2.9310533127552586e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.887149847784726e-256,0.0,0.0
Robin_education_Zenia,4.1159136793141064e-140,0.0,0.0,0.0,0.9999993609873482,0.0,0.0,0.0,0.0,0.0,2.4408258815035783e-165,0.0,4.266526282426037e-175,0.0,0.0,4.907143297970936e-11,0.0,0.0,6.389635807733112e-07,1.4346080897087664e-22,1.6952752841004536e-58,2.856423033242742e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1301518529826993e-29,0.0,0.0
Robin_office_Dina,2.530758923483948e-248,0.0,0.0,0.0,0.999227051328352,0.0,0.0,0.0,0.0,0.0,8.708389082989539e-62,0.0,1.0387611318062063e-238,0.0,0.0,4.746174003240861e-06,0.0,0.0,0.0007044616785972495,6.37408190476377e-05,1.0643894827472092e-124,2.7015946430764006e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.787417464739317e-105,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,1.1683930759626643e-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.362635461954761e-230,0.0,0.0,1.5408050632427356e-110,0.0,1.0,9.842768360203158e-90,0.0,0.0,2.335336749537994e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.107381905435116e-237,0.0,0.0
Robin_education_Della,0.0,1.0,0.0,0.0,2.0077414534732193e-218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,1.2177224539499131e-187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.772996117857048e-227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,0.0,3.713021970740279e-72,0.0,0.0,0.0,0.0,0.0,4.970157169870071e-235,0.0,9.468348562092217e-88,0.0,0.0,1.0851640613148121e-48,0.0,0.0,6.689916047899998e-46,2.6340613722006185e-75,4.173426273575906e-143,2.5046198298698156e-62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0058348690215845e-148,0.0,0.0
Robin_education_Mercedes,3.346873659689668e-95,0.0,0.0,0.0,6.526800976355847e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6182782717198525e-65,0.0,0.0,5.816704644517657e-21,0.0,0.0,7.38498181570099e-16,3.124406707845422e-60,1.5452218133579924e-100,9.413743789207111e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999991,0.0,0.0
Robin_education_Julius,2.61948180414555e-304,0.0,0.0,0.0,8.496229914800443e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4158728232691696e-111,0.0,0.0,4.9925990798889444e-89,0.0,0.0,2.9934079345523695e-283,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.749970555976227e-212,0.0,0.0
Robin_education_Lashandra,6.3522752577217825e-196,0.0,0.0,0.0,4.3502949762744025e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824286817126599e-129,0.0,0.0,1.7341835438178847e-76,0.0,0.0,2.5320934990875793e-62,4.139800168685754e-197,7.291948409502767e-93,1.0760728742357535e-140,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.769661860084171e-157,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,2.1340403542907058e-15,0.0,0.0,0.0,0.0,0.0,2.8988309603797533e-32,0.0,0.0,0.0,0.0,0.9999999991761666,0.0,0.0,3.682443277849769e-12,8.201492657600461e-10,1.1991014097281835e-150,7.356620821318329e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.122026592249756e-142,0.0,0.0
Robin_office_Gayle,1.3219619301292516e-295,0.0,0.0,0.0,4.762895147338964e-10,0.0,0.0,0.0,0.0,0.0,9.57546223337416e-23,0.0,6.002690464025484e-59,0.0,0.0,5.676352285329575e-05,0.0,0.0,0.9999432360008391,1.851440425765135e-14,3.087424290478075e-158,1.0620505896203448e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.349558559553923e-45,0.0,0.0
Robin_office_Shirlene,4.414210578643137e-254,0.0,1.3601685687358443e-132,0.0,2.2050835993250954e-25,0.0,0.0,0.0,0.0,0.0,2.5132550704263544e-44,0.0,0.0,0.0,0.0,1.1630267056256441e-05,0.0,0.0,0.9999883550252623,1.4707682360932948e-08,7.361270315347392e-192,5.320709436149697e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9529145230909527e-60,0.0,0.0
Robin_education_Madeline,1.5917290890709735e-70,0.0,0.0,0.0,5.415434339258263e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.713998362218493e-285,0.0,0.0,3.885894647173121e-65,0.0,0.0,1.127322091550855e-58,1.3953677405167436e-125,1.3356310749910965e-111,3.039791835482396e-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.107566027543328e-55,0.0,1.0
Robin_lodging_Phillip,2.9216209061287857e-231,0.0,0.0,0.0,0.00030425274128821557,0.0,0.0,0.0,0.0,0.0,3.247961676549212e-41,0.0,8.361334345410439e-107,0.0,0.0,0.9996056968264934,0.0,0.0,9.005043150228964e-05,7.162157928612305e-13,6.5176886579657664e-164,1.1761151559977368e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5044091911450896e-129,0.0,0.0
Robin_education_Jasper,1.2354940525872738e-145,0.0,0.0,0.0,0.9999999832006524,0.0,0.0,0.0,0.0,0.0,3.120226415287334e-151,0.0,1.5827036926574454e-199,0.0,0.0,1.22373786323736e-10,0.0,0.0,1.6676973195921377e-08,8.372628428485516e-25,1.4723631401830002e-125,4.96448139037803e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276365718262291e-51,0.0,0.0
Robin_office_Wai,5.501177503258932e-237,0.0,0.0,0.0,4.558475855818162e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1303563984346564e-102,0.0,0.0,1.205344965003857e-73,2.7857921370168696e-228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.988444561285219e-151,0.0,0.0
Robin_education_Terrance,1.0035960444786853e-148,0.0,0.0,0.0,2.529284598062262e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8201119183332329e-37,0.0,0.0,8.566588158977343e-36,2.09185640671611e-102,0.0,1.6474836452075622e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.921090561083701e-61,0.0,0.0
Robin_lodging_Elmer,8.976299565175974e-308,0.0,0.0,0.0,6.626915809638015e-58,0.0,0.0,0.0,0.0,0.0,4.7519763930372004e-176,0.0,2.7057091948317626e-213,0.0,0.0,1.037798347650871e-12,0.0,0.0,8.111280066110323e-10,2.178636896463804e-34,1.3187568369068744e-224,0.9999999991878346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3011010819811914e-99,0.0,0.0
