,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32
Robin_public_Carolina,0.0,0.0,1.7291481495312727e-114,0.0,0.0,0.0,1.7237112875168718e-131,0.0,0.0,0.0,0.0,2.6587074731675876e-102,0.0,1.3977974162387138e-160,0.0,0.0,6.656695911634011e-50,1.7756853504214956e-43,1.3684387195282407e-289,0.0,0.0,0.0,0.0,0.0,3.617675453682477e-64,1.0,2.381036664535052e-214,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,2.1305797241102982e-59,0.0,0.0,0.0,1.341790246946829e-23,0.0,0.0,0.0,0.0,2.93059115423627e-17,0.0,1.0982016290726347e-69,0.0,0.0,3.9626145652986995e-21,2.244862169400469e-10,1.440758165e-315,0.0,0.0,0.0,0.0,0.0,5.806551984060613e-175,0.0,0.9999999997755138,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.9999999522497094,0.0,0.0,0.0,1.7375239395808754e-28,0.0,0.0,0.0,0.0,1.6161549987062512e-75,0.0,7.023347623372269e-11,0.0,0.0,1.9641768653732572e-10,4.7483639688632516e-08,9.601303397127517e-59,0.0,0.0,0.0,0.0,0.0,2.0685401375280126e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,9.363230806371874e-13,0.0,0.0,0.0,7.93070788670214e-15,0.0,0.0,0.0,0.0,1.1516307351480726e-59,0.0,0.9999484486649246,0.0,0.0,1.2986645320352428e-05,3.8564688810669126e-05,4.5413383548371635e-125,0.0,0.0,0.0,0.0,0.0,2.1461671637209923e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,5.82714538466918e-234,0.0,0.0,0.0,3.660093573991836e-236,0.0,1.0,0.0,0.0,2.3315247541087322e-155,0.0,3.343395897067577e-222,0.0,0.0,4.436857048975085e-114,6.835261756460284e-90,0.0,0.0,0.0,0.0,0.0,0.0,2.1350298324951303e-197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,4.5767880310566835e-243,0.0,1.0,0.0,1.1502272299070732e-218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6872399274503553e-238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,1.485755616461626e-59,0.0,0.0,0.0,1.1082962258447096e-178,0.0,0.0,0.0,0.0,2.5052845190364163e-62,0.0,1.708477536803123e-78,0.0,0.0,1.1078786207434664e-49,2.462081736252996e-41,4.173426273575906e-143,0.0,0.0,0.0,0.0,0.0,1.047718666568656e-102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,5.105480110424197e-24,0.0,0.0,0.0,6.06617200403457e-118,0.0,0.0,0.0,0.0,9.24324448085342e-72,0.0,8.220251575912613e-31,0.0,0.0,1.805192286801639e-20,5.277239997282628e-13,1.5181326218732893e-100,0.0,0.0,0.0,0.0,0.0,0.9999999999994724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,1.16759123770319e-270,1.0,0.0,0.0,7.822012813840547e-228,0.0,0.0,0.0,0.0,2.9775901474560217e-283,0.0,3.5712780499076985e-271,0.0,0.0,1.1343543772638284e-113,5.878621028898301e-88,0.0,0.0,0.0,0.0,0.0,0.0,1.1663124449009518e-190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,0.0,1.1796726945438703e-111,0.0,0.0,0.0,9.63109758421191e-225,0.0,0.0,0.0,0.0,1.0752725857943088e-140,0.0,3.005950983292296e-119,0.0,0.0,1.1484854406177942e-77,1.440565508217102e-63,7.291948409502767e-93,0.0,0.0,0.0,0.0,0.0,6.629454451783169e-121,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,5.515022415042919e-13,0.0,0.0,0.0,9.536073976614525e-63,0.0,0.0,0.0,0.0,1.800760612380135e-74,0.0,6.550432314973823e-11,0.0,0.0,0.9999999950604206,4.87352392951773e-09,2.940364967123041e-150,0.0,0.0,0.0,0.0,0.0,2.6849730507627736e-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.0,0.0,1.9533340864254458e-11,0.0,0.0,0.0,1.9198080526883537e-19,0.0,0.0,0.0,0.0,7.715946779849558e-34,0.0,1.2268938769964134e-06,0.0,0.0,1.484281245252524e-05,0.9999839302741367,2.2450810577391187e-158,0.0,0.0,0.0,0.0,0.0,1.0411464180299602e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,5.868636390663395e-33,0.0,0.0,0.0,0.9986851087850529,0.0,0.0,0.0,0.0,1.1713720897007599e-39,0.0,6.156077371708085e-29,0.0,0.0,1.3271003819834472e-06,0.0013135641145649534,1.6210429907927264e-193,0.0,0.0,0.0,0.0,0.0,1.1582470089253494e-60,0.0,2.995259889899381e-134,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,1.349026719435133e-71,0.0,0.0,0.0,4.444744530899416e-150,0.0,0.0,0.0,1.0,3.0360085657407346e-165,0.0,1.2757621084458147e-88,0.0,0.0,1.1066050566812539e-64,1.4887836120457535e-56,1.3356310749910965e-111,0.0,0.0,0.0,0.0,0.0,6.284906550357573e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,1.5526896542075718e-12,0.0,0.0,0.0,2.798759485736564e-23,0.0,0.0,0.0,0.0,1.0223128132966173e-48,0.0,8.952031269312673e-09,0.0,0.0,0.9999944875989241,5.503447491483122e-06,5.672552176409525e-164,0.0,0.0,0.0,0.0,0.0,7.053886045351627e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.9999999373434483,0.0,0.0,0.0,1.4565218678495057e-28,0.0,0.0,0.0,0.0,4.9030726157185204e-107,0.0,3.1238047189224803e-12,0.0,0.0,6.251746899494123e-08,1.3595918924876943e-10,1.455500064948098e-126,0.0,0.0,0.0,0.0,0.0,8.006502770838116e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Wai,0.0,0.0,1.530899403291651e-194,0.0,0.0,0.0,6.154522738421817e-256,0.0,0.0,0.0,0.0,0.0,0.0,4.3259223392746896e-290,0.0,1.0,2.3044774105883897e-105,1.416793659133725e-71,0.0,0.0,0.0,0.0,0.0,0.0,4.0075442259176813e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,0.0,7.421884560164466e-67,0.0,0.0,0.0,1.988252790114427e-255,0.0,0.0,0.0,0.0,3.0133360862209335e-164,0.0,1.2829160474264354e-109,0.0,0.0,2.8360657334751307e-70,1.3182329680557935e-57,0.0,0.0,0.0,0.0,0.0,0.0,5.009845004732617e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_lodging_Elmer,0.0,0.0,7.914344513997892e-45,0.0,0.0,0.0,8.067287869083317e-40,0.0,0.0,0.0,0.0,0.9999998814492591,0.0,1.5367626944157223e-65,0.0,0.0,1.6365276974460118e-13,1.1855057720586495e-07,1.3186189008285659e-224,0.0,0.0,0.0,0.0,0.0,3.960136169649837e-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,0.0,3.8158827533953367e-19,0.0,0.0,0.0,4.2615229648183955e-32,0.0,0.0,0.0,0.0,1.052693529902337e-56,0.0,0.9999877140898997,0.0,0.0,1.5081470728274003e-06,1.0777763027300206e-05,3.4521680412178537e-159,0.0,0.0,0.0,0.0,0.0,4.141513814897127e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,1.8550922820116097e-14,0.0,0.0,0.0,2.557198363571628e-77,0.0,0.0,0.0,0.0,3.4459674766095183e-44,0.0,0.9996174351628299,0.0,0.0,1.0356453911664522e-07,0.0003824612726126399,1.8777525519251326e-127,0.0,0.0,0.0,0.0,0.0,2.004415579642578e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,1.5815692675723653e-17,0.0,0.0,0.0,0.00011856330215898141,0.0,0.0,0.0,0.0,4.107137252901774e-33,0.0,8.307069829560649e-27,0.0,0.0,2.5818490666311555e-06,0.9998788548487738,1.8700437260008299e-187,0.0,0.0,0.0,0.0,0.0,2.8420966768249692e-27,0.0,9.378699465478725e-86,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,1.0870962671708956e-35,0.0,0.0,0.0,1.173488728693326e-06,0.0,0.0,0.0,0.0,0.9999667408804293,0.0,6.598892699429389e-49,0.0,0.0,2.4596074012112443e-08,3.206103476855565e-05,3.606064017989864e-244,0.0,0.0,0.0,0.0,0.0,1.3987906862321636e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_So,0.0,0.0,5.078706997512443e-151,0.0,0.0,0.0,3.2650440522171344e-166,0.0,0.0,0.0,0.0,5.135626740806579e-144,0.0,4.094753639872213e-148,0.0,0.0,3.5862800451095606e-81,3.2872918498439647e-56,1.0,0.0,0.0,0.0,0.0,0.0,4.646109327517997e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Maryann,0.0,0.0,6.0517318373328835e-27,0.0,0.0,0.0,1.1328761397284032e-78,0.0,0.0,0.0,0.0,1.9523993890560858e-122,0.0,6.828711050138133e-39,0.0,0.0,3.323225602026721e-18,1.1112720836025006e-16,6.819445035119304e-76,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Serena,0.0,0.0,3.9081129169060826e-15,0.0,0.0,0.0,6.062010172692904e-07,0.0,0.0,0.0,0.0,1.0408195081969425e-31,0.0,5.141070633282258e-11,0.0,0.0,7.492919020674694e-07,0.9999986444556658,3.9020360573165584e-203,0.0,0.0,0.0,0.0,0.0,4.178803329182355e-55,0.0,1.1040380341453125e-79,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,7.888876907502087e-105,0.0,0.0,0.0,5.059840218962019e-217,0.0,0.0,0.0,0.0,8.068724326752725e-124,0.0,8.234207323215969e-108,0.0,0.0,3.527733795768278e-63,1.2082558452528917e-42,1.0,0.0,0.0,0.0,0.0,0.0,1.6740991728708992e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Megan,0.0,0.0,6.185881745744459e-22,0.0,0.0,0.0,3.776969186028176e-63,0.0,0.0,0.0,0.0,2.3278051686716233e-87,0.0,2.6024687516026493e-35,0.0,0.0,1.705954394273027e-21,2.4558754422407056e-14,2.884154235331621e-116,0.0,0.0,0.0,0.0,0.0,0.9999999999999751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Adolph,0.0,0.0,1.3184423106838352e-14,0.0,0.0,0.0,1.3830804501670545e-22,0.0,0.0,0.0,0.0,3.8626412594624925e-68,0.0,0.9999703663057331,0.0,0.0,4.462188418574678e-06,2.517150583534234e-05,1.1963661191897937e-151,0.0,0.0,0.0,0.0,0.0,6.145873360744319e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.00030325355961866875,0.0,0.0,0.0,2.7439041582208672e-17,0.0,0.0,0.0,0.0,2.3317266502612744e-73,0.0,0.9996501235798658,0.0,0.0,1.3607238234240548e-06,4.52621366920011e-05,1.1652697660636747e-119,0.0,0.0,0.0,0.0,0.0,2.032205992131644e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.9999999378711221,0.0,0.0,0.0,1.2752916872570854e-59,0.0,0.0,0.0,0.0,2.4121424697885882e-98,0.0,7.116357775149372e-11,0.0,0.0,5.57109256954544e-08,6.346789433761296e-09,1.4706058815778688e-134,0.0,0.0,0.0,0.0,0.0,1.149999904334378e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,0.0,4.1053420253692974e-67,0.0,0.0,0.0,0.999995682737892,0.0,0.0,0.0,0.0,1.224598777249561e-09,0.0,8.263477196236008e-91,0.0,0.0,1.398088190089042e-13,4.3160373690985415e-06,6.481037312092554e-289,0.0,0.0,0.0,0.0,0.0,1.4870781518162636e-67,0.0,1.4517300608108673e-73,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,0.0,1.1150435814013412e-16,0.0,0.0,0.0,1.4492222379948697e-05,0.0,0.0,0.0,0.0,8.490210785016465e-37,0.0,3.9974997005246385e-13,0.0,0.0,2.7494505671864146e-06,0.9999827583266532,1.370440787469816e-175,0.0,0.0,0.0,0.0,0.0,8.26135037980692e-44,0.0,1.866040992365519e-142,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,0.0,3.160628861129864e-137,0.0,0.0,0.0,4.569737601838049e-199,0.0,0.0,0.0,0.0,3.638203154843873e-226,0.0,2.6724643815033825e-157,0.0,0.0,1.1671897217793827e-91,2.702497548926088e-76,4.7482081275437085e-129,0.0,0.0,0.0,0.0,0.0,6.572829878965211e-92,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_public_Cami,0.0,0.0,3.804780458231829e-79,0.0,0.0,0.0,0.9999993759312649,0.0,0.0,0.0,0.0,2.369460588503927e-43,0.0,1.811273544659046e-97,0.0,0.0,1.5290834455357548e-18,6.240687353962042e-07,2.6560119612991913e-202,0.0,0.0,0.0,0.0,0.0,5.895146233919035e-102,0.0,2.397607673363561e-114,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0003320319808044876,0.0,0.0,0.0,3.859021864825707e-85,0.0,0.0,0.0,0.0,1.7041739606922164e-80,0.0,1.0274822907770918e-09,0.0,0.0,0.9996397077988185,2.825919289505027e-05,5.716963750204282e-163,0.0,0.0,0.0,0.0,0.0,1.5005108772269494e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,0.0,1.2294935122056274e-57,0.0,0.0,0.0,5.366095609227224e-13,0.0,0.0,0.0,0.0,3.7639605156382224e-29,0.0,1.353140840608896e-71,0.0,0.0,3.836956650494743e-15,0.99999999999946,2.8275221669441836e-293,0.0,0.0,0.0,0.0,0.0,5.790479110738401e-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,0.0,1.9346257746471037e-81,0.0,0.0,0.0,1.5169451028956679e-09,0.0,0.0,0.0,0.0,1.236007524568116e-19,0.0,1.7632951446210255e-111,0.0,0.0,3.025068157483551e-21,2.8830912673637856e-12,9.673087504626345e-306,0.0,0.0,0.0,0.0,0.0,1.5923543100408888e-107,0.0,0.999999998480172,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,0.0,8.983808657005161e-13,0.0,0.0,0.0,4.461783769515329e-59,0.0,0.0,0.0,0.0,2.110801025792715e-83,0.0,1.5239174835628628e-22,0.0,0.0,1.441871275441421e-14,9.77875103980605e-11,7.613680091042744e-127,0.0,0.0,0.0,0.0,0.0,0.9999999999012994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,2.6169447871359416e-68,0.0,0.0,0.0,0.9999179794297559,0.0,0.0,0.0,0.0,2.131803529957797e-20,0.0,7.358745452441642e-91,0.0,0.0,6.59301460991124e-11,8.202050431441604e-05,5.477844680808176e-215,0.0,0.0,0.0,0.0,0.0,1.2212250044612745e-58,0.0,1.2236111390506507e-73,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,0.0,0.0,2.009081344654425e-34,0.0,0.0,0.0,1.56782159142244e-32,0.0,0.0,0.0,0.0,1.4383904601141916e-25,0.0,3.8439388574420873e-16,0.0,0.0,1.423665869530357e-11,0.9999999999857625,2.067543769081624e-247,0.0,0.0,0.0,0.0,0.0,2.774738741697775e-88,0.0,3.455629495870023e-214,0.0,0.0,0.0,0.0,0.0,0.0
