,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33
Robin_public_Carolina,3.85648816626746e-92,1.3684387195282407e-289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4316435848054055e-139,4.314055096918906e-89,0.0,0.0,1.927244585306224e-54,0.0,6.524217310636118e-53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.464167014616628e-80,0.0,0.0,1.2281249692215829e-169,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,1.1236894328250918e-17,2.8598854936937e-311,0.0,0.0,0.0,0.0,0.0,1.5657702829643e-63,0.0,6.374384798006856e-57,2.7698068426394397e-43,0.0,0.0,1.0952849733159237e-85,0.0,1.3471589193622207e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999865284099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,1.5067233419526606e-23,1.6952931846700024e-58,0.0,0.0,0.0,0.0,0.0,1.0708634968188961e-198,0.0,0.999999362594324,1.4354650923535288e-22,0.0,0.0,7.942427028945706e-17,0.0,6.374056761482805e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7788164051250406e-45,0.0,0.0,1.5496819530755968e-98,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Dina,1.020696763009516e-13,1.0642073978069996e-124,0.0,0.0,0.0,0.0,0.0,7.665773229129405e-63,0.0,0.9992339985207322,6.374028216721209e-05,0.0,0.0,3.829326999515616e-33,0.0,0.0007022611969987458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6450202312933627e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,3.344420716929727e-176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157733924607091e-90,0.0,1.0,0.0,6.097301675342096e-107,0.0,9.78764021725739e-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5149884723931727e-189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.942163919864351e-218,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.199237130830792e-187,0.0,0.0,0.0,0.0,0.0,3.940039876341916e-227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,8.949645775710432e-74,4.173426273575906e-143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6763169610591363e-72,2.6375774322756885e-75,0.0,0.0,1.3997867237703771e-77,0.0,6.600506343140704e-46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4822104611534204e-102,0.0,0.0,5.531944e-318,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,7.66608706740049e-49,7.346278686744692e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.095125186007105e-20,1.4865994807243354e-61,0.0,0.0,5.891095738903367e-10,0.0,3.4852151525474465e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4219780691742489e-68,0.0,0.0,0.9999999994108904,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,2.026869695301675e-181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.414708679717967e-100,0.0,0.0,0.0,6.784839229288227e-118,0.0,4.97670600508798e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.653442712317696e-189,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,2.932372154239327e-123,7.291948409502767e-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.334918432368727e-56,4.1424159623182714e-197,0.0,0.0,1.5839608778128939e-162,0.0,2.520510672235145e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.731356890778165e-130,0.0,0.0,5.0490569654096175e-270,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Lizbeth,0.9999999997105142,4.2069741416573264e-151,0.0,0.0,0.0,0.0,0.0,1.6072658695366915e-33,0.0,7.476839810223057e-16,2.882215157121725e-10,0.0,0.0,1.0379436422647109e-35,0.0,1.2637513413801056e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9775980912965683e-38,0.0,0.0,1.5415821897429501e-294,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,3.130231576659599e-17,3.093755322840429e-158,0.0,0.0,0.0,0.0,0.0,5.950622761563973e-25,0.0,4.761127273147123e-10,1.8550207181703142e-14,0.0,0.0,1.0569368446639362e-41,0.0,0.9999999995238689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4060574233648627e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,7.863798131977009e-10,7.381037704252771e-192,0.0,0.0,0.0,0.0,0.0,6.5783844873191185e-49,0.0,2.1956254992834097e-25,1.4768677985403183e-08,0.0,0.0,4.617323935428495e-37,0.0,0.9999999844328632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2078324451052963e-11,0.0,0.0,5e-324,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,3.41664514240805e-88,1.3356310749910965e-111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.404313607554906e-47,1.3990799066029755e-125,0.0,0.0,8.471045181749764e-49,0.0,1.112014710279876e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.179036455742937e-113,0.0,0.0,3.477442061199676e-173,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.9999643286405492,5.921768688692854e-165,0.0,0.0,0.0,0.0,0.0,3.162106379061006e-43,0.0,2.760952637377144e-05,6.51509523914696e-14,0.0,0.0,5.909770694459865e-35,0.0,8.06183291340091e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.864859584977414e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,2.948061178646581e-25,1.47231523014263e-125,0.0,0.0,0.0,0.0,0.0,3.05990078197405e-172,0.0,0.9999999834377659,8.390534169248453e-25,0.0,0.0,1.0701128483967595e-20,0.0,1.656223437591824e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3194245012930664e-39,0.0,0.0,1.604005947843897e-91,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Wai,6.264534392585788e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.506722317775177e-107,2.785316648005501e-228,0.0,0.0,1.4405095223663509e-146,0.0,1.1667170035510043e-73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.535960829879809e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,1.5992138597699214e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.611949748112233e-66,3.8482394748552414e-132,0.0,0.0,6.478359087771494e-83,0.0,1.5309317129406803e-65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.738520212127026e-115,0.0,0.0,1.5077470078124876e-200,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,2.505911914528712e-26,5.382813839637884e-230,0.0,0.0,0.0,0.0,0.0,2.115336146880462e-239,0.0,2.666919450728923e-63,8.897392172149073e-40,0.0,0.0,3.9747201543715604e-79,0.0,3.2892746680469124e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999964,1.9240106945301173e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Addie,1.7639992484716017e-17,6.950982822643971e-158,0.0,0.0,0.0,0.0,0.0,3.9892832472722735e-131,0.0,0.01707163285042304,0.9829119049418343,0.0,0.0,1.3615634056672036e-32,0.0,1.6462207742556806e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.888236079479039e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,6.52735372866034e-32,6.121951761905925e-128,0.0,0.0,0.0,0.0,0.0,8.685285386506315e-152,0.0,6.045278702767457e-06,0.9999938043749873,0.0,0.0,7.954129721940139e-34,0.0,1.5034630991582377e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8384744523498416e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,4.255510181248968e-13,1.2246688818955796e-188,0.0,0.0,0.0,0.0,0.0,2.4267856142440226e-48,0.0,4.816871964498033e-20,8.364124464060021e-25,0.0,0.0,1.0844986032477726e-24,0.0,0.9999999999995284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.647127429596439e-14,0.0,0.0,4.858126391043348e-305,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,2.1056176558027168e-11,1.9421570179173835e-244,0.0,0.0,0.0,0.0,0.0,5.2882186052368826e-30,0.0,5.690977618309117e-44,1.3171871953241879e-20,0.0,0.0,3.2565220233064462e-46,0.0,1.0089573775016404e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999898893694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
