,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34
Robin_public_Carolina,0.0,0.0,4.464168148974559e-80,0.0,1.3684387195282407e-289,3.034723026224513e-88,0.0,0.0,0.0,1.6815219474980745e-105,1.9339187464240312e-54,0.0,0.0,1.4498623706119526e-129,0.0,0.0,1.0336381106697893e-56,1.6498579590324938e-166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1746868791804568e-58,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,1.0,0.0,2.8598849938134e-311,4.9159352981192425e-27,0.0,0.0,0.0,1.7528474311080042e-55,1.1735254385126736e-85,0.0,0.0,1.3107189579655255e-54,0.0,0.0,1.0585983527986368e-63,1.6016234569867787e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9231643789824406e-30,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,1.0750618855598883e-45,0.0,1.024580499665414e-58,4.987837403012021e-07,0.0,0.0,0.0,1.1613944569344026e-28,4.8718349526948786e-17,0.0,0.0,0.9999995012162595,0.0,0.0,7.387055623417368e-30,1.0881170179052136e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.904474145256104e-28,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,5.924927370521363e-32,0.0,1.7298504087217759e-124,0.9903607659703397,0.0,0.0,0.0,2.1304688029789055e-08,6.344674915718092e-33,0.0,0.0,0.009639202544210588,0.0,0.0,1.0522523975516843e-24,1.0138026691032237e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.273487787140607e-11,0.0,0.0,0.0
Robin_education_Derick,0.0,1.0,1.5149985853090405e-189,0.0,0.0,1.825130647055069e-117,0.0,0.0,0.0,0.0,6.501830870981834e-107,0.0,0.0,6.5297203054057925e-115,0.0,0.0,1.7583630503698343e-168,1.1002000996160419e-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3891271977171316e-173,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.291505779887233e-191,0.0,0.0,5.5769564e-316,9.97360876769201e-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,5.83161e-318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.572666666390329e-302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,1.482216046304037e-102,0.0,4.173426273575906e-143,3.925168673134003e-58,0.0,0.0,0.0,6.559196003831173e-79,1.4794634698548603e-77,0.0,0.0,1.7374354190350403e-67,0.0,0.0,3.2665621922411934e-113,2.1788731820380656e-224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.677334455251311e-76,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,5.3947584543536354e-67,0.0,2.787052533061409e-100,1.8860476465358783e-18,0.0,0.0,0.0,6.4735346177527145e-68,2.2198731004295935e-08,0.0,0.0,1.9244991280434865e-18,0.0,0.0,0.9999999778012694,4.8697906898697285e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3697472010577329e-44,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,6.6534854549719524e-189,0.0,0.0,6.777687518047946e-129,0.0,1.0,0.0,0.0,7.591269234838004e-118,0.0,0.0,2.3135247338156406e-132,0.0,0.0,4.700616487637792e-79,1.731833071439035e-141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.591336039990724e-121,0.0,0.0,0.0
