,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35
Robin_public_Carolina,0.0,1.584019968822656e-114,0.0,0.0,0.0,0.0,0.0,1.4683961102125864e-76,3.2627836978992127e-52,0.0,0.0,0.0,0.0,7.191500901434519e-255,1.3684387195282407e-289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.722468528192317e-62,5.861946208664789e-84,4.464169554344734e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,4.674760495459296e-55,0.0,0.0,0.0,0.0,0.0,2.803015384366079e-252,9.09705839612579e-10,0.0,0.0,0.0,0.0,7.603513475561869e-231,2.859885342777e-311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6917051775037463e-140,2.681727491899097e-18,0.0,0.9999999990902939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5657702783833667e-63
Robin_education_Zenia,0.0,0.9999999623345015,0.0,0.0,0.0,0.0,0.0,7.863527075071474e-30,3.7665451325859274e-08,0.0,0.0,0.0,0.0,1.2034256433535104e-51,9.6100608118428e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7541441230015056e-14,9.485277777457472e-15,5.805499205694074e-192,1.0083532037256111e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0703750175464e-199
Robin_office_Dina,0.0,8.705347371422123e-14,0.0,0.0,0.0,0.0,0.0,1.1277639626898457e-82,3.951083835401968e-06,0.0,0.0,0.0,0.0,9.998074402479659e-52,3.571671971073911e-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996041424986,7.491091636757832e-09,3.495629926806545e-195,1.223335079414309e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5727721505467945e-64
Robin_education_Derick,1.0,6.7813187965771855e-233,0.0,0.0,0.0,0.0,0.0,4.346603766750739e-237,2.5823957994276186e-88,0.0,0.0,0.0,0.0,1.22811638e-315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4248154521136737e-281,1.2256180953861644e-144,0.0,1.5149935646130428e-189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,1.3452420292256866e-242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5985554372014547e-214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,1.4100781401785903e-59,0.0,0.0,0.0,0.0,0.0,4.974741308648429e-129,9.489576390934319e-44,0.0,0.0,0.0,0.0,1.2320347466305332e-140,4.173426273575906e-143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.144891066891105e-122,6.268245546550133e-65,8.107264100296408e-304,1.4822121431147604e-102,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,3.206957208539816e-25,0.0,0.0,0.0,0.0,0.0,1.0,6.03521195617202e-17,0.0,0.0,0.0,0.0,4.982838086963956e-106,8.303033809810974e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0014294762858579e-47,1.8217957455694035e-36,0.0,1.6071737815577143e-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,1.7757626865325658e-269,0.0,0.0,1.0,0.0,0.0,3.6049722910630287e-233,7.74690426305416e-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.932110822503082e-147,2.5042234245698914e-235,6.65346463285608e-189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,3.139082987124022e-111,0.0,0.0,0.0,0.0,0.0,5.377080708080624e-120,1.6319596741976672e-63,0.0,0.0,0.0,0.0,9.868266098372766e-209,7.291948409502767e-93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42548424815188e-127,2.2542895588784332e-107,0.0,7.731373133707225e-130,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
