,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36
Robin_public_Carolina,2.033003681952283e-76,0.0,0.0,0.0,0.0,0.0,0.0,4.464166590568025e-80,0.0,0.0,0.0,4.1338890529790995e-89,1.3684387195282407e-289,0.0,0.0,0.0,3.644762990845234e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.298572585637648e-240,0.0,1.835303890256769e-104,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,1.3660697748406636e-251,0.0,0.0,1.3405947142180491e-260,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6377838609233935e-43,2.8598853765053e-311,1.5657702576205753e-63,0.0,0.0,3.7516964807600286e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.470246460630144e-96,0.0,3.3941419502457873e-74,0.0,0.0,0.0,0.0
Robin_education_Zenia,4.5724104319193146e-29,0.0,0.0,9.030001828914245e-08,0.0,0.0,0.0,1.9694192980842303e-45,0.0,0.0,0.0,1.551169549941422e-22,1.876946347320937e-58,1.1856081196797584e-198,0.0,0.0,1.794819351835981e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999096999798,0.0,5.649172780470575e-57,0.0,0.0,0.0,0.0
Robin_office_Dina,1.0974893886749618e-105,0.0,0.0,1.1784142971991868e-10,0.0,0.0,0.0,1.0566529271965653e-32,0.0,0.0,0.0,1.8497795797691256e-05,3.085024636805007e-125,2.2222266207264355e-63,0.0,0.0,3.274015352375453e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999811746848255,0.0,1.1094829528002135e-21,0.0,0.0,0.0,0.0
Robin_education_Derick,1.1069914731467117e-237,0.0,0.0,4.7275061636796515e-239,0.0,0.0,0.0,1.514990202648141e-189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.175982498635171e-159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.188234684306745e-110,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.549941183306504e-208,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3032827527727877e-182,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,3.0046343652945093e-148,0.0,0.0,3.18410992681104e-233,0.0,0.0,0.0,1.4822106928741871e-102,0.0,0.0,0.0,2.461101937405799e-75,4.173426273575906e-143,0.0,0.0,0.0,6.183026864128641e-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0526671077291735e-94,0.0,3.768432734124765e-102,0.0,0.0,0.0,0.0
Robin_education_Mercedes,1.0,0.0,0.0,2.9989038265327978e-43,0.0,0.0,0.0,2.9910054135649766e-67,0.0,0.0,0.0,2.950148846171329e-60,1.5452243534116021e-100,0.0,0.0,0.0,4.777402712847852e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2921121287858932e-17,0.0,1.4164831455104087e-106,0.0,0.0,0.0,0.0
Robin_education_Julius,7.748410364214454e-212,0.0,0.0,6.916081646001303e-184,0.0,0.0,0.0,6.653451316546301e-189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4894016465640128e-142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.119009913363265e-120,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,2.768791641317683e-157,0.0,0.0,6.685594376655444e-99,1.0,0.0,0.0,7.731361865142479e-130,0.0,0.0,0.0,3.691831003456298e-197,7.291948409502767e-93,0.0,0.0,0.0,2.788360327598143e-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.205359637097483e-54,0.0,2.14350730829e-311,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,6.606240039125809e-144,0.0,0.0,0.9999999999894946,0.0,0.0,0.0,1.4628879909636038e-39,0.0,0.0,0.0,1.0505998092137438e-11,1.5472485503006191e-152,5.911231361609941e-35,0.0,0.0,8.835215610113125e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.264896551146829e-31,0.0,2.6488598829284943e-31,0.0,0.0,0.0,0.0
