,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37
Robin_public_Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4683961110103797e-76,0.0,0.0,4.56271505926421e-160,0.0,0.0,1.3684387195282407e-289,0.0,0.0,1.587847029082811e-114,0.0,0.0,0.0,0.0,0.0,4.508325234877078e-62,0.0,1.0,4.46417031629159e-80,5.861946205037932e-84,0.0,2.875943968926653e-79,0.0,0.0,0.0,0.0,1.6573580103917168e-141,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.803015503887484e-252,0.0,0.0,3.441445493725084e-65,0.0,0.0,2.8598854518414e-311,0.0,0.0,4.844976083280664e-55,0.0,0.0,0.0,0.0,0.0,2.7978042096911754e-18,0.0,0.0,1.0,0.0,0.0,4.806895434931592e-20,0.0,0.0,0.0,0.0,2.6848875462166803e-29,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.863390724754762e-30,0.0,0.0,7.371018124595452e-11,0.0,0.0,9.609894172989724e-59,0.0,0.0,0.9999999999262661,0.0,0.0,0.0,0.0,0.0,9.104335590781672e-15,0.0,0.0,1.0083359303327578e-45,5.8053985633642265e-192,0.0,1.4397037827869002e-14,0.0,0.0,0.0,0.0,8.063528476196548e-62,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4554414083721783e-81,0.0,0.0,0.9999996895914463,0.0,0.0,4.6094390739304686e-125,0.0,0.0,1.1764119584414548e-12,0.0,0.0,0.0,0.0,0.0,9.296209089329752e-08,0.0,0.0,1.5787813630524875e-32,4.5113026551415576e-194,0.0,2.1744528627298911e-07,0.0,0.0,0.0,0.0,7.273280925950818e-31,0.0,0.0,4.6163012288051806e-104,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3466037798136375e-237,0.0,0.0,9.890073804107078e-222,0.0,0.0,0.0,0.0,0.0,1.3454932609740963e-232,0.0,0.0,0.0,0.0,1.0,1.0345006882292306e-144,0.0,0.0,1.5149926834526874e-189,0.0,0.0,1.93538778491513e-123,0.0,0.0,0.0,0.0,3.6119270101823864e-297,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.666512215513835e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.872738019914237e-266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9747413146351926e-129,0.0,0.0,2.2831507436343106e-78,0.0,0.0,4.173426273575906e-143,0.0,0.0,1.4018058918860013e-59,0.0,0.0,0.0,0.0,0.0,6.229669769143375e-65,0.0,0.0,1.4822125292038207e-102,8.107264118195614e-304,0.0,1.7155001701990798e-66,1.0,0.0,0.0,0.0,6.726287809554087e-90,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.24688805702751e-32,0.0,0.0,8.303033809983953e-102,0.0,0.0,3.3472456885705015e-25,0.0,0.0,0.0,0.0,0.0,1.7006334393173744e-36,0.0,0.0,1.6071737296580713e-68,0.0,0.0,9.726642731306782e-32,0.0,0.0,0.0,0.0,2.0360356105358662e-66,0.0,0.0,0.0,0.0
Robin_education_Julius,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6049723019253724e-233,0.0,0.0,1.6459066127117317e-270,0.0,0.0,0.0,0.0,0.0,3.808961392251938e-269,0.0,0.0,0.0,0.0,0.0,5.727679597620185e-147,0.0,0.0,6.653458535028699e-189,2.5042234197809994e-235,0.0,2.1923745024491653e-121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
