,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38
Robin_public_Carolina,0.0,0.0,0.0,0.0,3.617674983007797e-64,0.0,0.0,0.0,1.6193509974407267e-152,9.246667895688435e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.608046181573946e-130,0.0,1.3684387195282407e-289,1.0,0.0,0.0,0.0,0.0,1.3033515410564589e-129,0.0,1.6573580104385388e-141,0.0,0.0,0.0,0.0,0.0,2.381036683343987e-214,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,0.0,5.806548605995095e-175,0.0,0.0,0.0,1.6214773921535056e-33,3.1015500851447127e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.433042705135707e-45,0.0,1.440758175e-315,0.0,0.0,0.0,0.0,0.0,5.418028477354952e-59,0.0,1.352597419026789e-33,0.0,0.0,0.0,7.88804393839721e-68,0.0,1.0,0.0,1.1937016527562399e-204,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,0.0,2.1989431064132948e-20,0.0,0.0,0.0,1.1295533727101423e-48,1.0057989684060127e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2400015426196882e-16,0.0,1.0206580276865055e-58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.564199483396136e-62,0.0,0.0,0.0,6.447143984593485e-199,0.0,0.0,0.0,1.6816002383385722e-69,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.0,0.0,5.0600844404249345e-80,0.0,0.0,0.0,0.9946197706169071,1.8504524650906017e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4747755833515772e-06,0.0,1.0707258348944528e-124,0.0,0.0,0.0,0.0,0.0,0.005378754607509348,0.0,1.6895092151164686e-30,0.0,0.0,0.0,7.712723313557855e-63,0.0,0.0,0.0,6.484885321894182e-20,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,2.1350287131359515e-197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87254432255e-313,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.074667978979136e-116,0.0,3.611927011416736e-297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0836912384558345e-191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.460705044670073e-306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,0.0,1.0477184805402458e-102,0.0,0.0,0.0,2.4095988613881294e-86,8.070168708616469e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.754217054705632e-82,0.0,4.173426273575906e-143,0.0,0.0,0.0,0.0,0.0,1.6723578097488972e-67,0.0,6.726287809839317e-90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.564551243710664e-163,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.875715270770562e-131,2.679511755954889e-119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576273635300632e-57,0.0,1.5181326248536027e-100,0.0,0.0,0.0,0.0,0.0,8.752853824667313e-19,0.0,3.722702034829992e-65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98691458249401e-166,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,0.0,1.1663117800793826e-190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0527542817081285e-133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
