,Cluster_0,Cluster_1,Cluster_2,Cluster_3
Robin_public_Carolina,1.0,0.0,0.0,0.0
Robin_lodging_Dorthy,1.0,0.0,0.0,0.0
Robin_education_Zenia,1.0,0.0,0.0,0.0
Robin_office_Dina,1.0,0.0,0.0,0.0
Robin_education_Derick,1.2803613590057158e-20,0.0,0.0,1.0
Robin_education_Della,0.0,0.0,1.0,0.0
Robin_education_Leslie,9.278340352556356e-92,1.0,0.0,0.0
Robin_office_Sammie,1.0,0.0,0.0,0.0
Robin_education_Mercedes,1.0,0.0,0.0,0.0
Robin_education_Julius,7.402105028933702e-46,1.0,0.0,0.0
Robin_education_Lashandra,5.0544262605645966e-17,0.0,0.0,1.0
Robin_education_Lizbeth,1.0,0.0,0.0,0.0
Robin_office_Gayle,1.0,0.0,0.0,0.0
Robin_office_Shirlene,1.0,0.0,0.0,0.0
Robin_education_Madeline,1.22390954413423e-10,0.0,0.0,0.999999999877609
Robin_lodging_Phillip,1.0,0.0,0.0,0.0
Robin_education_Jasper,1.0,0.0,0.0,0.0
Robin_office_Wai,3.4333807209145464e-50,1.0,0.0,0.0
Robin_education_Terrance,1.0,0.0,0.0,0.0
Robin_lodging_Elmer,1.0,0.0,0.0,0.0
Robin_office_Addie,1.0,0.0,0.0,0.0
Robin_education_Cecilia,1.0,0.0,0.0,0.0
Robin_education_Kiera,1.0,0.0,0.0,0.0
Robin_lodging_Pricilla,1.0,0.0,0.0,0.0
Robin_education_So,2.146887640304629e-17,0.0,0.0,1.0
Robin_office_Maryann,1.0,0.0,0.0,0.0
Robin_office_Serena,1.0,0.0,0.0,0.0
Robin_education_Derrick,1.1944593137187923e-14,0.0,0.0,0.9999999999999885
Robin_education_Megan,1.0,0.0,0.0,0.0
Robin_office_Adolph,1.0,0.0,0.0,0.0
Robin_office_Lindsay,1.0,0.0,0.0,0.0
Robin_education_Takako,1.0,0.0,0.0,0.0
Robin_lodging_Oliva,1.0,0.0,0.0,0.0
Robin_office_Victor,1.0,0.0,0.0,0.0
Robin_education_Margarito,7.603816740048263e-17,0.0,0.0,1.0
Robin_public_Cami,1.0,0.0,0.0,0.0
Robin_education_Kristopher,1.0,0.0,0.0,0.0
Robin_education_Billi,1.0,0.0,0.0,0.0
Robin_lodging_Celia,1.0,0.0,0.0,0.0
Robin_office_Donald,1.0,0.0,0.0,0.0
Robin_assembly_Colleen,1.0,0.0,0.0,0.0
Robin_office_Soledad,1.0,0.0,0.0,0.0
Robin_education_Audrea,1.0,0.0,0.0,0.0
Robin_office_Saul,1.0,0.0,0.0,0.0
Robin_lodging_Donna,1.0,0.0,0.0,0.0
Robin_office_Antonina,4.2270150027903855e-15,0.0,0.0,0.9999999999999956
Robin_office_Erma,1.0,0.0,0.0,0.0
Robin_office_Zelma,1.0,0.0,0.0,0.0
Robin_lodging_Renea,1.0,0.0,0.0,0.0
Robin_lodging_Armand,1.0,0.0,0.0,0.0
Robin_education_Karyl,1.0,0.0,0.0,0.0
Robin_lodging_Janie,1.0,0.0,0.0,0.0
Shrew_office_Sherill,2.0085910770340625e-75,1.0,0.0,0.0
Shrew_office_Rose,1.0,0.0,0.0,0.0
Shrew_office_Nora,1.0,0.0,0.0,0.0
Shrew_office_Katherine,1.0,0.0,0.0,0.0
Shrew_office_Ila,1.0,0.0,0.0,0.0
Shrew_office_Doug,1.0,0.0,0.0,0.0
Shrew_office_Doris,1.0,0.0,0.0,0.0
Shrew_office_Lin,1.6311014917639518e-28,1.0,0.0,0.0
Shrew_office_Kenneth,1.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,1.0,0.0
Mouse_health_Modesto,3.5211636607843185e-99,0.0,0.0,1.0
Mouse_lodging_Vicente,1.0,0.0,0.0,0.0
Mouse_health_Justin,4.8447673777663506e-80,0.0,0.0,1.0
Mouse_health_Ileana,1.0,0.0,0.0,0.0
Mouse_health_Estela,1.1042307721314724e-35,1.0,0.0,0.0
Mouse_science_Micheal,0.0,0.0,1.0,0.0
