,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39
Robin_public_Carolina,1.0208255645705615e-144,0.0,0.0,2.0330020898740817e-76,0.0,0.0,0.0,0.0,0.0,2.381036683343987e-214,3.1257797804889722e-80,3.4369600628105654e-121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3684387195282407e-289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2352229239516111e-130,1.657375376039091e-141,0.0,0.0,0.0,0.0,7.587826104862941e-82,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,7.191147454866576e-83,0.0,0.0,6.882044528483414e-256,0.0,0.0,0.0,0.0,0.0,1.0,2.1710264617014207e-23,4.698534891248981e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.440758175e-315,0.0,2.2863878631212926e-294,0.0,0.0,0.0,0.0,0.0,0.0,2.02241359523552e-55,1.3525919648825408e-33,0.0,0.0,0.0,0.0,3.4326155749215144e-41,0.0,0.0,0.0,0.0
Robin_education_Zenia,1.795562757245999e-85,0.0,0.0,2.8995218406647607e-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0571198480211913e-13,1.6716226632005144e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1902356017412434e-60,0.0,0.999999999899301,0.0,0.0,0.0,0.0,0.0,0.0,7.690600934464796e-47,9.987124093498477e-64,0.0,0.0,0.0,0.0,1.0059324556460499e-10,0.0,0.0,0.0,0.0
Robin_office_Dina,4.640072200023113e-36,0.0,0.0,3.442514501142655e-105,0.0,0.0,0.0,0.0,0.0,0.0,2.6314413280001807e-06,0.999495134398234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.676826403661114e-125,0.0,3.767687837505503e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.8049481743794294e-30,1.526916335268133e-30,0.0,0.0,0.0,0.0,0.0005022303927500534,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,1.1069927549285877e-237,0.0,0.0,0.0,0.0,0.0,0.0,5.873096675930844e-194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4330779440958765e-295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.611993331225594e-297,0.0,0.0,0.0,0.0,3.6527380684342235e-135,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1464336071486124e-199,0.0,0.0,0.0,0.0,0.0,0.0,7e-323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,3.193757768550996e-143,0.0,0.0,3.004638908852277e-148,0.0,0.0,0.0,0.0,0.0,0.0,3.575257350937576e-66,6.46780861704489e-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.173426273575906e-143,0.0,3.21876716064147e-227,0.0,0.0,0.0,0.0,0.0,1.0,9.400300137721909e-177,6.726298204961919e-90,0.0,0.0,0.0,0.0,3.255456595440538e-69,0.0,0.0,0.0,0.0
Robin_education_Mercedes,1.333950227504822e-158,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.301815159610297e-37,4.0141185357948345e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5452245374186845e-100,0.0,6.823865621636361e-43,0.0,0.0,0.0,0.0,0.0,0.0,9.629649064768068e-150,3.789164097292345e-65,0.0,0.0,0.0,0.0,1.2262074265889993e-16,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,7.748416406309314e-212,1.0,0.0,0.0,0.0,0.0,0.0,5.724355581552463e-197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.945608081373193e-126,0.0,0.0,0.0,0.0
