,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40
Robin_public_Carolina,0.0,4.0510986616340723e-81,0.0,0.0,0.0,0.0,5.861946205036099e-84,0.0,2.633206656143387e-130,0.0,0.0,0.0,1.0207987936167007e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.780136863104451e-86,0.0,0.0,0.0,0.0,0.0,0.0,4.4641662465801326e-80,0.0,0.0,9.013001171936086e-269,0.0,0.0,0.0,0.0,7.972564582326143e-98,0.0
Robin_lodging_Dorthy,0.0,1.0303587150720655e-33,0.0,0.0,0.0,1.5657702570516636e-63,0.0,0.0,1.8089022464913e-311,0.0,0.0,0.0,1.4274119360080318e-78,0.0,0.0,0.0,0.0,0.0,0.0,4.511159999079299e-290,0.0,8.106287781299067e-163,0.0,0.0,4.3320029736612153e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.9437466112429474e-130,0.0,0.0,0.0,0.0,5.127272361713537e-59,0.0
Robin_education_Zenia,0.0,6.818126007691695e-11,0.0,0.0,0.0,7.51845423460653e-201,7.190394029170309e-194,0.0,4.922184800561165e-55,0.0,0.0,0.0,1.7955791929213825e-85,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999931819,0.0,0.0,0.0,0.0,1.1829859031979708e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.2488939317998452e-47,0.0,0.0,7.773087094847803e-36,0.0,0.0,0.0,0.0,6.289865252234904e-52,0.0
Robin_office_Dina,0.0,0.9999995254812795,0.0,0.0,0.0,3.0454950631317364e-63,4.1379198642282594e-194,0.0,1.8118982825599616e-92,0.0,0.0,0.0,2.0272872544873113e-36,0.0,0.0,0.0,0.0,0.0,0.0,1.6455911279480837e-09,0.0,4.747504347596763e-69,0.0,0.0,4.712229840275265e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.4481111432829708e-32,0.0,0.0,1.5570024621177903e-09,0.0,0.0,0.0,0.0,9.314333536159021e-11,0.0
Robin_education_Derick,0.0,8.481998157271746e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.423315906337979e-295,0.0,0.0,0.0,0.0,1.0168072799073874e-158,0.0,1.0,0.0,0.0,0.0,0.0,1.514989679532004e-189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5289397584744026e-271,0.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.140356272985584e-199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,1.280110455425246e-56,0.0,0.0,0.0,0.0,8.107264118497005e-304,0.0,6.849055612068842e-205,0.0,0.0,0.0,3.1938040851328906e-143,0.0,0.0,0.0,0.0,0.0,0.0,3.20577051260407e-227,0.0,0.0,0.0,0.0,7.176176140402182e-96,0.0,0.0,0.0,0.0,0.0,0.0,1.482210512577374e-102,0.0,0.0,3.227291252424148e-118,0.0,0.0,1.0,0.0,4.124225501955769e-164,0.0
Robin_education_Mercedes,0.0,5.2296161321605774e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.001111655898773e-161,0.0,0.0,0.0,0.0,0.0,0.0,4.089966958500422e-45,0.0,0.0,0.0,0.0,3.069124622083069e-47,0.0,0.0,0.0,0.0,0.0,0.0,1.7940756995294407e-69,0.0,0.0,3.50010802192159e-81,0.0,0.0,0.0,0.0,5.512989695327128e-27,0.0
Robin_education_Julius,0.0,2.1311403961619505e-159,0.0,0.0,0.0,0.0,2.5042234198023514e-235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5461786894060293e-142,0.0,0.0,0.0,1.0,0.0,0.0,6.653449277473319e-189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.562972423455965e-136,0.0
Robin_education_Lashandra,0.0,2.3532026785540418e-95,0.0,0.0,0.0,0.0,0.0,0.0,2.709169700165375e-151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5292150080239325e-113,0.0,0.0,0.0,0.0,3.6864947209727015e-117,0.0,0.0,0.0,0.0,1.0,0.0,7.731360217258887e-130,0.0,0.0,7.177274988477375e-257,0.0,0.0,0.0,0.0,8.699625806325898e-84,0.0
Robin_education_Lizbeth,0.0,1.3472521192882522e-51,0.0,0.0,0.0,2.3682831053679425e-65,5.346651428519846e-287,0.0,7.1639767295491225e-180,0.0,0.0,0.0,2.4668561273856774e-69,0.0,0.0,0.0,0.0,0.0,0.0,7.623240126403414e-82,0.0,0.0,0.0,0.0,3.792138925074308e-52,0.0,0.0,0.0,0.0,0.0,0.0,5.860931985971786e-70,0.0,0.0,5.033830643951447e-66,0.0,0.0,0.0,1.0,3.23506137503847e-56,0.0
Robin_office_Gayle,0.0,1.176872297185227e-06,0.0,0.0,0.0,1.5468374807589743e-25,0.0,0.0,1.3384983870895613e-63,0.0,0.0,0.0,5.113611257393251e-28,0.0,0.0,0.0,0.0,0.0,0.0,9.955891434555858e-30,0.0,3.3855607620351466e-240,0.0,0.0,0.9999988231276882,0.0,0.0,0.0,0.0,0.0,0.0,6.254438295634425e-25,0.0,0.0,1.3700017006683865e-14,0.0,0.0,0.0,0.0,2.6723481699456565e-26,0.0
Robin_office_Shirlene,0.0,1.268993548794373e-13,0.0,0.0,0.0,1.6181558267341715e-49,2.5243177715678873e-87,0.0,9.552302820106169e-85,0.0,0.0,0.0,1.2141929177920052e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0209598318011328e-134,0.0,5.7667552842912876e-180,0.0,0.0,0.999999999996902,0.0,0.0,0.0,0.0,0.0,0.0,2.971034603397105e-12,0.0,0.0,4.987367955190138e-56,0.0,0.0,0.0,0.0,3.541513370412817e-26,0.0
Robin_education_Madeline,0.0,3.237337891366763e-69,0.0,0.0,0.0,0.0,0.0,0.0,1.9251099496869164e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.471442324329668e-81,0.0,0.0,0.0,0.0,7.84855609861108e-89,0.0,0.0,0.0,0.0,0.0,0.0,5.1790372022320253e-113,0.0,0.0,4.2555101656567663e-187,0.0,1.0,0.0,0.0,1.1504537967122133e-58,0.0
Robin_lodging_Phillip,0.0,3.830904103148516e-15,0.0,0.0,0.0,1.6233363539668242e-44,0.0,0.0,3.3253614862483056e-142,0.0,0.0,0.0,0.9999999999963447,0.0,0.0,0.0,0.0,0.0,0.0,8.145303506425883e-29,0.0,5.608707810266753e-228,0.0,0.0,5.777765203308855e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.0643408873799835e-15,0.0,0.0,6.11286578910487e-30,0.0,0.0,0.0,0.0,3.5887155966923664e-12,0.0
Robin_education_Jasper,0.0,8.020501553553482e-13,0.0,0.0,0.0,4.181317716298132e-174,0.0,0.0,8.432343076342646e-49,0.0,0.0,0.0,6.224496353723542e-95,0.0,0.0,0.0,0.0,0.0,0.0,5.490624036837871e-10,0.0,0.0,0.0,0.0,1.5169465197582309e-15,0.0,0.0,0.0,0.0,0.0,0.0,5.902440202379047e-41,0.0,0.0,7.721216594720282e-56,0.0,0.0,0.0,0.0,0.9999999994501341,0.0
Robin_office_Wai,0.0,2.2770547939868964e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7187436656144724e-147,0.0,0.0,0.0,0.0,0.0,0.0,3.53596332660865e-135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.105257066967071e-174,0.0
Robin_education_Terrance,0.0,2.0413326991583864e-96,0.0,0.0,0.0,0.0,0.0,0.0,1.8250284117690945e-226,0.0,0.0,0.0,5.021713391758859e-293,0.0,0.0,0.0,0.0,0.0,0.0,6.046625272453879e-137,0.0,0.0,1.0,0.0,1.4144502472392165e-155,0.0,0.0,0.0,0.0,0.0,0.0,2.738520700983561e-115,0.0,0.0,2.7027567502219753e-194,0.0,0.0,0.0,0.0,4.4107061179843455e-263,0.0
Robin_lodging_Elmer,0.0,1.0793107428610454e-36,0.0,0.0,0.0,2.1153362504832233e-239,0.0,0.0,1.8757744819388606e-163,0.0,0.0,0.0,1.6268153144820565e-83,0.0,0.0,0.0,0.0,0.0,0.0,2.1494786137949267e-295,0.0,0.0,0.0,0.0,4.526137811730481e-25,1.0,0.0,0.0,0.0,0.0,0.0,1.9240107467145966e-18,0.0,0.0,1.0051182424980756e-132,0.0,0.0,0.0,0.0,6.338020539849542e-54,0.0
Robin_office_Addie,0.0,0.010116288406484146,0.0,0.0,0.0,4.776824271986255e-131,0.0,0.0,5.487162691533693e-116,0.0,0.0,0.0,2.688009233450174e-27,0.0,0.0,0.0,0.0,0.0,0.0,2.3638717183840578e-18,0.0,2.050332967457383e-29,0.0,0.0,1.2966299862743196e-12,0.0,0.0,0.0,0.0,0.0,0.0,8.248073013905322e-38,0.0,0.0,0.9898837115870152,0.0,0.0,0.0,0.0,5.203954005377295e-12,0.0
