,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41
Robin_public_Carolina,0.0,2.6406417056943827e-279,0.0,5.86406960015416e-67,0.0,0.0,0.0,0.0,0.0,0.0,2.549995004472598e-108,0.0,0.0,2.381036683343987e-214,0.0,0.0,1.3684387195282407e-289,0.0,0.0,0.0,0.0,0.0,0.0,1.4786361763784437e-80,1.631084846232423e-114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2280427070965198e-169,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,9.994194330475717e-18,0.0,0.0,0.0,0.0,0.0,0.0,8.359105223518551e-47,0.0,0.0,1.0,0.0,0.0,1.440758175e-315,0.0,0.0,0.0,0.0,0.0,0.0,8.739417491823712e-39,1.4929034575121162e-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2046237115028096e-204
Robin_education_Zenia,0.0,6.560442527578104e-253,0.0,3.357030740453219e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.3825758376881437e-11,0.0,0.0,0.0,0.0,0.0,9.591489289966821e-59,0.0,0.0,0.0,0.0,0.0,0.0,1.3924566175855406e-38,0.9999999999526041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.767375118478116e-99,0.0,1.5867612762380234e-69
Robin_office_Dina,0.0,0.0,0.0,3.8020177480733014e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9999996197981058,0.0,0.0,0.0,0.0,0.0,1.1692623957804948e-126,0.0,0.0,0.0,0.0,0.0,0.0,1.0291932391822135e-13,1.6512052746237422e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.092394582007541e-22
Robin_education_Derick,0.0,0.0,0.0,6.365001797655744e-132,0.0,0.0,0.0,0.0,0.0,0.0,9.311621249477233e-177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5670283716222375e-235,2.3483837172975997e-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3769857891326753e-244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,4.161992890292093e-68,0.0,0.0,0.0,0.0,0.0,0.0,5.3333353879360566e-79,0.0,0.0,0.0,0.0,0.0,4.173426273575906e-143,0.0,0.0,0.0,0.0,0.0,0.0,7.158461108145766e-131,1.5409229315843631e-59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53148e-318,0.0,3.583839932440129e-163
Robin_education_Mercedes,0.0,2.2176604960107903e-183,0.0,4.4430629911563923e-32,0.0,0.0,0.0,0.0,0.0,0.0,1.3934517012846676e-45,0.0,0.0,0.0,0.0,0.0,7.34629568821071e-102,0.0,0.0,0.0,0.0,0.0,0.0,2.2757055273370828e-61,1.768090624581168e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.417173940311056e-167
Robin_education_Julius,0.0,0.0,0.0,1.9488117865584084e-126,0.0,0.0,1.0,0.0,0.0,0.0,2.6622051609964065e-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.621197251465004e-181,2.1601864798877397e-273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
