,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42
Robin_public_Carolina,0.0,0.0,0.0,0.0,0.0,2.6406417051741252e-279,0.0,0.0,0.0,0.0,0.0,0.0,2.0701466310284568e-290,0.0,0.0,0.0,1.2559228569198804e-129,0.0,0.0,0.0,1.0,1.2897098476552576e-70,0.0,0.0,0.0,0.0,1.6884049667058333e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.381036683343987e-214,0.0,0.0,0.0,0.0,7.112210930354479e-175,0.0,0.0
Robin_lodging_Dorthy,0.0,4.6079487910416075e-293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4777193351301296e-98,0.0,0.0,0.0,5.222841147760791e-59,0.0,0.0,0.0,0.0,7.114255961864284e-17,0.0,0.0,0.0,0.0,8.79313220652668e-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.3840803141063517e-93,0.0,0.0
Robin_education_Zenia,0.0,2.9325633791644027e-58,0.0,0.0,0.0,6.978774775165734e-253,0.0,0.0,0.0,0.0,0.0,0.0,2.733155954102462e-62,0.0,0.0,0.0,0.9999999999998996,0.0,0.0,0.0,0.0,1.0014456066043983e-13,0.0,0.0,0.0,0.0,1.160771848851126e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.405985806914845e-142,0.0,0.0
Robin_office_Dina,0.0,0.9997061935161374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.203058540842651e-38,0.0,0.0,0.0,0.00029011213278043305,0.0,0.0,0.0,0.0,3.6936052672741746e-06,0.0,0.0,0.0,0.0,7.458150657035385e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1462233058772e-35,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7414786601256809e-277,0.0,0.0,0.0,2.3160083196115948e-116,0.0,0.0,0.0,0.0,6.752134396161195e-128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.266421151383089e-191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.433890396652679e-308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,1.2950374647500765e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.279954806102113e-151,0.0,0.0,0.0,1.6983437124534894e-67,0.0,0.0,0.0,0.0,2.757969208390644e-72,0.0,0.0,0.0,0.0,6.499263474781001e-79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.664838512788724e-285,0.0,0.0
Robin_education_Mercedes,0.0,6.277410713878584e-167,0.0,0.0,0.0,1.1665949406376474e-186,0.0,0.0,0.0,0.0,0.0,0.0,2.11191730037595e-168,0.0,0.0,0.0,2.133134036031763e-23,0.0,0.0,0.0,0.0,1.7486838676139624e-36,0.0,0.0,0.0,0.0,8.998665967889485e-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.417130389002793e-184,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.564270117856581e-134,0.0,0.0,0.0,0.0,2.8996013965436824e-128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
