,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43
Robin_public_Carolina,0.0,0.0,0.0,1.3684387195282407e-289,0.0,0.0,0.0,1.2280427070965198e-169,0.0,0.0,0.0,5.022379465367136e-197,0.0,0.0,0.0,3.877476880939459e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.381036683343987e-214,0.0,0.0,0.0,0.0,1.315044207889319e-70,0.0,0.0,0.0,0.0,2.640641705659859e-279,0.0,0.0,2.356908284080146e-193,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,1.440758175e-315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04937767029404e-62,0.0,0.0,0.0,5.655946624013893e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.112926083378013e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1626186319886306e-129,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,1.5551071898074517e-88,0.0,0.0,0.0,1.4214902055665072e-128,0.0,0.0,0.0,4.150212406580377e-65,0.0,0.0,0.0,1.380862973363716e-53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5323059421384311e-43,0.0,0.0,0.0,0.0,1.063671243790463e-282,0.0,0.0,4.301414364050933e-57,0.0,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.0,8.048018476854724e-125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999352141568921,0.0,0.0,0.0,7.73631026969675e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.933172775969743e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5454115270551403e-05,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2502829511597075e-176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.944400581602742e-128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.377254393356803e-234,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,4.173426273575906e-143,0.0,0.0,0.0,5.53148e-318,0.0,0.0,0.0,3.7029172947770427e-90,0.0,0.0,0.0,8.949800659749558e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.817607852819405e-72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4550916745597076e-160,1.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,7.34629568821071e-102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.471592368837455e-107,0.0,0.0,0.0,7.664195357779752e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.374944835204038e-33,0.0,0.0,0.0,0.0,2.2176604960092777e-183,0.0,0.0,1.6584216171266957e-48,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9839851265266616e-181,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.975107762545323e-128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4285531310406144e-207,0.0,0.0,0.0,0.0,0.0
