,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44
Robin_public_Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.468396111077739e-76,0.0,0.0,0.0,3.877962059643231e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.467141077423094e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.861946204995946e-84,0.0,0.0,8.115337192914415e-98,7.677202407890646e-170,5.239169240402944e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.224361219804031e-283,0.0,0.0,0.0,2.493098233429696e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2750613559079426e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034042431151571e-89,1.7050415655455675e-102,1.9345650435420625e-50,1.0,3.476931657351139e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2724818018464705e-59,0.0,0.0,0.0,1.3807728241300187e-53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.545789120800538e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.394502044627143e-222,0.0,0.0,2.5581031147517074e-80,4.950097353569525e-60,3.461733823282805e-45,0.0,9.823074464688636e-229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.653665266150458e-83,0.0,0.0,0.0,5.034041752230746e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999969268310274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.125719566756999e-196,0.0,0.0,1.0075301907103628e-12,3.07312554733243e-06,4.2417414566791065e-11,0.0,3.7725101981901182e-65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3466037809165837e-237,0.0,0.0,0.0,3.251220858162114e-176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.947087225271758e-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.625738907402539e-273,0.0,2.3591133590735475e-199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.974741315141088e-129,0.0,0.0,0.0,8.948034508403946e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.514031736255517e-107,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.10726411824262e-304,0.0,0.0,3.011582320672917e-165,3.288304293860067e-90,1.2748480880066595e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.662065572893404e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3124982711263537e-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.606597332597456e-26,3.1090453894727416e-89,9.936549746905072e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.60497230284177e-233,0.0,0.0,0.0,1.9849804824967098e-181,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.154955358544976e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.504223419689327e-235,0.0,0.0,3.3273631016701693e-136,0.0,4.112218079868562e-199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.377080711450739e-120,0.0,0.0,0.0,2.8862900432770063e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6210297622844085e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123402880220317e-84,8.55236681915152e-283,1.678064366827208e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.600363654938431e-93,0.0,0.0,0.0,0.9999999999999183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.321005369282029e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6376345634720396e-255,0.0,0.0,1.722421035337535e-24,8.218182997037663e-14,3.2258354951484976e-38,0.0,1.6112783514124824e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.504769265024165e-103,0.0,0.0,0.0,1.5561825347408122e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091539811432525e-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4247363473321823e-57,1.0425991210099282e-48,9.068182856311955e-35,0.0,2.9474284651057173e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1054518482547126e-102,0.0,0.0,0.0,3.671325086685026e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.853287183877273e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.776943071873726e-118,0.0,0.0,6.297035732076802e-57,3.6713839785555086e-57,1.2422166513962477e-34,0.0,3.0621469689044585e-80,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05662153337824e-64,0.0,0.0,0.0,3.381215235833095e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0582188804869592e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0724373095029267e-58,1.0630766692977491e-184,3.6900704285498995e-114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.018574329799231e-112,0.0,0.0,0.0,0.9999999999320206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9569494621460187e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.761013660325628e-11,3.6956994848751033e-13,2.686195656283792e-23,0.0,3.161467210468821e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9344984026179693e-32,0.0,0.0,0.0,4.027120844101509e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.302194232028104e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.077551556219459e-35,2.3374472103682735e-24,0.0,4.182431537446101e-174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
