,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44,Cluster_45,Cluster_46
Robin_public_Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.121409113061329e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.845175135729826e-81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.640641705659859e-279,1.0208030868346777e-144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0297947539986432e-89,3.4769316581189733e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.588551963125704e-50,0.0,9.89e-321,0.0,0.0,0.0,0.0,0.0,0.0,5.270902527753162e-231,0.0,0.0,0.0,0.0,3.169702539446501e-109,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8633955941249725e-52,7.51838818554006e-201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.241237296640108e-14,0.0,0.9999999999999276,0.0,0.0,0.0,0.0,0.0,0.0,1.961142821173476e-71,0.0,0.0,0.0,8.141130691199522e-255,1.7955704629664535e-85,0.0,0.0,1.331410585220467e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4627455690544383e-13,1.6806273379056302e-65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.821217800806438e-09,0.0,9.074737389488493e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.4136988756485992e-22,0.0,0.0,0.0,0.0,1.1187391288194378e-38,0.0,0.0,0.9999999961692612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.369463112992011e-273,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8969643339519828e-207,0.0,1.4040878688650018e-295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.128440649517519e-199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69524966842925e-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.617049298736992e-66,0.0,3.17891075391589e-227,0.0,0.0,0.0,0.0,0.0,0.0,3.5662429969882745e-163,0.0,0.0,0.0,0.0,3.193792030068092e-143,0.0,0.0,5.382882257370953e-271,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.137773337643726e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.576736459351039e-43,0.0,1.7027418525136797e-47,0.0,0.0,0.0,0.0,0.0,0.0,1.778892839319086e-170,0.0,0.0,0.0,1.1665949405669574e-186,3.3360268534680336e-163,0.0,0.0,1.1137118177781341e-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2829846487219032e-136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4152584435293254e-211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
