,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29,Cluster_30,Cluster_31,Cluster_32,Cluster_33,Cluster_34,Cluster_35,Cluster_36,Cluster_37,Cluster_38,Cluster_39,Cluster_40,Cluster_41,Cluster_42,Cluster_43,Cluster_44,Cluster_45,Cluster_46,Cluster_47
Robin_public_Carolina,0.0,0.0,0.0,8.115327041664369e-98,0.0,0.0,0.0,0.0,7.873994362722725e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3038609835794822e-148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.640641705659859e-279,0.0,0.0,0.0,2.5801013067739707e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,1.034052822720142e-89,0.0,0.0,0.0,0.0,5.595091730288949e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6167415134956932e-59,0.0,0.0,0.0,0.0,0.0,1.1695587979061084e-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4769316579244947e-94,0.0,0.0,0.0,0.0,1.331080140502194e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robin_education_Zenia,0.0,0.0,0.0,2.5584198863113387e-80,0.0,0.0,0.0,0.0,9.470186847752315e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.273392795121695e-67,0.0,0.0,0.0,0.0,0.0,4.172219998149013e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.823074476375469e-229,1.063671243790463e-282,0.0,0.0,0.0,7.541014102362373e-39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Robin_office_Dina,0.0,0.0,0.0,1.009228715796203e-12,0.0,0.0,0.0,0.0,8.60047465724801e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0098510262186283e-15,0.0,0.0,0.0,0.0,0.0,8.124135184363146e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.778816211921995e-65,0.0,0.0,0.0,0.0,0.999999991398514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,1.0,0.0,8.629132662166585e-273,0.0,0.0,0.0,0.0,2.0120207955914603e-207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.917697487996769e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.107446702171128e-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Della,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,3.012419485773079e-165,0.0,0.0,0.0,0.0,2.620512646293099e-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9035501196287594e-69,0.0,0.0,0.0,0.0,0.0,2.6014694235279143e-124,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5486220389597814e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,0.0,0.0,2.1440757065687313e-29,0.0,0.0,0.0,0.0,3.600987051793777e-43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.723953973208605e-98,0.0,0.0,0.0,0.0,0.0,1.2339636173412235e-166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1665949405669574e-186,0.0,0.0,0.0,6.0963272197680515e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Julius,0.0,0.0,0.0,3.3274715785716895e-136,0.0,0.0,0.0,0.0,1.5084055138834164e-211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042944633193123e-276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.400997925478776e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
