,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4
Robin_public_Carolina,0.9999999999999982,0.0,1.015648233226461e-15,0.0,0.0
Robin_lodging_Dorthy,2.7480830348743573e-75,0.0,1.0,0.0,0.0
Robin_education_Zenia,0.9235889284877166,0.0,0.0764110715122825,0.0,0.0
Robin_office_Dina,3.842362599534224e-22,0.0,1.0,0.0,0.0
Robin_education_Derick,3.984020863595887e-75,0.0,8.996159384234415e-102,0.0,1.0
Robin_education_Della,0.0,0.0,0.0,1.0,0.0
Robin_education_Leslie,0.0,1.0,1.1654463450855133e-192,0.0,0.0
Robin_office_Sammie,1.5831387879472325e-21,0.0,1.0,0.0,0.0
Robin_education_Mercedes,0.9999999999999876,0.0,1.3123212042347993e-14,0.0,0.0
Robin_education_Julius,6.585612047285801e-71,1.0,1.630302106891923e-175,0.0,0.0
Robin_education_Lashandra,2.6433127186977414e-49,0.0,1.1436417235830413e-35,0.0,1.0
Robin_education_Lizbeth,2.623378703136765e-20,0.0,1.0,0.0,0.0
Robin_office_Gayle,8.339275696312957e-16,0.0,1.0,0.0,0.0
Robin_office_Shirlene,2.1414654914721075e-36,0.0,1.0,0.0,0.0
Robin_education_Madeline,1.0,0.0,2.934748513672437e-24,0.0,0.0
Robin_lodging_Phillip,2.1338772857104857e-07,0.0,0.9999997866122708,0.0,0.0
Robin_education_Jasper,0.8415139580598562,0.0,0.15848604194014387,0.0,0.0
Robin_office_Wai,1.1952170106724462e-145,1.0,1.1453961906981919e-168,0.0,0.0
Robin_education_Terrance,1.0,0.0,3.478677314014839e-54,0.0,0.0
Robin_lodging_Elmer,3.5386713052590384e-30,0.0,1.0,0.0,0.0
Robin_office_Addie,3.0589277673641833e-20,0.0,1.0,0.0,0.0
Robin_education_Cecilia,7.894749692619914e-15,0.0,0.9999999999999929,0.0,0.0
Robin_education_Kiera,9.619306617929251e-12,0.0,0.999999999990381,0.0,0.0
Robin_lodging_Pricilla,2.0033293667874722e-32,0.0,1.0,0.0,0.0
Robin_education_So,1.609137806032046e-45,0.0,5.11057439912942e-46,0.0,1.0
Robin_office_Maryann,0.999999999999373,0.0,6.277634012630174e-13,0.0,0.0
Robin_office_Serena,4.288105233181341e-43,0.0,1.0,0.0,0.0
Robin_education_Derrick,2.620551711015718e-66,0.0,1.1254215476450929e-38,0.0,1.0
Robin_education_Megan,0.9999999999999076,0.0,9.247319170678592e-14,0.0,0.0
Robin_office_Adolph,2.6656775287724332e-24,0.0,1.0,0.0,0.0
Robin_office_Lindsay,5.87206638714241e-14,0.0,0.9999999999999414,0.0,0.0
Robin_education_Takako,0.9999974366162184,0.0,2.563383780978521e-06,0.0,0.0
Robin_lodging_Oliva,3.5461647345140564e-39,0.0,1.0,0.0,0.0
Robin_office_Victor,2.933604202969956e-24,0.0,1.0,0.0,0.0
Robin_education_Margarito,1.904288893307114e-20,0.0,4.663036318345062e-58,0.0,1.0
Robin_public_Cami,5.43934914625535e-38,0.0,1.0,0.0,0.0
Robin_education_Kristopher,2.4618763028681415e-09,0.0,0.999999997538124,0.0,0.0
Robin_education_Billi,9.566550044846943e-81,0.0,1.0,0.0,0.0
Robin_lodging_Celia,1.3109816443929905e-43,0.0,1.0,0.0,0.0
Robin_office_Donald,0.9999996877711589,0.0,3.122288414661407e-07,0.0,0.0
Robin_assembly_Colleen,1.0736356040857393e-38,0.0,1.0,0.0,0.0
Robin_office_Soledad,2.321430698019889e-56,0.0,1.0,0.0,0.0
Robin_education_Audrea,1.0,0.0,2.1812206441017857e-16,0.0,0.0
Robin_office_Saul,1.4259671979340366e-19,0.0,1.0,0.0,0.0
Robin_lodging_Donna,9.207508650300352e-15,0.0,0.9999999999999911,0.0,0.0
Robin_office_Antonina,9.338858614531733e-38,0.0,3.680910165801298e-77,0.0,1.0
Robin_office_Erma,3.913654629785857e-212,0.0,1.0,0.0,0.0
Robin_office_Zelma,6.321457857046153e-11,0.0,0.9999999999367866,0.0,0.0
Robin_lodging_Renea,3.645195687822632e-07,0.0,0.9999996354804306,0.0,0.0
Robin_lodging_Armand,4.881451954441761e-09,0.0,0.9999999951185483,0.0,0.0
Robin_education_Karyl,3.745776095522247e-21,0.0,1.0,0.0,0.0
Robin_lodging_Janie,1.0,0.0,7.739806259887297e-35,0.0,0.0
Shrew_office_Sherill,1.8635201390025906e-139,1.0,0.0,0.0,0.0
Shrew_office_Rose,5.6193310932221e-45,0.0,1.0,0.0,0.0
Shrew_office_Nora,1.0,0.0,2.412941983973115e-62,0.0,0.0
Shrew_office_Katherine,2.9566141465058227e-218,0.0,1.0,0.0,0.0
Shrew_office_Ila,1.0,0.0,2.354657969617247e-16,0.0,0.0
Shrew_office_Doug,0.01637818292994405,0.0,0.9836218170700554,0.0,0.0
Shrew_office_Doris,1.0,0.0,2.382305668603367e-43,0.0,0.0
Shrew_office_Lin,2.4582503854288377e-29,0.0,4.3300523418406255e-132,0.0,1.0
Shrew_office_Kenneth,8.764623115240575e-48,0.0,1.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,0.0,1.0,0.0
Mouse_health_Modesto,0.0,1.0,3.5e-323,0.0,0.0
Mouse_lodging_Vicente,1.6611446215224705e-36,0.0,1.0,0.0,0.0
Mouse_health_Justin,0.0,0.0,6.452749758747276e-234,0.0,1.0
Mouse_health_Ileana,4.3879969829145664e-32,0.0,1.0,0.0,0.0
Mouse_health_Estela,3.8751569500988197e-122,1.0,1.4214080949692668e-66,0.0,0.0
Mouse_science_Micheal,0.0,0.0,0.0,1.0,0.0
