,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5
Robin_public_Carolina,0.0,6.466616702420029e-15,0.0,0.0,0.9999999999999938,0.0
Robin_lodging_Dorthy,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Zenia,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Dina,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Derick,0.0,9.588148299624202e-92,0.0,0.0,0.0,1.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,2.5700701035322283e-192,0.0,1.0,0.0,0.0
Robin_office_Sammie,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Mercedes,0.0,2.0378220887577303e-16,0.0,0.0,1.0,0.0
Robin_education_Julius,1.0,1.7730450914447434e-171,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,1.0231318631959607e-31,0.0,0.0,0.0,1.0
Robin_education_Lizbeth,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Gayle,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Shirlene,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Madeline,0.0,4.2121044221422935e-23,0.0,0.0,1.0,0.0
Robin_lodging_Phillip,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Jasper,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Wai,1.0,8.565536658108333e-155,0.0,0.0,0.0,0.0
Robin_education_Terrance,0.0,3.231845603356425e-56,0.0,0.0,1.0,0.0
Robin_lodging_Elmer,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Addie,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Cecilia,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Kiera,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Pricilla,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_So,0.0,5.521909208659426e-38,0.0,0.0,0.0,1.0
Robin_office_Maryann,0.0,1.6542463286021836e-14,0.0,0.0,0.9999999999999836,0.0
Robin_office_Serena,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Derrick,0.0,6.965748731673939e-37,0.0,0.0,0.0,1.0
Robin_education_Megan,0.0,1.1068859981716868e-14,0.0,0.0,0.9999999999999889,0.0
Robin_office_Adolph,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Lindsay,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Takako,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Oliva,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Victor,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Margarito,0.0,5.002441089729468e-43,0.0,0.0,0.0,1.0
Robin_public_Cami,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Kristopher,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Billi,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Celia,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Donald,0.0,3.5268106120002615e-09,0.0,0.0,0.9999999964731896,0.0
Robin_assembly_Colleen,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Soledad,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Audrea,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Saul,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Donna,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Antonina,0.0,2.909005524776275e-73,0.0,0.0,0.0,1.0
Robin_office_Erma,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Zelma,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Renea,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Armand,0.0,1.0,0.0,0.0,0.0,0.0
Robin_education_Karyl,0.0,1.0,0.0,0.0,0.0,0.0
Robin_lodging_Janie,0.0,9.966049366624382e-34,0.0,0.0,1.0,0.0
Shrew_office_Sherill,1.0,6.411760679050248e-284,0.0,0.0,0.0,0.0
Shrew_office_Rose,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Nora,0.0,3.0266499853567072e-55,0.0,0.0,1.0,0.0
Shrew_office_Katherine,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Ila,0.0,5.351393447139435e-17,0.0,0.0,1.0,0.0
Shrew_office_Doug,0.0,1.0,0.0,0.0,0.0,0.0
Shrew_office_Doris,0.0,1.93203604889126e-43,0.0,0.0,1.0,0.0
Shrew_office_Lin,1.0,1.6231338558654156e-132,0.0,0.0,0.0,0.0
Shrew_office_Kenneth,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Buddy,0.0,0.0,1.0,0.0,0.0,0.0
Mouse_health_Modesto,0.0,4.211447195160019e-293,0.0,1.0,0.0,0.0
Mouse_lodging_Vicente,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Justin,1.0,4.357163043641213e-194,0.0,0.0,0.0,0.0
Mouse_health_Ileana,0.0,1.0,0.0,0.0,0.0,0.0
Mouse_health_Estela,0.0,4.5784970269378875e-66,0.0,0.0,0.0,1.0
Mouse_science_Micheal,0.0,0.0,1.0,0.0,0.0,0.0
