,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Robin_public_Carolina,0.0,0.0,0.0,4.282682521777667e-261,0.0,0.0,1.0
Robin_lodging_Dorthy,0.0,0.0,0.0,1.0007633236654829e-82,0.0,0.0,1.0
Robin_education_Zenia,0.0,0.0,0.0,0.0002453583420677263,0.0,0.0,0.9997546416579322
Robin_office_Dina,0.0,0.0,0.0,0.9999996150597629,0.0,0.0,3.849402371326357e-07
Robin_education_Derick,0.0,0.0,1.0,0.0,0.0,0.0,7.239619293369324e-106
Robin_education_Della,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,1.0,0.0,5.354e-320
Robin_office_Sammie,0.0,0.0,0.0,7.50970857714765e-144,0.0,0.0,1.0
Robin_education_Mercedes,0.9999999999999956,0.0,0.0,9.908888371985503e-91,0.0,0.0,4.613712227185742e-15
Robin_education_Julius,0.0,0.0,0.0,0.0,0.0,1.0,2.1269232547702696e-115
Robin_education_Lashandra,0.0,0.0,1.0,3.4507499211851776e-263,0.0,0.0,4.944860995694329e-57
Robin_education_Lizbeth,0.0,0.0,0.0,1.15282733916926e-86,0.0,0.0,1.0
Robin_office_Gayle,0.0,0.0,0.0,0.9999900958656235,0.0,0.0,9.904134376502744e-06
Robin_office_Shirlene,0.0,0.0,0.0,2.6656979887589333e-17,0.0,0.0,1.0
Robin_education_Madeline,1.0,0.0,0.0,1.3783260183296074e-136,0.0,0.0,4.813363028206351e-34
Robin_lodging_Phillip,0.0,0.0,0.0,1.3668037284839863e-27,0.0,0.0,1.0
Robin_education_Jasper,0.0,0.0,0.0,1.3598213808665808e-09,0.0,0.0,0.9999999986401793
Robin_office_Wai,0.0,0.0,0.0,0.0,0.0,1.0,1.0868681162589387e-120
Robin_education_Terrance,1.0,0.0,0.0,0.0,0.0,0.0,7.83372562938815e-46
Robin_lodging_Elmer,0.0,0.0,0.0,1.1020911079241736e-184,0.0,0.0,1.0
Robin_office_Addie,0.0,0.0,0.0,1.0,0.0,0.0,7.371097793639278e-18
Robin_education_Cecilia,0.0,0.0,0.0,0.9999999999999578,0.0,0.0,4.22210089239166e-14
Robin_education_Kiera,0.0,0.0,0.0,1.4625982116503283e-08,0.0,0.0,0.9999999853740178
Robin_lodging_Pricilla,0.0,0.0,0.0,8.901404099260995e-105,0.0,0.0,1.0
Robin_education_So,0.0,0.0,1.0,1.031212581621116e-236,0.0,0.0,1.971520214591419e-120
Robin_office_Maryann,1.0,0.0,0.0,2.2330687695872086e-94,0.0,0.0,9.482723880144976e-25
Robin_office_Serena,0.0,0.0,0.0,0.9999999790249225,0.0,0.0,2.0975077512102222e-08
Robin_education_Derrick,0.0,0.0,1.0,4.103161327946674e-150,0.0,0.0,1.8934122085572655e-76
Robin_education_Megan,0.9999999999998921,0.0,0.0,1.5337164759175157e-74,0.0,0.0,1.0796613420446321e-13
Robin_office_Adolph,0.0,0.0,0.0,0.999999999739412,0.0,0.0,2.605882256860548e-10
Robin_office_Lindsay,0.0,0.0,0.0,0.9999632446055005,0.0,0.0,3.675539449922471e-05
Robin_education_Takako,0.0,0.0,0.0,3.958296237673515e-23,0.0,0.0,1.0
Robin_lodging_Oliva,0.0,0.0,0.0,4.8273238758359896e-132,0.0,0.0,1.0
Robin_office_Victor,0.0,0.0,0.0,0.999976159581387,0.0,0.0,2.3840418613493162e-05
Robin_education_Margarito,0.0,0.0,1.0,1.1712821930149537e-269,0.0,0.0,3.48168465617207e-101
Robin_public_Cami,0.0,0.0,0.0,4.6448002612049873e-98,0.0,0.0,1.0
Robin_education_Kristopher,0.0,0.0,0.0,8.026269019238961e-35,0.0,0.0,1.0
Robin_education_Billi,0.0,0.0,0.0,2.723097659746763e-10,0.0,0.0,0.9999999997276898
Robin_lodging_Celia,0.0,0.0,0.0,2.3659892095554317e-151,0.0,0.0,1.0
Robin_office_Donald,0.9999921215811789,0.0,0.0,7.594065451895426e-35,0.0,0.0,7.878418821138218e-06
Robin_assembly_Colleen,0.0,0.0,0.0,2.675724971894351e-126,0.0,0.0,1.0
Robin_office_Soledad,0.0,0.0,0.0,1.0,0.0,0.0,6.507524209949236e-34
Robin_education_Audrea,1.0,0.0,0.0,8.311405375641905e-165,0.0,0.0,1.2810967974441759e-21
Robin_office_Saul,0.0,0.0,0.0,1.0,0.0,0.0,9.073815365478398e-18
Robin_lodging_Donna,0.0,0.0,0.0,2.0110127269057642e-69,0.0,0.0,1.0
Robin_office_Antonina,0.0,0.0,1.0,0.0,0.0,0.0,4.353868358019714e-80
Robin_office_Erma,0.0,0.0,0.0,1.0,0.0,0.0,8.893122955082374e-35
Robin_office_Zelma,0.0,0.0,0.0,6.91120589588192e-44,0.0,0.0,1.0
Robin_lodging_Renea,0.0,0.0,0.0,5.635385537072816e-224,0.0,0.0,1.0
Robin_lodging_Armand,0.0,0.0,0.0,9.540545031697642e-36,0.0,0.0,1.0
Robin_education_Karyl,0.0,0.0,0.0,1.0,0.0,0.0,7.178177185358705e-24
Robin_lodging_Janie,1.0,0.0,0.0,4.553902638982888e-194,0.0,0.0,8.400218914426716e-26
Shrew_office_Sherill,0.0,0.0,0.0,0.0,0.0,1.0,2.290825897557569e-205
Shrew_office_Rose,0.0,0.0,0.0,0.9999999989642454,0.0,0.0,1.035754830736137e-09
Shrew_office_Nora,1.0,0.0,0.0,0.0,0.0,0.0,1.5074110259728677e-52
Shrew_office_Katherine,0.0,0.0,0.0,8.635056649713887e-29,0.0,0.0,1.0
Shrew_office_Ila,0.9999999999956697,0.0,0.0,2.8377156166389915e-98,0.0,0.0,4.330292877208088e-12
Shrew_office_Doug,0.0,0.0,0.0,0.005216353803154497,0.0,0.0,0.9947836461968459
