,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Robin_public_Carolina,0.0,0.0,0.0,1.0,0.0,4.352662769824581e-31,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,1.0,0.0,2.7882752074581766e-57,0.0,0.0
Robin_education_Zenia,0.0,0.0,0.0,1.564389277832156e-44,0.0,1.8469868833401301e-06,0.0,0.9999981530131167
Robin_office_Dina,0.0,0.0,0.0,4.368073595373327e-31,0.0,1.0,0.0,0.0
Robin_education_Derick,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Robin_education_Della,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robin_office_Sammie,0.0,0.0,0.0,2.7773187732904493e-97,0.0,1.0,0.0,0.0
Robin_education_Mercedes,1.0,0.0,0.0,1.7833577351640098e-195,0.0,9.922176767246794e-100,0.0,0.0
Robin_education_Julius,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Lashandra,0.0,0.0,0.0,9.81492724531667e-133,1.0,7.466130480668859e-194,0.0,0.0
Robin_education_Lizbeth,0.0,0.0,0.0,1.3871866929408052e-64,0.0,1.3999928087835328e-71,0.0,1.0
Robin_office_Gayle,0.0,0.0,0.0,2.2029935848960065e-19,0.0,1.0,0.0,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.9999999999998996,0.0,1.0042933618835868e-13,0.0,0.0
Robin_education_Madeline,1.0,0.0,0.0,2.3702205236315102e-230,0.0,1.2815319022626384e-137,0.0,0.0
Robin_lodging_Phillip,0.0,0.0,0.0,7.005097699544104e-40,0.0,2.11097029642356e-33,0.0,1.0
Robin_education_Jasper,0.0,0.0,0.0,4.78996722208382e-18,0.0,1.0080941978416018e-10,0.0,0.9999999998991906
Robin_office_Wai,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Terrance,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_lodging_Elmer,0.0,0.0,0.0,1.0,0.0,8.018859126895368e-110,0.0,0.0
Robin_office_Addie,0.0,0.0,0.0,7.692146360732153e-57,0.0,1.0,0.0,0.0
Robin_education_Cecilia,0.0,0.0,0.0,6.368372452114544e-104,0.0,1.0,0.0,0.0
Robin_education_Kiera,0.0,0.0,0.0,0.9999981872895425,0.0,1.8127104576310905e-06,0.0,0.0
Robin_lodging_Pricilla,0.0,0.0,0.0,1.0,0.0,3.754162190244378e-94,0.0,0.0
Robin_education_So,0.0,0.0,0.0,9.171877310430548e-252,1.0,5.291333176466201e-126,0.0,0.0
Robin_office_Maryann,1.0,0.0,0.0,1.9963444617192667e-78,0.0,1.4110469348771294e-89,0.0,0.0
Robin_office_Serena,0.0,0.0,0.0,2.2736529808463285e-18,0.0,1.0,0.0,0.0
Robin_education_Derrick,0.0,0.0,0.0,4.5937847720522614e-151,1.0,4.3816022639840656e-104,0.0,0.0
Robin_education_Megan,1.0,0.0,0.0,3.532198523387578e-159,0.0,4.3350771238132013e-79,0.0,0.0
Robin_office_Adolph,0.0,0.0,0.0,5.261816215391667e-62,0.0,1.0,0.0,0.0
Robin_office_Lindsay,0.0,0.0,0.0,1.3421651629140382e-49,0.0,1.0,0.0,0.0
Robin_education_Takako,0.0,0.0,0.0,6.748075204242123e-111,0.0,1.0555669007389884e-20,0.0,1.0
Robin_lodging_Oliva,0.0,0.0,0.0,1.0,0.0,1.1146764572345064e-91,0.0,0.0
Robin_office_Victor,0.0,0.0,0.0,1.4301745357071404e-07,0.0,0.9999998569825466,0.0,0.0
Robin_education_Margarito,0.0,0.0,0.0,5.7494e-320,1.0,5.136976760821143e-244,0.0,0.0
Robin_public_Cami,0.0,0.0,0.0,1.0,0.0,2.652616283622596e-59,0.0,0.0
Robin_education_Kristopher,0.0,0.0,0.0,3.0010287013700165e-65,0.0,1.100652144858603e-34,0.0,1.0
Robin_education_Billi,0.0,0.0,0.0,0.9999999967154931,0.0,3.2845072049428113e-09,0.0,0.0
Robin_lodging_Celia,0.0,0.0,0.0,1.0,0.0,7.04184178315644e-86,0.0,0.0
Robin_office_Donald,1.0,0.0,0.0,7.876691875298e-30,0.0,2.3233889500200372e-39,0.0,0.0
Robin_assembly_Colleen,0.0,0.0,0.0,1.0,0.0,4.0193490466319246e-51,0.0,0.0
Robin_office_Soledad,0.0,0.0,0.0,1.1343964612219072e-157,0.0,1.0,0.0,0.0
Robin_education_Audrea,0.0,0.0,0.0,2.4551420741398227e-80,0.0,1.3061459711540661e-152,0.0,1.0
Robin_office_Saul,0.0,0.0,0.0,8.446017964987069e-62,0.0,1.0,0.0,0.0
Robin_lodging_Donna,0.0,0.0,0.0,1.0,0.0,2.341834956305991e-45,0.0,2.252301655981668e-136
