,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Robin_public_Carolina,1.0,0.0,0.0,0.0,0.0,3.7811477067478444e-131,0.0,0.0,0.0
Robin_lodging_Dorthy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.49034606762528e-60,0.0
Robin_education_Zenia,0.0,0.0,0.0,0.0,0.0,4.582169255094679e-11,0.0,0.9999999999541789,0.0
Robin_office_Dina,0.0,0.0,0.0,0.0,0.0,8.899377428528001e-05,0.0,0.9999110062257144,0.0
Robin_education_Derick,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5140597627173057e-165,0.0
Robin_education_Della,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin_education_Leslie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Robin_office_Sammie,1.0,0.0,0.0,0.0,0.0,2.693652765753235e-61,0.0,6.468360356317655e-75,0.0
Robin_education_Mercedes,0.0,0.0,0.0,0.0,0.0,6.816832238694234e-93,1.0,4.299951506848807e-35,0.0
Robin_education_Julius,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.81895574182517e-239,0.0
Robin_education_Lashandra,0.0,0.0,0.0,0.0,0.0,3.143636955770584e-178,0.0,1.8145881398876013e-48,1.0
Robin_education_Lizbeth,0.0,0.0,0.0,0.0,0.0,2.336916699598348e-38,0.0,1.0,0.0
Robin_office_Gayle,0.0,0.0,0.0,0.0,0.0,6.790972423534765e-08,0.0,0.9999999320902756,0.0
Robin_office_Shirlene,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2680357477413076e-120,0.0
Robin_education_Madeline,0.0,0.0,0.0,0.0,0.0,8.162527593870312e-160,0.0,4.468038802381339e-34,1.0
Robin_lodging_Phillip,0.0,0.0,0.0,0.0,0.0,5.96958434759779e-06,0.0,0.9999940304156526,0.0
Robin_education_Jasper,0.0,0.0,0.0,0.0,0.0,1.348784902944153e-13,0.0,0.999999999999865,0.0
Robin_office_Wai,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.7838237754478095e-257,0.0
Robin_education_Terrance,0.0,0.0,0.0,0.0,0.0,4.759080102234084e-210,1.0,6.194010390233694e-51,0.0
Robin_lodging_Elmer,1.0,0.0,0.0,0.0,0.0,9.762270291452391e-33,0.0,1.1314814139435303e-89,0.0
Robin_office_Addie,0.0,0.0,0.0,0.0,0.0,0.00010667516826072614,0.0,0.9998933248317395,0.0
