,label
Robin_public_Carolina,1
Robin_lodging_Dorthy,0
Robin_education_Zenia,1
Robin_office_Dina,8
Robin_education_Derick,5
Robin_education_Della,11
Robin_education_Leslie,14
Robin_office_Sammie,4
Robin_education_Mercedes,10
Robin_education_Julius,12
Robin_education_Lashandra,10
Robin_education_Lizbeth,1
Robin_office_Gayle,8
Robin_office_Shirlene,4
Robin_education_Madeline,5
Robin_lodging_Phillip,13
Robin_education_Jasper,1
Robin_office_Wai,12
Robin_education_Terrance,10
Robin_lodging_Elmer,13
Robin_office_Addie,4
Robin_education_Cecilia,4
Robin_education_Kiera,4
Robin_lodging_Pricilla,13
Robin_education_So,5
Robin_office_Maryann,1
Robin_office_Serena,4
Robin_education_Derrick,5
Robin_education_Megan,10
Robin_office_Adolph,8
Robin_office_Lindsay,11
Robin_education_Takako,1
Robin_lodging_Oliva,13
Robin_office_Victor,4
Robin_education_Margarito,5
Robin_public_Cami,8
Robin_education_Kristopher,1
Robin_education_Billi,0
Robin_lodging_Celia,0
Robin_office_Donald,8
Robin_assembly_Colleen,4
Robin_office_Soledad,8
Robin_education_Audrea,5
Robin_office_Saul,3
Robin_lodging_Donna,13
Robin_office_Antonina,5
Robin_office_Erma,15
Robin_office_Zelma,1
Robin_lodging_Renea,13
Robin_lodging_Armand,13
Robin_education_Karyl,11
Robin_lodging_Janie,13
Shrew_office_Sherill,12
Shrew_office_Rose,4
Shrew_office_Nora,12
Shrew_office_Katherine,9
Shrew_office_Ila,1
Shrew_office_Doug,1
Shrew_office_Doris,12
Shrew_office_Lin,5
Shrew_office_Kenneth,4
Mouse_health_Buddy,6
Mouse_health_Modesto,2
Mouse_lodging_Vicente,8
Mouse_health_Justin,2
Mouse_health_Ileana,4
Mouse_health_Estela,5
Mouse_science_Micheal,7
