timestamp,Robin_public_Carolina,Robin_lodging_Dorthy,Robin_education_Zenia,Robin_office_Dina,Robin_education_Derick,Robin_education_Della,Robin_education_Leslie,Robin_office_Sammie,Robin_education_Mercedes,Robin_education_Julius,Robin_education_Lashandra,Robin_education_Lizbeth,Robin_office_Gayle,Robin_office_Shirlene,Robin_education_Madeline,Robin_lodging_Phillip,Robin_education_Jasper,Robin_office_Wai,Robin_education_Terrance,Robin_lodging_Elmer,Robin_office_Addie,Robin_education_Cecilia,Robin_education_Kiera,Robin_lodging_Pricilla,Robin_education_So,Robin_office_Maryann,Robin_office_Serena,Robin_education_Derrick,Robin_education_Megan,Robin_office_Adolph,Robin_office_Lindsay,Robin_education_Takako,Robin_lodging_Oliva,Robin_office_Victor,Robin_education_Margarito,Robin_public_Cami,Robin_education_Kristopher,Robin_education_Billi,Robin_lodging_Celia,Robin_office_Donald,Robin_assembly_Colleen,Robin_office_Soledad,Robin_education_Audrea,Robin_office_Saul,Robin_lodging_Donna,Robin_office_Antonina,Robin_office_Erma,Robin_office_Zelma,Robin_lodging_Renea,Robin_lodging_Armand,Robin_education_Karyl,Robin_lodging_Janie,Shrew_office_Sherill,Shrew_office_Rose,Shrew_office_Nora,Shrew_office_Katherine,Shrew_office_Ila,Shrew_office_Doug,Shrew_office_Doris,Shrew_office_Lin,Shrew_office_Kenneth,Mouse_health_Buddy,Mouse_health_Modesto,Mouse_lodging_Vicente,Mouse_health_Justin,Mouse_health_Ileana,Mouse_health_Estela,Mouse_science_Micheal
2016/1/1 0:00,36.438,14.3,52.25,13.3776,229,0.3746,324.75,57.75,80.93,117.2,175.1837,46.8,20.648,8.0204,159.6429,26.9,69.3,47.2,134.3,33.1,7.1,16.3061,23.3036,27.2,201.5434,109.8,18.8,167.3922,91.2653,9.435,28.0638,74.9,17.7,15.5,219.2041,12.6071,46.4,9.3,17.6,72.0612,14.25,4.594,86.2283,6.2,8.6786,161.7,5.8,53.102,31.2,16.4553,10.2748,82.5987,107,3.6,48.6,24,58.5,33.2,72.5,142.4,10.4,8.8224,370.087,10,282.9965,26,135,168.2243
2016/1/1 1:00,70.75,27.3,106.25,26.7551,449.5,0.7492,624.75,72,166.359,234.4,350.3673,90.4,41.2959,16.0408,319.2857,53.3,137.3,94.3,267.1,68.5,13.8,32.6122,45.6071,57.2,403.0867,219.4,37.7,334.7844,182.5306,18.8699,56.1276,151.1,37.1,30,438.4082,25.2143,93,17.9,38.2,144.1224,27.5,9.219,172.4567,13,17.3571,319.9,11.6,106.2041,64,32.9107,20.5496,184.2974,214.5,7.8,102.7,49.6,117.2,65.9,145.4,291.3,18.6,17.6449,737.826,30,574.9265,51,265,336.4486
2016/1/1 2:00,74.312,25.7,104.25,26.7551,451.5,0.7492,626.5,66.25,164.868,234.8,350.3673,92,41.2959,16.0408,319.2857,52.5,137.5,94.6,268.7,69.2,13.7,32.6122,45.6071,54.2,403.0867,221.6,37.5,334.7844,182.5306,18.8699,56.1276,150.2,37.8,30,438.4082,25.2143,93.8,18.3,39.4,144.1224,26.75,8.375,172.4567,13,17.3571,317.6,11.5,106.2041,61.4,32.9107,20.5496,179.6974,212,7.7,100.2,48.4,116.5,65.5,146.4,297.1,20,17.6449,729.9255,30,570.278,50,272,336.4486
2016/1/1 3:00,73.438,22.4,107.75,26.7551,445,0.7492,630.25,70,160.867,236.4,350.3673,91,41.2959,16.0408,319.2857,53.2,137.7,95.1,267.7,65.5,13.6,32.6122,45.1071,58.5,403.0867,221.8,37.5,334.7844,182.5306,18.8699,56.1276,148.2,35.1,29.5,438.4082,25.2143,92.9,18.3,38.7,144.1224,25.25,6.781,172.4567,13,17.3571,312.9,11.6,106.2041,61.6,32.9107,20.5496,167.6974,212,6.9,101.6,49.2,114.2,65.7,144.2,301.5,18.8,17.6449,722.262,20,561.147,52,276,336.4486
2016/1/1 4:00,70.313,20.1,104.5,26.7551,464,0.7492,635,68.75,158.851,239.8,350.3673,91.8,41.2959,16.0408,319.2857,50.9,137.4,93.5,267.8,67.7,13.9,32.6122,45.6071,52,403.0867,229.4,37.2,334.7844,182.5306,18.8699,56.1276,149.6,27.5,30,438.4082,25.2143,93.8,16.6,39.7,144.1224,25,6.625,172.4567,13,17.3571,313.1,11.4,106.2041,57.6,32.9107,20.5496,155.2974,220.5,6.8,125,48.6,114.1,65.1,146.2,299.8,19.4,17.6449,719.1665,30,564.3695,50,280,336.4486
2016/1/1 5:00,70.25,18.6,103.75,26.7551,464.5,0.7492,626.5,65.75,162.86,237.6,350.3673,91,41.2959,16.0408,319.2857,47.9,138.9,93,267.3,63.5,13.6,32.6122,45.1071,50.6,403.0867,239.4,37,334.7844,182.5306,18.8699,56.1276,149.8,25.2,29.5,438.4082,25.2143,93.7,15.4,37.6,144.1224,25.25,7.375,172.4567,12.8,17.3571,315.7,11.5,106.2041,56.4,32.9107,20.5496,171.1974,228,7.8,129.1,49.7,114.3,64.8,144.4,296.7,20.6,17.6449,770.966,30,561.3225,52,284,336.4486
2016/1/1 6:00,71.875,17.4,111.75,26.7551,485,0.7492,631.5,82,155.851,247.2,350.3673,89,41.2959,16.0408,319.2857,48,139.7,91.2,262.9,61.3,13.6,32.6122,45.1071,64.5,403.0867,234.5,38,334.7844,182.5306,18.8699,56.1276,152.7,24.3,29.5,438.4082,25.2143,94.7,17,37.4,144.1224,25.25,6.937,172.4567,13,17.3571,323.7,11.4,106.2041,65.5,32.9107,20.5496,164.9974,224,9.1,153.2,49.7,114.9,67,156.4,309.6,21.7,17.6449,759.1425,20,556.044,52,282,336.4486
2016/1/1 7:00,68.25,19.5,120.75,26.7551,492.5,0.7492,685.25,87.5,163.852,281,350.3673,74,41.2959,16.0408,319.2857,47.8,139.3,133.8,269.4,58.8,13.2,32.6122,43.6071,60.3,403.0867,230.2,45.5,334.7844,182.5306,18.8699,56.1276,156.2,25.7,28,438.4082,25.2143,94.1,16.1,37.2,144.1224,27,8.344,172.4567,13.7,17.3571,347.8,11.4,106.2041,63.4,32.9107,20.5496,142.2974,229.5,11,172.4,50.2,118,67.7,160.7,331.7,21.8,17.6449,786.618,40,596.2065,54,283,336.4486
2016/1/1 8:00,83.499,22.1,132.5,26.7551,486,0.7492,726.75,74,164.351,300.4,350.3673,72.4,41.2959,16.0408,319.2857,48.4,138.9,167.3,271.9,59.5,13.5,32.6122,46.1071,58.3,403.0867,232.9,46.6,334.7844,182.5306,18.8699,56.1276,155.1,26.9,30.5,438.4082,25.2143,93.9,38.2,35.7,144.1224,27.75,20.875,172.4567,13.8,17.3571,350.8,11.5,106.2041,60.3,32.9107,20.5496,170.2974,246,12.4,196.8,49.7,118.8,68.3,161.2,335.2,20.8,17.6449,803.515,30,654.3635,61,291,336.4486
2016/1/1 9:00,98.938,26.1,131.75,26.7551,494,0.7492,745.75,78,165.344,293.8,350.3673,73.4,41.2959,16.0408,319.2857,50.6,141,169.3,280.4,62.1,13.1,32.6122,47.6071,55.9,403.0867,233.3,46.8,334.7844,182.5306,18.8699,56.1276,158.4,28.3,32,438.4082,25.2143,93.5,41.8,37.2,144.1224,28,13.969,172.4567,13.6,17.3571,352.9,11.4,106.2041,62.6,32.9107,20.5496,158.3974,245,11.4,198.3,49.4,120,65.7,163.6,342.2,22.8,17.6449,814.747,40,670.897,64,315,336.4486
