node_index,column_name
0,Robin_public_Carolina
1,Robin_lodging_Dorthy
2,Robin_education_Zenia
3,Robin_office_Dina
4,Robin_education_Derick
5,Robin_education_Della
6,Robin_education_Leslie
7,Robin_office_Sammie
8,Robin_education_Mercedes
9,Robin_education_Julius
10,Robin_education_Lashandra
11,Robin_education_Lizbeth
12,Robin_office_Gayle
13,Robin_office_Shirlene
14,Robin_education_Madeline
15,Robin_lodging_Phillip
16,Robin_education_Jasper
17,Robin_office_Wai
18,Robin_education_Terrance
19,Robin_lodging_Elmer
20,Robin_office_Addie
21,Robin_education_Cecilia
22,Robin_education_Kiera
23,Robin_lodging_Pricilla
24,Robin_education_So
25,Robin_office_Maryann
26,Robin_office_Serena
27,Robin_education_Derrick
28,Robin_education_Megan
29,Robin_office_Adolph
30,Robin_office_Lindsay
31,Robin_education_Takako
32,Robin_lodging_Oliva
33,Robin_office_Victor
34,Robin_education_Margarito
35,Robin_public_Cami
36,Robin_education_Kristopher
37,Robin_education_Billi
38,Robin_lodging_Celia
39,Robin_office_Donald
40,Robin_assembly_Colleen
41,Robin_office_Soledad
42,Robin_education_Audrea
43,Robin_office_Saul
44,Robin_lodging_Donna
45,Robin_office_Antonina
46,Robin_office_Erma
47,Robin_office_Zelma
48,Robin_lodging_Renea
49,Robin_lodging_Armand
50,Robin_education_Karyl
51,Robin_lodging_Janie
52,Shrew_office_Sherill
53,Shrew_office_Rose
54,Shrew_office_Nora
55,Shrew_office_Katherine
56,Shrew_office_Ila
57,Shrew_office_Doug
58,Shrew_office_Doris
59,Shrew_office_Lin
60,Shrew_office_Kenneth
61,Mouse_health_Buddy
62,Mouse_health_Modesto
63,Mouse_lodging_Vicente
64,Mouse_health_Justin
65,Mouse_health_Ileana
66,Mouse_health_Estela
67,Mouse_science_Micheal
